model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,setting
Tree_ms_md,3916.0,2956.0,2962.0,2726.0,12560.0,0.55,0.53,0.55,0.57,0.08,0.59,0.5,0.41,0.5,0.09,0.03,1.0,0.99,0.01,,balanced_lfc
Tree_default,2830.0,3346.0,2572.0,3812.0,12560.0,0.49,0.53,0.43,0.52,-0.01,0.43,0.43,0.31,0.5,-0.01,-0.07,1.0,0.99,0.0,,balanced_lfc
Tree_ms,2940.0,3865.0,2053.0,3702.0,12560.0,0.54,0.53,0.4,0.59,0.11,0.44,0.35,0.34,0.49,0.1,0.02,1.0,0.97,0.01,,balanced_lfc
Tree_md,3916.0,2956.0,2962.0,2726.0,12560.0,0.55,0.53,0.55,0.57,0.08,0.59,0.5,0.41,0.5,0.09,0.03,1.0,0.99,0.01,,balanced_lfc
RandomForest,3100.0,3764.0,2154.0,3542.0,12560.0,0.55,0.53,0.42,0.59,0.12,0.47,0.36,0.35,0.5,0.1,0.03,1.0,0.98,0.01,,balanced_lfc
Tree_ms_md,6650.0,0.0,5910.0,0.0,12560.0,0.53,0.53,1.0,0.53,0.0,1.0,1.0,0.53,0.53,0.0,0.0,1.0,0.0,0.0,,3_1_lfc
Tree_default,6304.0,179.0,5731.0,346.0,12560.0,0.52,0.53,0.96,0.52,-0.01,0.95,0.97,0.51,0.53,-0.02,-0.03,1.0,0.25,0.0,,3_1_lfc
Tree_ms,6650.0,0.0,5910.0,0.0,12560.0,0.53,0.53,1.0,0.53,0.0,1.0,1.0,0.53,0.53,0.0,0.0,1.0,0.0,0.0,,3_1_lfc
Tree_md,6650.0,0.0,5910.0,0.0,12560.0,0.53,0.53,1.0,0.53,0.0,1.0,1.0,0.53,0.53,0.0,0.0,1.0,0.0,0.0,,3_1_lfc
RandomForest,3194.0,3616.0,2294.0,3456.0,12560.0,0.54,0.53,0.44,0.58,0.1,0.48,0.39,0.36,0.5,0.09,0.02,1.0,0.99,0.01,,3_1_lfc
Tree_ms_md,0.0,6004.0,0.0,6556.0,12560.0,0.48,0.52,0.0,0.0,-1.0,0.0,0.0,0.0,0.48,0.0,-0.08,1.0,0.0,0.0,,1_3_lfc
Tree_default,552.0,5604.0,400.0,6004.0,12560.0,0.49,0.52,0.08,0.58,0.11,0.08,0.07,0.08,0.48,0.02,-0.06,1.0,0.39,0.0,,1_3_lfc
Tree_ms,0.0,6004.0,0.0,6556.0,12560.0,0.48,0.52,0.0,0.0,-1.0,0.0,0.0,0.0,0.48,0.0,-0.08,1.0,0.0,0.0,,1_3_lfc
Tree_md,32.0,5990.0,14.0,6524.0,12560.0,0.48,0.52,0.0,0.7,0.33,0.0,0.0,0.0,0.48,0.0,-0.08,1.0,0.03,0.0,,1_3_lfc
RandomForest,3299.0,3483.0,2521.0,3257.0,12560.0,0.54,0.52,0.46,0.57,0.09,0.5,0.42,0.36,0.5,0.08,0.03,1.0,1.0,0.01,,1_3_lfc
Tree_ms_md,3923.0,3477.0,2498.0,2662.0,12560.0,0.59,0.52,0.51,0.61,0.17,0.6,0.42,0.43,0.5,0.18,0.12,1.0,1.0,0.02,,balanced_rc
Tree_default,3574.0,3056.0,2919.0,3011.0,12560.0,0.53,0.52,0.52,0.55,0.05,0.54,0.49,0.38,0.5,0.05,0.01,1.0,1.0,0.0,,balanced_rc
Tree_ms,4241.0,3188.0,2787.0,2344.0,12560.0,0.59,0.52,0.56,0.6,0.15,0.64,0.47,0.45,0.5,0.18,0.13,1.0,0.99,0.02,,balanced_rc
Tree_md,3923.0,3477.0,2498.0,2662.0,12560.0,0.59,0.52,0.51,0.61,0.17,0.6,0.42,0.43,0.5,0.18,0.12,1.0,1.0,0.02,,balanced_rc
RandomForest,4115.0,3365.0,2610.0,2470.0,12560.0,0.6,0.52,0.54,0.61,0.17,0.62,0.44,0.45,0.5,0.19,0.14,1.0,1.0,0.03,,balanced_rc
