model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,setting
Tree_ms_md,6519.0,0.0,6041.0,0.0,12560.0,0.52,0.52,1.0,0.52,0.0,1.0,1.0,0.52,0.52,0.0,0.0,1.0,0.0,0.0,,3_1_rc
Tree_default,3423.0,3177.0,2864.0,3096.0,12560.0,0.53,0.52,0.5,0.54,0.05,0.53,0.47,0.36,0.5,0.05,0.01,1.0,1.0,0.0,,3_1_rc
Tree_ms,6519.0,0.0,6041.0,0.0,12560.0,0.52,0.52,1.0,0.52,0.0,1.0,1.0,0.52,0.52,0.0,0.0,1.0,0.0,0.0,,3_1_rc
Tree_md,6519.0,0.0,6041.0,0.0,12560.0,0.52,0.52,1.0,0.52,0.0,1.0,1.0,0.52,0.52,0.0,0.0,1.0,0.0,0.0,,3_1_rc
RandomForest,4136.0,3182.0,2859.0,2383.0,12560.0,0.58,0.52,0.56,0.59,0.14,0.63,0.47,0.44,0.5,0.16,0.12,1.0,0.99,0.02,,3_1_rc
Tree_ms_md,88.0,5948.0,31.0,6493.0,12560.0,0.48,0.52,0.01,0.74,0.41,0.01,0.01,0.01,0.48,0.01,-0.08,1.0,0.08,0.0,,1_3_rc
Tree_default,3661.0,2925.0,3054.0,2920.0,12560.0,0.52,0.52,0.53,0.55,0.04,0.56,0.51,0.38,0.5,0.05,0.0,1.0,1.0,0.0,,1_3_rc
Tree_ms,88.0,5948.0,31.0,6493.0,12560.0,0.48,0.52,0.01,0.74,0.41,0.01,0.01,0.01,0.48,0.01,-0.08,1.0,0.08,0.0,,1_3_rc
Tree_md,69.0,5955.0,24.0,6512.0,12560.0,0.48,0.52,0.01,0.74,0.42,0.01,0.0,0.01,0.48,0.01,-0.08,1.0,0.06,0.0,,1_3_rc
RandomForest,4192.0,3163.0,2816.0,2389.0,12560.0,0.59,0.52,0.56,0.6,0.14,0.64,0.47,0.45,0.5,0.16,0.12,1.0,0.99,0.02,,1_3_rc
Tree_ms_md,6462.0,0.0,6098.0,0.0,12560.0,0.51,0.51,1.0,0.51,0.0,1.0,1.0,0.51,0.51,0.0,0.0,1.0,0.0,-0.0,,balanced_c
Tree_default,3841.0,1867.0,4231.0,2621.0,12560.0,0.45,0.51,0.64,0.48,-0.08,0.59,0.69,0.36,0.5,-0.1,-0.12,1.0,0.94,0.01,,balanced_c
Tree_ms,4904.0,1312.0,4786.0,1558.0,12560.0,0.49,0.51,0.77,0.51,-0.02,0.76,0.78,0.44,0.51,-0.03,-0.04,1.0,0.78,0.0,,balanced_c
Tree_md,6462.0,0.0,6098.0,0.0,12560.0,0.51,0.51,1.0,0.51,0.0,1.0,1.0,0.51,0.51,0.0,0.0,1.0,0.0,-0.0,,balanced_c
RandomForest,6191.0,213.0,5885.0,271.0,12560.0,0.51,0.51,0.96,0.51,-0.0,0.96,0.97,0.5,0.51,-0.01,-0.01,1.0,0.24,0.0,,balanced_c
Tree_ms_md,6661.0,0.0,5899.0,0.0,12560.0,0.53,0.53,1.0,0.53,0.0,1.0,1.0,0.53,0.53,0.0,0.0,1.0,0.0,-0.0,,3_1_c
Tree_default,6614.0,1.0,5898.0,47.0,12560.0,0.53,0.53,1.0,0.53,-0.0,0.99,1.0,0.53,0.53,-0.01,-0.01,1.0,0.04,0.0,,3_1_c
Tree_ms,6661.0,0.0,5899.0,0.0,12560.0,0.53,0.53,1.0,0.53,0.0,1.0,1.0,0.53,0.53,0.0,0.0,1.0,0.0,-0.0,,3_1_c
Tree_md,6661.0,0.0,5899.0,0.0,12560.0,0.53,0.53,1.0,0.53,0.0,1.0,1.0,0.53,0.53,0.0,0.0,1.0,0.0,-0.0,,3_1_c
RandomForest,5906.0,679.0,5220.0,755.0,12560.0,0.52,0.53,0.89,0.53,0.0,0.89,0.88,0.5,0.52,0.0,-0.01,1.0,0.51,0.0,,3_1_c
Tree_ms_md,0.0,6039.0,0.0,6521.0,12560.0,0.48,0.52,0.0,0.0,-1.0,0.0,0.0,0.0,0.48,0.0,-0.07,1.0,0.0,0.0,,1_3_c
Tree_default,36.0,5990.0,49.0,6485.0,12560.0,0.48,0.52,0.01,0.42,-0.18,0.01,0.01,0.01,0.48,-0.0,-0.08,1.0,0.06,0.0,,1_3_c
Tree_ms,0.0,6039.0,0.0,6521.0,12560.0,0.48,0.52,0.0,0.0,-1.0,0.0,0.0,0.0,0.48,0.0,-0.07,1.0,0.0,0.0,,1_3_c
Tree_md,12.0,6039.0,0.0,6509.0,12560.0,0.48,0.52,0.0,1.0,0.93,0.0,0.0,0.0,0.48,0.0,-0.07,1.0,0.01,0.0,,1_3_c
RandomForest,5858.0,609.0,5430.0,663.0,12560.0,0.51,0.52,0.9,0.52,-0.0,0.9,0.9,0.49,0.52,-0.0,-0.01,1.0,0.47,0.0,,1_3_c
Tree_ms_md,2563.0,4223.0,1782.0,3992.0,12560.0,0.54,0.52,0.35,0.59,0.13,0.39,0.3,0.31,0.49,0.1,0.04,1.0,0.93,0.01,,balanced_l
Tree_default,2563.0,4223.0,1782.0,3992.0,12560.0,0.54,0.52,0.35,0.59,0.13,0.39,0.3,0.31,0.49,0.1,0.04,1.0,0.93,0.01,,balanced_l
Tree_ms,2563.0,4223.0,1782.0,3992.0,12560.0,0.54,0.52,0.35,0.59,0.13,0.39,0.3,0.31,0.49,0.1,0.04,1.0,0.93,0.01,,balanced_l
Tree_md,2563.0,4223.0,1782.0,3992.0,12560.0,0.54,0.52,0.35,0.59,0.13,0.39,0.3,0.31,0.49,0.1,0.04,1.0,0.93,0.01,,balanced_l
RandomForest,2563.0,4223.0,1782.0,3992.0,12560.0,0.54,0.52,0.35,0.59,0.13,0.39,0.3,0.31,0.49,0.1,0.04,1.0,0.93,0.01,,balanced_l
Tree_ms_md,6476.0,0.0,6084.0,0.0,12560.0,0.52,0.52,1.0,0.52,0.0,1.0,1.0,0.52,0.52,0.0,0.0,1.0,0.0,0.0,,3_1_l
Tree_default,6476.0,0.0,6084.0,0.0,12560.0,0.52,0.52,1.0,0.52,0.0,1.0,1.0,0.52,0.52,0.0,0.0,1.0,0.0,0.0,,3_1_l
Tree_ms,6476.0,0.0,6084.0,0.0,12560.0,0.52,0.52,1.0,0.52,0.0,1.0,1.0,0.52,0.52,0.0,0.0,1.0,0.0,0.0,,3_1_l
Tree_md,6476.0,0.0,6084.0,0.0,12560.0,0.52,0.52,1.0,0.52,0.0,1.0,1.0,0.52,0.52,0.0,0.0,1.0,0.0,0.0,,3_1_l
RandomForest,2510.0,4282.0,1802.0,3966.0,12560.0,0.54,0.52,0.34,0.58,0.13,0.39,0.3,0.3,0.5,0.09,0.05,1.0,0.93,0.01,,3_1_l
Tree_ms_md,0.0,5993.0,0.0,6567.0,12560.0,0.48,0.52,0.0,0.0,-1.0,0.0,0.0,0.0,0.48,0.0,-0.09,1.0,0.0,0.0,,1_3_l
Tree_default,0.0,5993.0,0.0,6567.0,12560.0,0.48,0.52,0.0,0.0,-1.0,0.0,0.0,0.0,0.48,0.0,-0.09,1.0,0.0,0.0,,1_3_l
Tree_ms,0.0,5993.0,0.0,6567.0,12560.0,0.48,0.52,0.0,0.0,-1.0,0.0,0.0,0.0,0.48,0.0,-0.09,1.0,0.0,0.0,,1_3_l
Tree_md,0.0,5993.0,0.0,6567.0,12560.0,0.48,0.52,0.0,0.0,-1.0,0.0,0.0,0.0,0.48,0.0,-0.09,1.0,0.0,0.0,,1_3_l
RandomForest,2551.0,4159.0,1834.0,4016.0,12560.0,0.53,0.52,0.35,0.58,0.11,0.39,0.31,0.3,0.49,0.08,0.02,1.0,0.93,0.01,,1_3_l
Tree_ms_md,3521.0,3668.0,2295.0,3076.0,12560.0,0.57,0.53,0.46,0.61,0.15,0.53,0.38,0.4,0.5,0.15,0.09,1.0,1.0,0.02,,balanced_r
Tree_default,3615.0,3139.0,2824.0,2982.0,12560.0,0.54,0.53,0.51,0.56,0.07,0.55,0.47,0.38,0.5,0.07,0.02,1.0,1.0,0.0,,balanced_r
Tree_ms,4111.0,3094.0,2869.0,2486.0,12560.0,0.57,0.53,0.56,0.59,0.12,0.62,0.48,0.43,0.5,0.14,0.09,1.0,0.99,0.01,,balanced_r
Tree_md,3521.0,3668.0,2295.0,3076.0,12560.0,0.57,0.53,0.46,0.61,0.15,0.53,0.38,0.4,0.5,0.15,0.09,1.0,1.0,0.02,,balanced_r
RandomForest,4199.0,3111.0,2852.0,2398.0,12560.0,0.58,0.53,0.56,0.6,0.13,0.64,0.48,0.44,0.5,0.16,0.11,1.0,0.99,0.02,,balanced_r
Tree_ms_md,6597.0,0.0,5963.0,0.0,12560.0,0.53,0.53,1.0,0.53,0.0,1.0,1.0,0.53,0.53,0.0,0.0,1.0,0.0,-0.0,,3_1_r
Tree_default,3562.0,3158.0,2805.0,3035.0,12560.0,0.54,0.53,0.51,0.56,0.07,0.54,0.47,0.38,0.5,0.07,0.02,1.0,1.0,0.0,,3_1_r
Tree_ms,6597.0,0.0,5963.0,0.0,12560.0,0.53,0.53,1.0,0.53,0.0,1.0,1.0,0.53,0.53,0.0,0.0,1.0,0.0,-0.0,,3_1_r
Tree_md,6597.0,0.0,5963.0,0.0,12560.0,0.53,0.53,1.0,0.53,0.0,1.0,1.0,0.53,0.53,0.0,0.0,1.0,0.0,-0.0,,3_1_r
RandomForest,4045.0,3179.0,2784.0,2552.0,12560.0,0.58,0.53,0.54,0.59,0.13,0.61,0.47,0.43,0.5,0.15,0.1,1.0,0.99,0.02,,3_1_r
Tree_ms_md,0.0,5871.0,0.0,6689.0,12560.0,0.47,0.53,0.0,0.0,-1.0,0.0,0.0,0.0,0.47,0.0,-0.12,1.0,0.0,0.0,,1_3_r
Tree_default,3698.0,2972.0,2899.0,2991.0,12560.0,0.53,0.53,0.53,0.56,0.05,0.55,0.49,0.39,0.5,0.06,-0.0,1.0,1.0,0.0,,1_3_r
Tree_ms,0.0,5871.0,0.0,6689.0,12560.0,0.47,0.53,0.0,0.0,-1.0,0.0,0.0,0.0,0.47,0.0,-0.12,1.0,0.0,0.0,,1_3_r
Tree_md,0.0,5871.0,0.0,6689.0,12560.0,0.47,0.53,0.0,0.0,-1.0,0.0,0.0,0.0,0.47,0.0,-0.12,1.0,0.0,0.0,,1_3_r
RandomForest,4326.0,3054.0,2817.0,2363.0,12560.0,0.59,0.53,0.57,0.61,0.14,0.65,0.48,0.46,0.5,0.16,0.1,1.0,0.99,0.02,,1_3_r
