model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,setting
SGDClassifier,48691.0,2609.0,13586.0,2782.0,67668.0,0.76,0.76,0.92,0.78,0.03,0.95,0.84,0.75,0.72,0.05,-0.0,0.79,0.4,0.02,,balanced_r
KNeighborsClassifier,46155.0,3297.0,12898.0,5318.0,67668.0,0.73,0.76,0.87,0.78,0.03,0.9,0.8,0.72,0.69,0.05,-0.04,0.79,0.55,0.01,,balanced_r
MLPClassifier,51083.0,535.0,15660.0,390.0,67668.0,0.76,0.76,0.99,0.77,0.01,0.99,0.97,0.76,0.75,0.01,0.0,0.79,0.1,0.01,,balanced_r
Tree_ms_md,51544.0,0.0,16124.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,-0.0,,3_1_r
Tree_default,40292.0,5230.0,10894.0,11252.0,67668.0,0.67,0.76,0.76,0.79,0.03,0.78,0.68,0.65,0.63,0.06,-0.12,0.79,0.8,0.01,,3_1_r
Tree_ms,51544.0,0.0,16124.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,-0.0,,3_1_r
Tree_md,51544.0,0.0,16124.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,-0.0,,3_1_r
RandomForest,51128.0,532.0,15592.0,416.0,67668.0,0.76,0.76,0.99,0.77,0.01,0.99,0.97,0.76,0.75,0.01,0.0,0.79,0.11,0.0,,3_1_r
AdaBoost,51505.0,76.0,16048.0,39.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.02,0.0,,3_1_r
AdaBoost_n_small,51544.0,0.0,16124.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,-0.0,,3_1_r
Stump,27224.0,11861.0,4263.0,24320.0,67668.0,0.58,0.76,0.47,0.86,0.14,0.53,0.26,0.49,0.48,0.2,-0.24,0.79,1.0,0.04,,3_1_r
LogisticRegression,32007.0,10507.0,5617.0,19537.0,67668.0,0.63,0.76,0.56,0.85,0.12,0.62,0.35,0.56,0.53,0.19,-0.18,0.79,0.99,0.04,,3_1_r
SGDClassifier,49919.0,1484.0,14640.0,1625.0,67668.0,0.76,0.76,0.95,0.77,0.02,0.97,0.91,0.75,0.74,0.03,-0.0,0.79,0.27,0.01,,3_1_r
KNeighborsClassifier,46134.0,3278.0,12846.0,5410.0,67668.0,0.73,0.76,0.87,0.78,0.03,0.9,0.8,0.72,0.69,0.05,-0.04,0.79,0.55,0.01,,3_1_r
MLPClassifier,51107.0,534.0,15590.0,437.0,67668.0,0.76,0.76,0.99,0.77,0.01,0.99,0.97,0.76,0.75,0.01,0.0,0.79,0.11,0.0,,3_1_r
Tree_ms_md,35035.0,9443.0,6559.0,16631.0,67668.0,0.66,0.76,0.61,0.84,0.1,0.68,0.41,0.6,0.56,0.17,-0.14,0.79,0.96,0.04,,1_3_r
Tree_default,40267.0,5434.0,10568.0,11399.0,67668.0,0.68,0.76,0.75,0.79,0.04,0.78,0.66,0.65,0.63,0.07,-0.12,0.79,0.81,0.01,,1_3_r
Tree_ms,33118.0,10084.0,5918.0,18548.0,67668.0,0.64,0.76,0.58,0.85,0.11,0.64,0.37,0.58,0.54,0.18,-0.16,0.79,0.98,0.04,,1_3_r
Tree_md,35035.0,9443.0,6559.0,16631.0,67668.0,0.66,0.76,0.61,0.84,0.1,0.68,0.41,0.6,0.56,0.17,-0.14,0.79,0.96,0.04,,1_3_r
RandomForest,51145.0,657.0,15345.0,521.0,67668.0,0.77,0.76,0.98,0.77,0.01,0.99,0.96,0.76,0.75,0.01,0.0,0.79,0.13,0.01,,1_3_r
AdaBoost,51635.0,58.0,15944.0,31.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.01,0.0,,1_3_r
AdaBoost_n_small,51666.0,0.0,16002.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,1_3_r
Stump,27148.0,11882.0,4120.0,24518.0,67668.0,0.58,0.76,0.46,0.87,0.14,0.53,0.26,0.49,0.48,0.2,-0.24,0.79,1.0,0.04,,1_3_r
LogisticRegression,31905.0,10588.0,5414.0,19761.0,67668.0,0.63,0.76,0.55,0.85,0.12,0.62,0.34,0.56,0.53,0.19,-0.18,0.79,0.99,0.04,,1_3_r
SGDClassifier,51662.0,6.0,15996.0,4.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,1_3_r
KNeighborsClassifier,46302.0,3369.0,12633.0,5364.0,67668.0,0.73,0.76,0.87,0.79,0.03,0.9,0.79,0.72,0.7,0.06,-0.04,0.79,0.55,0.01,,1_3_r
MLPClassifier,51246.0,506.0,15496.0,420.0,67668.0,0.76,0.76,0.99,0.77,0.01,0.99,0.97,0.76,0.76,0.01,0.0,0.79,0.1,0.0,,1_3_r
