model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,setting
Tree_ms_md,27761.0,0.0,5982.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,balanced
Tree_default,22963.0,1471.0,4511.0,4798.0,33743.0,0.72,0.82,0.81,0.84,0.02,0.83,0.75,0.71,0.7,0.03,-0.12,0.67,0.69,0.0,,balanced
Tree_ms,27693.0,83.0,5899.0,68.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,0.99,0.82,0.82,0.0,0.0,0.67,0.04,0.0,,balanced
Tree_md,27761.0,0.0,5982.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,balanced
RandomForest,27761.0,0.0,5982.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,balanced
AdaBoost,27761.0,0.0,5982.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,balanced
AdaBoost_n_small,27761.0,0.0,5982.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,balanced
Stump,21659.0,2394.0,3588.0,6102.0,33743.0,0.71,0.82,0.75,0.86,0.04,0.78,0.6,0.69,0.66,0.08,-0.13,0.67,0.81,0.02,,balanced
LogisticRegression,12517.0,4230.0,1752.0,15244.0,33743.0,0.5,0.82,0.42,0.88,0.07,0.45,0.29,0.42,0.45,0.1,-0.4,0.67,0.98,0.01,,balanced
SGDClassifier,14933.0,2903.0,3079.0,12828.0,33743.0,0.53,0.82,0.53,0.83,0.01,0.54,0.51,0.48,0.52,0.01,-0.36,0.67,1.0,0.0,,balanced
KNeighborsClassifier,26399.0,533.0,5449.0,1362.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.91,0.79,0.79,0.01,-0.03,0.67,0.31,0.0,,balanced
MLPClassifier,27618.0,138.0,5844.0,143.0,33743.0,0.82,0.82,0.99,0.83,0.0,0.99,0.98,0.82,0.82,0.01,-0.0,0.67,0.07,0.0,,balanced
Tree_ms_md,27622.0,0.0,6121.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,3_1
Tree_default,22700.0,1533.0,4588.0,4922.0,33743.0,0.72,0.82,0.81,0.83,0.02,0.82,0.75,0.7,0.7,0.03,-0.12,0.68,0.7,0.0,,3_1
Tree_ms,27622.0,0.0,6121.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,3_1
Tree_md,27622.0,0.0,6121.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,3_1
RandomForest,27622.0,0.0,6121.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,3_1
AdaBoost,27622.0,0.0,6121.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,3_1
AdaBoost_n_small,27622.0,0.0,6121.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,,3_1
Stump,21470.0,2459.0,3662.0,6152.0,33743.0,0.71,0.82,0.74,0.85,0.04,0.78,0.6,0.69,0.66,0.08,-0.13,0.68,0.82,0.02,,3_1
LogisticRegression,13542.0,4070.0,2051.0,14080.0,33743.0,0.52,0.82,0.46,0.87,0.06,0.49,0.34,0.46,0.48,0.1,-0.36,0.68,1.0,0.01,,3_1
SGDClassifier,14732.0,3058.0,3063.0,12890.0,33743.0,0.53,0.82,0.53,0.83,0.01,0.53,0.5,0.48,0.52,0.02,-0.36,0.68,1.0,0.0,,3_1
KNeighborsClassifier,26295.0,565.0,5556.0,1327.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.91,0.79,0.78,0.02,-0.03,0.68,0.31,0.0,,3_1
MLPClassifier,27543.0,104.0,6017.0,79.0,33743.0,0.82,0.82,0.99,0.82,0.0,1.0,0.98,0.82,0.82,0.01,0.0,0.68,0.05,0.0,,3_1
Tree_ms_md,24908.0,1449.0,4547.0,2839.0,33743.0,0.78,0.82,0.87,0.85,0.03,0.9,0.76,0.77,0.74,0.06,-0.05,0.68,0.55,0.02,,1_3
Tree_default,23197.0,1390.0,4606.0,4550.0,33743.0,0.73,0.82,0.82,0.83,0.01,0.84,0.77,0.72,0.71,0.03,-0.11,0.68,0.67,0.0,,1_3
Tree_ms,23420.0,1908.0,4088.0,4327.0,33743.0,0.75,0.82,0.82,0.85,0.04,0.84,0.68,0.74,0.7,0.07,-0.09,0.68,0.69,0.02,,1_3
Tree_md,24908.0,1449.0,4547.0,2839.0,33743.0,0.78,0.82,0.87,0.85,0.03,0.9,0.76,0.77,0.74,0.06,-0.05,0.68,0.55,0.02,,1_3
RandomForest,27747.0,0.0,5996.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,1_3
AdaBoost,27747.0,0.0,5996.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,1_3
AdaBoost_n_small,27747.0,0.0,5996.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,1_3
