model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,setting
Tree_ms_md,108819.0,13458.0,63089.0,8871.0,194237.0,0.63,0.61,0.89,0.63,0.04,0.92,0.82,0.6,0.58,0.08,0.04,0.97,0.51,0.02,,balanced_lfc
Tree_default,97378.0,51316.0,25231.0,20312.0,194237.0,0.77,0.61,0.63,0.79,0.31,0.83,0.33,0.68,0.53,0.45,0.26,0.97,0.95,0.19,,balanced_lfc
Tree_ms,96268.0,47995.0,28552.0,21422.0,194237.0,0.74,0.61,0.64,0.77,0.27,0.82,0.37,0.66,0.53,0.4,0.23,0.97,0.94,0.15,,balanced_lfc
Tree_md,108819.0,13458.0,63089.0,8871.0,194237.0,0.63,0.61,0.89,0.63,0.04,0.92,0.82,0.6,0.58,0.08,0.04,0.97,0.51,0.02,,balanced_lfc
RandomForest,106337.0,34448.0,42099.0,11353.0,194237.0,0.72,0.61,0.76,0.72,0.18,0.9,0.55,0.67,0.56,0.3,0.2,0.97,0.79,0.12,,balanced_lfc
Tree_ms_md,117761.0,294.0,76114.0,68.0,194237.0,0.61,0.61,1.0,0.61,0.0,1.0,1.0,0.61,0.61,0.0,0.0,0.97,0.02,0.0,,3_1_lfc
Tree_default,114811.0,24176.0,52232.0,3018.0,194237.0,0.72,0.61,0.86,0.69,0.13,0.97,0.68,0.68,0.58,0.24,0.18,0.97,0.58,0.13,,3_1_lfc
Tree_ms,115926.0,15726.0,60682.0,1903.0,194237.0,0.68,0.61,0.91,0.66,0.08,0.98,0.79,0.65,0.59,0.15,0.12,0.97,0.44,0.08,,3_1_lfc
Tree_md,117761.0,294.0,76114.0,68.0,194237.0,0.61,0.61,1.0,0.61,0.0,1.0,1.0,0.61,0.61,0.0,0.0,0.97,0.02,0.0,,3_1_lfc
RandomForest,106360.0,33837.0,42571.0,11469.0,194237.0,0.72,0.61,0.77,0.71,0.18,0.9,0.56,0.66,0.56,0.3,0.19,0.97,0.78,0.11,,3_1_lfc
Tree_ms_md,0.0,76800.0,0.0,117437.0,194237.0,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,0.0,0.4,-0.0,-0.35,0.97,0.0,-0.0,,1_3_lfc
Tree_default,61325.0,73037.0,3763.0,56112.0,194237.0,0.69,0.6,0.34,0.94,0.56,0.52,0.05,0.51,0.47,0.49,0.14,0.97,0.92,0.2,,1_3_lfc
Tree_ms,56676.0,72024.0,4776.0,60761.0,194237.0,0.66,0.6,0.32,0.92,0.53,0.48,0.06,0.46,0.46,0.44,0.1,0.97,0.9,0.16,,1_3_lfc
Tree_md,0.0,76800.0,0.0,117437.0,194237.0,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,0.0,0.4,-0.0,-0.35,0.97,0.0,-0.0,,1_3_lfc
RandomForest,104918.0,36615.0,40185.0,12519.0,194237.0,0.73,0.6,0.75,0.72,0.2,0.89,0.52,0.67,0.55,0.32,0.21,0.97,0.82,0.13,,1_3_lfc
Tree_ms_md,107847.0,14111.0,62545.0,9734.0,194237.0,0.63,0.61,0.88,0.63,0.05,0.92,0.82,0.6,0.58,0.08,0.04,0.97,0.54,0.02,,balanced_rc
Tree_default,116948.0,76070.0,586.0,633.0,194237.0,0.99,0.61,0.61,1.0,0.64,0.99,0.01,0.99,0.52,0.9,0.64,0.97,0.97,0.91,,balanced_rc
Tree_ms,109379.0,72081.0,4575.0,8202.0,194237.0,0.93,0.61,0.59,0.96,0.59,0.93,0.06,0.9,0.52,0.8,0.54,0.97,0.98,0.63,,balanced_rc
Tree_md,107847.0,14111.0,62545.0,9734.0,194237.0,0.63,0.61,0.88,0.63,0.05,0.92,0.82,0.6,0.58,0.08,0.04,0.97,0.54,0.02,,balanced_rc
RandomForest,113541.0,69276.0,7380.0,4040.0,194237.0,0.94,0.61,0.62,0.94,0.55,0.97,0.1,0.91,0.53,0.79,0.55,0.97,0.96,0.65,,balanced_rc
Tree_ms_md,117205.0,928.0,75844.0,260.0,194237.0,0.61,0.6,0.99,0.61,0.0,1.0,0.99,0.61,0.6,0.01,0.01,0.97,0.05,0.0,,3_1_rc
Tree_default,116782.0,76183.0,589.0,683.0,194237.0,0.99,0.6,0.6,0.99,0.65,0.99,0.01,0.99,0.52,0.9,0.64,0.97,0.97,0.91,,3_1_rc
Tree_ms,115324.0,60933.0,15839.0,2141.0,194237.0,0.91,0.6,0.68,0.88,0.45,0.98,0.21,0.87,0.54,0.69,0.5,0.97,0.91,0.54,,3_1_rc
Tree_md,117205.0,928.0,75844.0,260.0,194237.0,0.61,0.6,0.99,0.61,0.0,1.0,0.99,0.61,0.6,0.01,0.01,0.97,0.05,0.0,,3_1_rc
RandomForest,113330.0,70270.0,6502.0,4135.0,194237.0,0.95,0.6,0.62,0.95,0.56,0.96,0.08,0.91,0.52,0.8,0.56,0.97,0.96,0.66,,3_1_rc
Tree_ms_md,42952.0,65961.0,10952.0,74372.0,194237.0,0.56,0.6,0.28,0.8,0.32,0.37,0.14,0.33,0.45,0.24,-0.07,0.97,0.85,0.05,,1_3_rc
Tree_default,116705.0,76282.0,631.0,619.0,194237.0,0.99,0.6,0.6,0.99,0.65,0.99,0.01,0.99,0.52,0.9,0.64,0.97,0.97,0.91,,1_3_rc
Tree_ms,103091.0,75498.0,1415.0,14233.0,194237.0,0.92,0.6,0.54,0.99,0.63,0.88,0.02,0.87,0.51,0.81,0.52,0.97,1.0,0.62,,1_3_rc
Tree_md,42952.0,65961.0,10952.0,74372.0,194237.0,0.56,0.6,0.28,0.8,0.32,0.37,0.14,0.33,0.45,0.24,-0.07,0.97,0.85,0.05,,1_3_rc
RandomForest,113459.0,69080.0,7833.0,3865.0,194237.0,0.94,0.6,0.62,0.94,0.55,0.97,0.1,0.91,0.53,0.79,0.56,0.97,0.95,0.64,,1_3_rc
Tree_ms_md,105370.0,14542.0,62228.0,12097.0,194237.0,0.62,0.6,0.86,0.63,0.04,0.9,0.81,0.59,0.58,0.07,0.02,0.97,0.58,0.01,,balanced_c
Tree_default,97949.0,41238.0,35532.0,19518.0,194237.0,0.72,0.6,0.69,0.73,0.21,0.83,0.46,0.64,0.54,0.33,0.18,0.97,0.9,0.11,,balanced_c
Tree_ms,97506.0,39910.0,36860.0,19961.0,194237.0,0.71,0.6,0.69,0.73,0.2,0.83,0.48,0.63,0.54,0.31,0.17,0.97,0.89,0.1,,balanced_c
Tree_md,105370.0,14542.0,62228.0,12097.0,194237.0,0.62,0.6,0.86,0.63,0.04,0.9,0.81,0.59,0.58,0.07,0.02,0.97,0.58,0.01,,balanced_c
RandomForest,103269.0,33488.0,43282.0,14198.0,194237.0,0.7,0.6,0.75,0.7,0.17,0.88,0.56,0.64,0.55,0.27,0.16,0.97,0.8,0.09,,balanced_c
Tree_ms_md,117435.0,1755.0,74796.0,251.0,194237.0,0.61,0.61,0.99,0.61,0.01,1.0,0.98,0.61,0.6,0.02,0.01,0.97,0.08,0.01,,3_1_c
Tree_default,115549.0,15756.0,60795.0,2137.0,194237.0,0.68,0.61,0.91,0.66,0.08,0.98,0.79,0.65,0.59,0.15,0.12,0.97,0.44,0.08,,3_1_c
Tree_ms,115680.0,14079.0,62472.0,2006.0,194237.0,0.67,0.61,0.92,0.65,0.07,0.98,0.82,0.64,0.59,0.14,0.1,0.97,0.41,0.07,,3_1_c
Tree_md,117435.0,1755.0,74796.0,251.0,194237.0,0.61,0.61,0.99,0.61,0.01,1.0,0.98,0.61,0.6,0.02,0.01,0.97,0.08,0.01,,3_1_c
RandomForest,102312.0,34998.0,41553.0,15374.0,194237.0,0.71,0.61,0.74,0.71,0.17,0.87,0.54,0.64,0.55,0.28,0.17,0.97,0.83,0.09,,3_1_c
Tree_ms_md,11494.0,72888.0,3638.0,106217.0,194237.0,0.43,0.61,0.08,0.76,0.25,0.1,0.05,0.09,0.41,0.06,-0.28,0.97,0.39,0.01,,1_3_c
Tree_default,48946.0,71422.0,5104.0,68765.0,194237.0,0.62,0.61,0.28,0.91,0.49,0.42,0.07,0.4,0.45,0.37,0.02,0.97,0.85,0.12,,1_3_c
Tree_ms,48048.0,70689.0,5837.0,69663.0,194237.0,0.61,0.61,0.28,0.89,0.47,0.41,0.08,0.39,0.45,0.35,0.01,0.97,0.85,0.11,,1_3_c
Tree_md,11494.0,72888.0,3638.0,106217.0,194237.0,0.43,0.61,0.08,0.76,0.25,0.1,0.05,0.09,0.41,0.06,-0.28,0.97,0.39,0.01,,1_3_c
RandomForest,101682.0,35742.0,40784.0,16029.0,194237.0,0.71,0.61,0.73,0.71,0.18,0.86,0.53,0.64,0.55,0.29,0.17,0.97,0.84,0.1,,1_3_c
Tree_ms_md,111324.0,10034.0,66300.0,6579.0,194237.0,0.62,0.61,0.91,0.63,0.03,0.94,0.87,0.6,0.59,0.06,0.03,0.97,0.42,0.01,,balanced_l
Tree_default,111324.0,10034.0,66300.0,6579.0,194237.0,0.62,0.61,0.91,0.63,0.03,0.94,0.87,0.6,0.59,0.06,0.03,0.97,0.42,0.01,,balanced_l
Tree_ms,111324.0,10034.0,66300.0,6579.0,194237.0,0.62,0.61,0.91,0.63,0.03,0.94,0.87,0.6,0.59,0.06,0.03,0.97,0.42,0.01,,balanced_l
Tree_md,111324.0,10034.0,66300.0,6579.0,194237.0,0.62,0.61,0.91,0.63,0.03,0.94,0.87,0.6,0.59,0.06,0.03,0.97,0.42,0.01,,balanced_l
