model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,setting
RandomForest,111324.0,10034.0,66300.0,6579.0,194237.0,0.62,0.61,0.91,0.63,0.03,0.94,0.87,0.6,0.59,0.06,0.03,0.97,0.42,0.01,,balanced_l
Tree_ms_md,117894.0,0.0,76343.0,0.0,194237.0,0.61,0.61,1.0,0.61,0.0,1.0,1.0,0.61,0.61,0.0,0.0,0.97,0.0,0.0,,3_1_l
Tree_default,117894.0,0.0,76343.0,0.0,194237.0,0.61,0.61,1.0,0.61,0.0,1.0,1.0,0.61,0.61,0.0,0.0,0.97,0.0,0.0,,3_1_l
Tree_ms,117894.0,0.0,76343.0,0.0,194237.0,0.61,0.61,1.0,0.61,0.0,1.0,1.0,0.61,0.61,0.0,0.0,0.97,0.0,0.0,,3_1_l
Tree_md,117894.0,0.0,76343.0,0.0,194237.0,0.61,0.61,1.0,0.61,0.0,1.0,1.0,0.61,0.61,0.0,0.0,0.97,0.0,0.0,,3_1_l
RandomForest,111295.0,9961.0,66382.0,6599.0,194237.0,0.62,0.61,0.91,0.63,0.03,0.94,0.87,0.6,0.59,0.06,0.03,0.97,0.42,0.01,,3_1_l
Tree_ms_md,225.0,76615.0,41.0,117356.0,194237.0,0.4,0.61,0.0,0.85,0.4,0.0,0.0,0.0,0.39,0.0,-0.35,0.97,0.02,0.0,,1_3_l
Tree_default,311.0,76601.0,55.0,117270.0,194237.0,0.4,0.61,0.0,0.85,0.4,0.0,0.0,0.0,0.4,0.0,-0.35,0.97,0.02,0.0,,1_3_l
Tree_ms,225.0,76615.0,41.0,117356.0,194237.0,0.4,0.61,0.0,0.85,0.4,0.0,0.0,0.0,0.39,0.0,-0.35,0.97,0.02,0.0,,1_3_l
Tree_md,311.0,76601.0,55.0,117270.0,194237.0,0.4,0.61,0.0,0.85,0.4,0.0,0.0,0.0,0.4,0.0,-0.35,0.97,0.02,0.0,,1_3_l
RandomForest,110825.0,10053.0,66603.0,6756.0,194237.0,0.62,0.61,0.91,0.62,0.03,0.94,0.87,0.6,0.59,0.06,0.03,0.97,0.42,0.01,,1_3_l
Tree_ms_md,108235.0,13795.0,62613.0,9594.0,194237.0,0.63,0.61,0.88,0.63,0.04,0.92,0.82,0.6,0.58,0.08,0.04,0.97,0.53,0.02,,balanced_r
Tree_default,117104.0,75792.0,616.0,725.0,194237.0,0.99,0.61,0.61,0.99,0.64,0.99,0.01,0.99,0.52,0.9,0.64,0.97,0.97,0.91,,balanced_r
Tree_ms,107404.0,70813.0,5595.0,10425.0,194237.0,0.92,0.61,0.58,0.95,0.57,0.91,0.07,0.87,0.52,0.77,0.51,0.97,0.98,0.57,,balanced_r
Tree_md,108235.0,13795.0,62613.0,9594.0,194237.0,0.63,0.61,0.88,0.63,0.04,0.92,0.82,0.6,0.58,0.08,0.04,0.97,0.53,0.02,,balanced_r
RandomForest,107961.0,63322.0,13086.0,9868.0,194237.0,0.88,0.61,0.62,0.89,0.47,0.92,0.17,0.82,0.53,0.68,0.45,0.97,0.96,0.44,,balanced_r
Tree_ms_md,117428.0,409.0,76261.0,139.0,194237.0,0.61,0.61,1.0,0.61,0.0,1.0,0.99,0.61,0.6,0.0,0.0,0.97,0.03,0.0,,3_1_r
Tree_default,116859.0,75980.0,690.0,708.0,194237.0,0.99,0.61,0.61,0.99,0.64,0.99,0.01,0.99,0.52,0.9,0.64,0.97,0.97,0.91,,3_1_r
Tree_ms,115902.0,55963.0,20707.0,1665.0,194237.0,0.88,0.61,0.7,0.85,0.4,0.99,0.27,0.84,0.54,0.63,0.46,0.97,0.88,0.48,,3_1_r
Tree_md,117428.0,409.0,76261.0,139.0,194237.0,0.61,0.61,1.0,0.61,0.0,1.0,0.99,0.61,0.6,0.0,0.0,0.97,0.03,0.0,,3_1_r
RandomForest,107929.0,60677.0,15993.0,9638.0,194237.0,0.87,0.61,0.64,0.87,0.44,0.92,0.21,0.81,0.53,0.64,0.43,0.97,0.94,0.41,,3_1_r
Tree_ms_md,24318.0,70863.0,5601.0,93455.0,194237.0,0.49,0.61,0.15,0.81,0.34,0.21,0.07,0.2,0.43,0.15,-0.19,0.97,0.62,0.03,,1_3_r
Tree_default,117078.0,75835.0,629.0,695.0,194237.0,0.99,0.61,0.61,0.99,0.64,0.99,0.01,0.99,0.52,0.9,0.64,0.97,0.97,0.91,,1_3_r
Tree_ms,101189.0,74906.0,1558.0,16584.0,194237.0,0.91,0.61,0.53,0.98,0.62,0.86,0.02,0.85,0.51,0.79,0.5,0.97,1.0,0.59,,1_3_r
Tree_md,24318.0,70863.0,5601.0,93455.0,194237.0,0.49,0.61,0.15,0.81,0.34,0.21,0.07,0.2,0.43,0.15,-0.19,0.97,0.62,0.03,,1_3_r
RandomForest,109217.0,62399.0,14065.0,8556.0,194237.0,0.88,0.61,0.63,0.89,0.46,0.93,0.18,0.83,0.53,0.67,0.46,0.97,0.95,0.45,,1_3_r
