model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
Tree_ms50_md3,24685.0,1438.0,4629.0,2991.0,33743.0,0.77,0.82,0.87,0.84,0.03,0.89,0.76,0.76,0.74,0.05,-0.06,0.68,0.56,0.01,
Tree_default,23205.0,1443.0,4624.0,4471.0,33743.0,0.73,0.82,0.82,0.83,0.02,0.84,0.76,0.72,0.71,0.03,-0.11,0.68,0.67,0.0,
Tree_ms50,23648.0,1806.0,4261.0,4028.0,33743.0,0.75,0.82,0.83,0.85,0.03,0.85,0.7,0.74,0.71,0.06,-0.08,0.68,0.66,0.02,
Tree_md3,24685.0,1438.0,4629.0,2991.0,33743.0,0.77,0.82,0.87,0.84,0.03,0.89,0.76,0.76,0.74,0.05,-0.06,0.68,0.56,0.01,
RandomForest,27676.0,0.0,6067.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,
AdaBoost,27676.0,0.0,6067.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,
AdaBoost_n_small,27676.0,0.0,6067.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,0.0,
Stump,21532.0,2469.0,3598.0,6144.0,33743.0,0.71,0.82,0.74,0.86,0.04,0.78,0.59,0.69,0.66,0.08,-0.13,0.68,0.82,0.02,
LogisticRegression,24713.0,1418.0,4649.0,2963.0,33743.0,0.77,0.82,0.87,0.84,0.03,0.89,0.77,0.76,0.74,0.05,-0.06,0.68,0.56,0.01,
SGDClassifier,24564.0,1000.0,5067.0,3112.0,33743.0,0.76,0.82,0.88,0.83,0.01,0.89,0.84,0.75,0.74,0.02,-0.08,0.68,0.53,0.0,
