f,cnt,repos,high_message_length,high_refactor,high_hours,message_length,refactor,hours,commits,files_edited,ccp,same_date_duration_avg,commit_period,commit_days
18,381,381,0.61942257217847763,0.33333333333333293,0.69291338582677175,133.43214452871572,0.16624359762461102,19.291338582677174,1267.782152230971,2139.3937007874042,0.24814999277785757,86.93634296345958,322.23359580052522,123.5984251968504
19,305,305,0.62622950819672163,0.3442622950819671,0.75081967213114764,140.47538448746545,0.17044597410999487,19.560655737704906,1382.6459016393451,2586.2754098360638,0.2540972423829197,87.437962349989192,322.87868852459019,127.83278688524597
20,225,225,0.66222222222222271,0.36444444444444446,0.72000000000000008,144.79586183427267,0.17695910717047292,19.61333333333334,1264.9555555555544,2403.5511111111132,0.25643602592448828,92.49491980220877,324.80888888888887,127.83555555555543
21,166,166,0.67469879518072318,0.38554216867469876,0.7650602409638555,151.241399795509,0.18369092823131297,20.036144578313252,1438.3012048192768,2823.5180722891569,0.26611484573949645,92.173946981201667,315.5843373493974,126.30120481927716
22,106,106,0.69811320754717021,0.39622641509433976,0.679245283018868,144.28515173869596,0.191905015294056,19.5,756.452830188679,1074.5660377358492,0.27952408592516625,91.567753993993293,310.76415094339632,119.18867924528301
23,60,60,0.76666666666666683,0.39999999999999997,0.78333333333333333,150.57987238051919,0.1824472079590953,20.133333333333336,1015.0999999999998,1180.4666666666662,0.26611660384888863,91.419552095553527,332.66666666666669,136.68333333333337
24,45,45,0.68888888888888888,0.42222222222222217,0.75555555555555531,159.58558785723116,0.19442658658149131,20.288888888888888,858.08888888888873,902.02222222222213,0.24952162402627995,99.609921567239184,321.51111111111118,140.6888888888889
25,32,32,0.68749999999999989,0.53125,0.71874999999999978,164.12519369657844,0.20198775142709186,19.375000000000004,884.71875,1061.1250000000002,0.23491988126271732,97.526172222056445,305.34375000000006,133.6875
26,18,18,0.72222222222222232,0.61111111111111127,0.72222222222222232,214.17006090834832,0.28190850724474453,20.499999999999996,1645.4999999999995,1602.9444444444446,0.29013440210591218,121.85316638099658,336.0,162.11111111111114
27,12,12,0.75,0.41666666666666663,0.66666666666666663,197.33157049076868,0.17160662774534352,19.166666666666668,2436.1666666666665,2071.1666666666665,0.278979469394101,86.565958169421563,330.25,184.41666666666666
28,12,12,0.83333333333333326,0.83333333333333337,0.83333333333333326,209.8419045249357,0.26121405282519655,20.333333333333332,2314.9166666666661,1862.9999999999998,0.28684796062157164,100.23409710438948,321.5,191.41666666666666
29,11,11,0.81818181818181823,0.72727272727272718,0.81818181818181823,212.60525808690005,0.25116816825692762,21.09090909090909,2135.909090909091,2279.3636363636365,0.28301264310395952,100.01809425877947,345.81818181818181,199.45454545454547
30,10,10,0.79999999999999993,0.7,0.6,241.80818336120737,0.22243617991594761,18.2,1997.8999999999999,2722.5,0.43861505186065119,110.64729779714067,270.1,170.9
31,8,8,0.875,0.875,0.75,465.14869305519159,0.43701909311450721,19.75,2521.875,2471.125,0.46507424177674667,106.15200501914367,293.0,212.125
32,7,7,0.85714285714285721,0.85714285714285721,0.7142857142857143,291.54148727827163,0.28301180418229838,18.857142857142858,2603.4285714285716,2811.5714285714289,0.38206837777851804,115.48799725414081,307.99999999999994,222.57142857142858
33,7,7,0.85714285714285721,0.85714285714285721,0.5714285714285714,281.59995934172122,0.22968447793541977,16.428571428571431,1482.2857142857144,1351.7142857142858,0.53183355314488912,128.64884639450702,268.14285714285711,174.57142857142858
34,6,6,1.0,0.66666666666666663,0.83333333333333337,265.04441383260723,0.27693479864388354,20.666666666666668,2621.5,1556.0,0.41277226956876234,117.04406855000153,306.83333333333331,205.83333333333334
35,5,5,1.0,0.4,0.8,255.22873579865524,0.1824084977248735,22.4,4762.0,4333.2,0.49571778194338773,112.63052545830941,354.8,259.8
36,5,5,1.0,0.6,0.8,257.86733763277186,0.18807095100527607,20.0,7211.2,5269.0,0.519105449009665,104.66870808836701,284.8,163.6
37,2,2,1.0,0.5,1.0,304.8619503154809,0.29413244514880421,21.0,16927.0,9891.5,0.36952353454489806,86.02157524908958,343.0,202.0
38,3,3,0.66666666666666663,0.33333333333333337,1.0,217.79307637211434,0.17525566282451413,21.333333333333332,16451.333333333336,10411.333333333334,0.26582825750829442,88.9625127574349,349.0,162.0
39,3,3,1.0,0.66666666666666674,0.33333333333333337,247.55273079054575,0.23580273510748917,16.0,17558.333333333336,8688.3333333333339,0.36456202750828359,52.66050506276207,293.66666666666669,138.66666666666669
40,3,3,0.33333333333333337,0.66666666666666663,0.66666666666666663,215.83471561381901,0.22835508587425962,20.333333333333332,16789.666666666668,9089.6666666666679,0.29421393052517747,46.820630531209758,308.0,157.66666666666669
41,3,3,0.33333333333333331,0.33333333333333331,0.66666666666666663,218.34934552894518,0.2530795670560535,20.333333333333332,18997.666666666664,14095.0,0.24422838950761777,101.50878426546942,319.66666666666669,161.0
42,4,4,0.75,0.5,0.75,248.54855456616795,0.18788882927336814,21.25,16744.5,11567.25,0.19908708890131935,143.02773116766789,297.75,181.75
43,4,4,0.5,0.25,0.75,237.44628335603846,0.20234371753618563,21.0,18311.0,11195.5,0.19490524534391651,81.537730199723242,345.0,204.75
44,6,6,0.5,0.16666666666666669,0.66666666666666674,175.90108520276434,0.16549699053386113,20.333333333333332,13179.666666666668,6302.0,0.17126028925877093,74.463009122666335,262.5,162.0
45,5,5,0.4,0.2,1.0,281.07921635532165,0.19384617048186065,23.2,16574.0,9874.6,0.23401526133479308,77.900902212758567,352.0,227.8
46,7,7,0.28571428571428575,0.14285714285714288,1.0,159.50888335622173,0.11941069944537831,22.428571428571427,12604.428571428574,10221.428571428572,0.20378498148499108,82.07258169752231,353.0,218.28571428571428
47,7,7,0.5714285714285714,0.4285714285714286,0.7142857142857143,203.86705039037005,0.16709259736401766,20.285714285714288,13102.571428571431,7683.4285714285716,0.23110357450979208,90.059962969262244,352.28571428571428,173.57142857142856
48,7,7,0.5714285714285714,0.14285714285714285,0.85714285714285721,177.43471183795191,0.146161030385199,20.0,13227.714285714284,7878.4285714285716,0.22628121278150595,71.525041414872874,336.0,161.14285714285714
49,7,7,0.5714285714285714,0.14285714285714285,0.7142857142857143,174.09926906487738,0.12813336310119933,19.285714285714285,14068.714285714286,8918.5714285714275,0.21812512930805253,73.867213081682081,341.0,144.85714285714286
50,6,6,0.5,0.16666666666666669,1.0,215.35241623791188,0.16429957970897019,22.666666666666664,18286.166666666668,8398.1666666666661,0.21317322780957002,82.713002083432059,355.5,163.66666666666666
51,6,6,0.66666666666666663,0.33333333333333337,0.66666666666666663,232.58951223828325,0.15927794265737824,20.666666666666668,12889.0,7138.5000000000009,0.19388611624728538,46.875579943167992,338.5,153.66666666666669
52,5,5,0.6,0.4,0.6,134.41589812775226,0.1060867122096355,16.0,3060.2,710.4,0.20200091000307802,73.333612424971648,259.4,97.6
55,1,1,0.0,1.0,0.0,76.8,0.31079999999999997,4.0,5.0,1.0,0.67499999999999993,112.66666666666667,0.0,2.0
60,1,1,1.0,0.0,0.0,2310.0,-0.034,1.0,1.0,1.0,1.157,,0.0,1.0
67,1,1,1.0,1.0,0.0,311.0,1.69,1.0,1.0,1.0,1.157,,0.0,1.0
106,1,1,0.0,0.0,0.0,27.416666666666668,-0.034,6.0,12.0,34.0,0.052416666666666667,247.66666666666666,1.0,3.0
115,1,1,1.0,0.0,0.0,751.0,-0.034,1.0,1.0,1.0,1.157,,0.0,1.0
