f,cnt,repos,high_message_length,high_refactor,high_hours,message_length,refactor,hours,commits,files_edited,ccp,same_date_duration_avg,commit_period,commit_days
,7,7,0.5714285714285714,0.0,0.0,170.07142857142856,-0.034,0.0,1.4285714285714286,0.0,-0.048,,,0.0
0,18422,18422,0.191293019216155,0.22283139724242715,0.34898490934751736,71.018704445250222,0.11928666691825636,14.219791553577203,203.40929323634811,565.737487786343,0.13883404881776779,92.127463640817965,155.57349907719041,42.639398545217659
1,17726,17726,0.24613561999323028,0.2114408213923058,0.51190341870698419,86.099277863318179,0.12088023258763665,16.567302267855037,366.92164052803906,728.846835157397,0.17346333355420349,91.570878271942092,302.48933769603917,79.785343563127157
2,17261,17261,0.27669312322576978,0.21140142517814728,0.50495336307281768,92.105050950932068,0.11837526816368384,16.435258675627129,376.5093563524693,731.17895834540218,0.18160453855862729,89.905468061530428,301.54950466369371,80.537164706563644
3,16863,16863,0.30006523157207982,0.2067247820672487,0.50085987072288407,94.220486439870825,0.11676900891714383,16.451995493091562,380.11445175828925,785.14712684576159,0.18413189872013933,89.112098045437449,303.13562236849992,80.781474233528726
4,16647,16647,0.32486333873971418,0.19715264011533565,0.50039046074367688,99.704376021663862,0.11353549336685688,16.636871508379947,362.94497507058389,896.28888087943517,0.18135663440812277,87.893644606975911,304.234036162672,79.50916080975577
5,15968,15968,0.34994989979960128,0.20090180360721513,0.48202655310621284,106.49846166570953,0.11148937386425939,16.446893787575171,349.98659819639431,908.55542334669724,0.17903785805641645,87.571170766531736,297.35113977955689,76.185182865731832
6,13320,13320,0.37657657657657634,0.20773273273273304,0.47064564564564393,108.91881652276786,0.11335345645345248,16.36306306306307,360.86043543543491,872.18273273273473,0.18470141416615379,86.4193806999416,293.73250750750736,75.556156156156135
7,9866,9866,0.41009527670788509,0.2165011149401983,0.47982971822420395,112.58553155655646,0.117877270729359,16.458240421650135,358.01712953577976,866.4887492398135,0.19381120848557884,86.566160208651041,292.7017028177566,77.218730995337566
8,6852,6852,0.44001751313485121,0.22767075306479889,0.51021599532982909,117.78479562769233,0.12375405574922646,16.787799182720359,399.38499708114426,936.82136602452,0.2027522210580065,85.9510894387811,297.32910099241116,81.86923525977825
9,4796,4796,0.4662218515429527,0.24603836530442028,0.54211843202668875,124.11657339762367,0.13362072496291649,17.158465387823227,439.63990825688012,1474.0542118432011,0.2129625339564688,85.009431426170224,302.25417014178572,86.1920350291912
10,3414,3414,0.49209138840070271,0.25981253661394244,0.55682483889865131,144.17677619847163,0.137919005470081,17.373462214411315,481.45869947275975,1695.5102519039285,0.22073911046002168,86.158219623184621,305.21616871704686,88.728471001757313
11,2505,2505,0.50738522954091825,0.27544910179640841,0.58003992015968031,130.71193929974024,0.14180060470820324,17.61996007984029,553.12814371257423,2846.7185628742527,0.22788424642154906,87.33904935772982,306.57245508982032,92.283033932135751
12,1843,1843,0.51600651112316864,0.29245794899620187,0.59902333152468845,503.322105279559,0.15172572197440343,17.95767769940317,600.10417797070068,1311.3309820944146,0.23539884672275446,85.7132303412008,310.54313619099332,97.66467715680966
13,1374,1374,0.53566229985443992,0.28602620087336217,0.61644832605531374,354.57851888757716,0.15349692545453522,18.160116448326054,639.44541484716069,1253.621542940321,0.22983466855790013,88.1488083191732,313.77001455604125,99.531295487627318
14,1043,1043,0.56279961649089172,0.33461169702780419,0.64717162032598441,129.01233716829933,0.15846311513806277,18.366251198465925,651.84467881112187,1534.795781399808,0.23143056493890174,86.172260307401672,314.68839884947283,105.72866730584849
15,803,803,0.56911581569115821,0.32378580323785772,0.66500622665006248,122.36917762820413,0.15900188060688525,18.936488169364857,770.45205479452056,1472.0373599003731,0.24184945428074764,83.574483999321643,320.3922789539227,112.82067247820663
16,648,648,0.56327160493827155,0.3163580246913581,0.65895061728395088,129.57952724153685,0.16382527123154753,18.549382716049394,841.13271604938268,1851.2608024691342,0.24832988659474434,88.564923071906264,316.38888888888914,114.10956790123456
17,486,486,0.59053497942386868,0.35185185185185214,0.68518518518518512,130.87070534240033,0.165444516347294,18.991769547325113,1016.7716049382738,2417.2901234567889,0.25820182147698623,92.852204194289243,319.80041152263379,120.10082304526739
