commits,commits_in_hour,prob,agg
1,4100918,0.434150465098676,0.434150465098676
2,1442903,0.152755311991675,0.58690577709035
3,783248,0.0829198446512726,0.669825621741623
4,528450,0.0559452330627911,0.725770854804414
5,375276,0.0397292142735774,0.765500069077991
6,289830,0.0306833321952668,0.796183401273258
7,225698,0.0238938919704907,0.820077293243749
8,185858,0.0196761644934889,0.839753457737238
9,152477,0.0161422297316968,0.855895687468935
10,130452,0.0138105166874959,0.869706204156431
11,109650,0.0116082785605735,0.881314482717004
12,95682,0.0101295331439379,0.891444015860942
13,82316,0.00871451945273292,0.900158535313675
14,73578,0.00778945663410738,0.907947991947782
15,64102,0.0067862642251699,0.914734256172952
16,57859,0.00612533870712467,0.920859594880077
17,51048,0.00540428092986916,0.926263875809946
18,46064,0.00487664152862978,0.931140517338576
19,41837,0.00442914318411958,0.935569660522695
20,37871,0.00400927603618311,0.939578936558879
21,34023,0.00360190115336426,0.943180837712243
22,31572,0.00334242198553967,0.946523259697782
23,28431,0.00300989482677304,0.949533154524556
24,26778,0.00283489724847274,0.952368051773028
25,24129,0.0025544564832474,0.954922508256276
26,22365,0.00236770770640424,0.95729021596268
27,20467,0.00216677279798684,0.959456988760667
28,19204,0.00203306321456683,0.961490051975233
29,17796,0.00188400296638363,0.963374054941617
30,16942,0.00179359284426115,0.965167647785878
31,15608,0.00165236672843986,0.966820014514318
32,14524,0.00153760727600336,0.968357621790322
33,13459,0.00142485928998411,0.969782481080306
34,12864,0.00136186863112829,0.971144349711434
35,11977,0.00126796490943902,0.972412314620873
36,11454,0.00121259664963802,0.973624911270511
37,10461,0.00110747106267359,0.974732382333185
38,9947,0.00105305560275444,0.975785437935939
39,9382,0.00099324094350479,0.976778678879444
40,8836,0.000935437750672386,0.977714116630116
41,8241,0.000872447091816561,0.978586563721933
42,8021,0.000849156428037936,0.979435720149971
43,7451,0.000788812435520591,0.980224532585491
44,7054,0.000746783374065528,0.980971315959557
45,6636,0.000702531112886142,0.981673847072443
46,6328,0.000669924183596068,0.982343771256039
47,6066,0.000642187120368797,0.982985958376408
48,5663,0.000599522858992499,0.9835854812354
49,5259,0.000556752730962661,0.984142233966363
50,5263,0.000557176197576818,0.98469941016394
51,4887,0.000517370335846078,0.985216780499786
52,4736,0.000501384471161659,0.985718164970947
53,4468,0.000473012208013153,0.986191177178961
54,4248,0.000449721544234528,0.986640898723195
55,4034,0.000427066080377139,0.987067964803572
56,4023,0.000425901547188208,0.98749386635076
57,3751,0.000397105817425545,0.987890972168186
58,3706,0.000392341818016281,0.988283313986202
59,3395,0.000359417288765589,0.988642731274968
60,3209,0.000339726091207298,0.988982457366175
61,3059,0.000323846093176418,0.989306303459352
62,3011,0.000318764493806536,0.989625067953158
63,2889,0.000305848762074753,0.989930916715233
64,2858,0.000302566895815038,0.990233483611048
65,2586,0.000273771166052375,0.9905072547771
66,2677,0.000283405031524443,0.990790659808625
67,2475,0.000262019967509524,0.991052679776134
68,2411,0.000255244501683015,0.991307924277817
69,2275,0.000240846636801684,0.991548770914619
70,2311,0.000244657836329095,0.991793428750948
71,2063,0.000218402906251373,0.992011831657199
72,2039,0.000215862106566432,0.992227693763766
73,2032,0.000215121039991658,0.992442814803758
74,1880,0.000199029308653699,0.992641844112411
75,1903,0.000201464241685101,0.992843308354096
76,1750,0.000185266643693603,0.99302857499779
77,1677,0.000177538377985241,0.993206113375775
78,1653,0.0001749975783003,0.993381110954076
79,1559,0.000165046112867615,0.993546157066943
80,1567,0.000165893046095929,0.993712050113039
81,1513,0.000160176246804812,0.993872226359844
82,1480,0.000156682647238018,0.994028909007082
83,1316,0.000139320516057589,0.99416822952314
84,1379,0.000145990115230559,0.99431421963837
85,1279,0.000135403449876639,0.994449623088247
86,1269,0.000134344783341247,0.994583967871588
87,1227,0.0001298983838926,0.99471386625548
88,1215,0.00012862798405013,0.994842494239531
89,1164,0.000123228784719631,0.99496572302425
90,1103,0.000116770918853739,0.995082493943104
91,1040,0.00011010131968077,0.995192595262785
92,1031,0.000109148519798917,0.995301743782584
93,994,0.000105231453617966,0.995406975236202
94,991,0.000104913853657349,0.995511889089859
95,941,9.96205209803887E-05,0.995611509610839
96,939,9.94087876733103E-05,0.995710918398513
97,850,8.99866555083214E-05,0.995800905054021
98,839,8.88221223193902E-05,0.995889727176341
99,788,8.34229229888909E-05,0.995973150099329
100,880,9.31626551144974E-05,0.996066312754444
101,774,8.1940789839342E-05,0.996148253544283
102,669,7.08247912177259E-05,0.996219078335501
103,685,7.25186576743531E-05,0.996291596993175
104,697,7.37890575168235E-05,0.996365386050692
105,702,7.43183907845195E-05,0.996439704441477
106,688,7.28362576349707E-05,0.996512540699112
107,644,6.81781248792458E-05,0.996580718823991
108,591,6.25671922416682E-05,0.996643286016232
109,619,6.55314585407658E-05,0.996708817474773
110,642,6.79663915721674E-05,0.996776783866345
111,645,6.8283991532785E-05,0.996845067857878
112,604,6.39434587376778E-05,0.996909011316616
113,563,5.96029259425705E-05,0.996968614242558
114,577,6.10850590921193E-05,0.997029699301651
115,529,5.60034597222377E-05,0.997085702761373
116,527,5.57917264151592E-05,0.997141494487788
117,462,4.89103939351111E-05,0.997190404881723
118,479,5.07101270452776E-05,0.997241115008768
119,487,5.15570602735912E-05,0.997292672069042
120,464,4.91221272421896E-05,0.997341794196284
121,443,4.68989275178663E-05,0.997388693123802
122,418,4.42522611793863E-05,0.997432945384981
123,417,4.41463945258471E-05,0.997477091779507
124,402,4.25583947227591E-05,0.99751965017423
125,385,4.07586616125926E-05,0.997560408835843
126,419,4.43581278329255E-05,0.997604766963676
127,372,3.9382395116583E-05,0.997644149358792
128,412,4.36170612581511E-05,0.99768776642005
129,352,3.7265062045799E-05,0.997725031482096
130,369,3.90647951559654E-05,0.997764096277252
131,314,3.32421292113093E-05,0.997797338406463
132,361,3.82178619276518E-05,0.997835556268391
133,307,3.25010626365349E-05,0.997868057331027
134,291,3.08071961799077E-05,0.997898864527207
135,327,3.46183957073189E-05,0.997933482922915
136,325,3.44066624002405E-05,0.997967889585315
137,295,3.12306627940645E-05,0.997999120248109
138,304,3.21834626759173E-05,0.998031303710785
139,257,2.72077299595748E-05,0.998058511440745
140,269,2.84781298020452E-05,0.998086989570547
141,302,3.19717293688389E-05,0.998118961299915
142,241,2.55138635029476E-05,0.998144475163418
143,247,2.61490634241828E-05,0.998170624226843
144,285,3.01719962586725E-05,0.998200796223101
145,271,2.86898631091236E-05,0.99822948608621
146,240,2.54079968494084E-05,0.99825489408306
147,210,2.22319972432323E-05,0.998277126080303
148,270,2.85839964555844E-05,0.998305710076759
149,214,2.26554638573891E-05,0.998328365540616
150,202,2.13850640149187E-05,0.998349750604631
151,227,2.40317303533988E-05,0.998373782334984
152,247,2.61490634241828E-05,0.998399931398409
153,194,2.05381307866051E-05,0.998420469529195
154,237,2.50903968887908E-05,0.998445559926084
155,236,2.49845302352516E-05,0.998470544456319
156,176,1.86325310228995E-05,0.998489176987342
157,225,2.38199970463204E-05,0.998512996984388
158,192,2.03263974795267E-05,0.998533323381868
159,197,2.08557307472227E-05,0.998554179112615
160,184,1.94794642512131E-05,0.998573658576866
161,161,1.70445312198115E-05,0.998590703108086
162,178,1.88442643299779E-05,0.998609547372416
163,179,1.89501309835171E-05,0.9986284975034
164,142,1.50330648025666E-05,0.998643530568202
165,191,2.02205308259875E-05,0.998663751099028
166,159,1.68327979127331E-05,0.998680583896941
167,162,1.71503978733507E-05,0.998697734294814
168,140,1.48213314954882E-05,0.99871255562631
169,158,1.67269312591939E-05,0.998729282557569
170,165,1.74679978339683E-05,0.998746750555403
171,161,1.70445312198115E-05,0.998763795086623
172,176,1.86325310228995E-05,0.998782427617646
173,145,1.53506647631842E-05,0.998797778282409
174,146,1.54565314167234E-05,0.998813234813825
175,135,1.42919982277922E-05,0.998827526812053
176,126,1.33391983459394E-05,0.998840866010399
177,139,1.4715464841949E-05,0.998855581475241
178,132,1.39743982671746E-05,0.998869555873509
179,111,1.17511985428514E-05,0.998881307072051
180,134,1.4186131574253E-05,0.998895493203625
181,100,1.05866653539202E-05,0.998906079868979
182,124,1.3127465038861E-05,0.998919207334018
183,119,1.2598131771165E-05,0.998931805465789
184,127,1.34450649994786E-05,0.998945250530789
185,103,1.09042653145378E-05,0.998956154796103
186,100,1.05866653539202E-05,0.998966741461457
187,107,1.13277319286946E-05,0.998978069193386
188,111,1.17511985428514E-05,0.998989820391929
189,108,1.14335985822338E-05,0.999001253990511
190,115,1.21746651570082E-05,0.999013428655668
191,87,9.21039885791054E-06,0.999022639054526
192,101,1.06925320074594E-05,0.999033331586534
193,98,1.03749320468418E-05,0.99904370651858
194,76,8.04586566897932E-06,0.999051752384249
195,98,1.03749320468418E-05,0.999062127316296
196,96,1.01631987397634E-05,0.999072290515036
197,83,8.78693224375374E-06,0.99908107744728
198,84,8.89279889729294E-06,0.999089970246177
199,81,8.57519893667533E-06,0.999098545445114
200,86,9.10453220437134E-06,0.999107649977318
201,76,8.04586566897932E-06,0.999115695842987
202,87,9.21039885791054E-06,0.999124906241845
203,78,8.25759897605773E-06,0.999133163840821
204,89,9.42213216498895E-06,0.999142585972986
205,90,9.52799881852815E-06,0.999152113971804
206,67,7.09306578712651E-06,0.999159207037592
207,70,7.41066574774411E-06,0.999166617703339
208,91,9.63386547206735E-06,0.999176251568811
209,92,9.73973212560655E-06,0.999185991300937
210,86,9.10453220437134E-06,0.999195095833141
211,68,7.19893244066571E-06,0.999202294765582
212,61,6.4578658658913E-06,0.999208752631448
213,82,8.68106559021453E-06,0.999217433697038
214,72,7.62239905482252E-06,0.999225056096093
215,73,7.72826570836172E-06,0.999232784361801
216,71,7.51653240128332E-06,0.999240300894203
217,53,5.61093263757769E-06,0.99924591182684
218,51,5.39919933049928E-06,0.999251311026171
219,62,6.5637325194305E-06,0.99925787475869
220,66,6.98719913358731E-06,0.999264861957824
221,63,6.6695991729697E-06,0.999271531556997
222,71,7.51653240128332E-06,0.999279048089398
223,55,5.82266594465609E-06,0.999284870755343
224,73,7.72826570836172E-06,0.999292599021051
225,58,6.1402659052737E-06,0.999298739286956
226,44,4.65813275572487E-06,0.999303397419712
227,57,6.03439925173449E-06,0.999309431818964
228,53,5.61093263757769E-06,0.999315042751601
229,54,5.71679929111689E-06,0.999320759550892
230,50,5.29333267696008E-06,0.999326052883569
231,67,7.09306578712651E-06,0.999333145949356
232,59,6.2461325588129E-06,0.999339392081915
233,49,5.18746602342088E-06,0.999344579547939
234,46,4.86986606280328E-06,0.999349449414002
235,58,6.1402659052737E-06,0.999355589679907
236,61,6.4578658658913E-06,0.999362047545773
237,42,4.44639944864647E-06,0.999366493945221
238,46,4.86986606280328E-06,0.999371363811284
239,42,4.44639944864647E-06,0.999375810210733
240,45,4.76399940926407E-06,0.999380574210142
241,40,4.23466614156807E-06,0.999384808876284
242,31,3.28186625971525E-06,0.999388090742543
243,50,5.29333267696008E-06,0.99939338407522
244,50,5.29333267696008E-06,0.999398677407897
245,48,5.08159936988168E-06,0.999403759007267
246,29,3.07013295263685E-06,0.99940682914022
247,36,3.81119952741126E-06,0.999410640339747
248,36,3.81119952741126E-06,0.999414451539275
249,39,4.12879948802886E-06,0.999418580338763
250,43,4.55226610218567E-06,0.999423132604865
251,37,3.91706618095046E-06,0.999427049671046
252,27,2.85839964555844E-06,0.999429908070691
253,31,3.28186625971525E-06,0.999433189936951
254,31,3.28186625971525E-06,0.999436471803211
255,33,3.49359956679365E-06,0.999439965402778
256,48,5.08159936988168E-06,0.999445047002148
257,42,4.44639944864647E-06,0.999449493401596
258,45,4.76399940926407E-06,0.999454257401005
259,31,3.28186625971525E-06,0.999457539267265
260,42,4.44639944864647E-06,0.999461985666714
261,33,3.49359956679365E-06,0.999465479266281
262,35,3.70533287387206E-06,0.999469184599155
263,40,4.23466614156807E-06,0.999473419265296
264,47,4.97573271634248E-06,0.999478394998012
265,28,2.96426629909765E-06,0.999481359264311
266,34,3.59946622033286E-06,0.999484958730532
267,33,3.49359956679365E-06,0.999488452330099
268,35,3.70533287387206E-06,0.999492157662973
269,34,3.59946622033286E-06,0.999495757129193
270,33,3.49359956679365E-06,0.99949925072876
271,22,2.32906637786244E-06,0.999501579795137
272,37,3.91706618095046E-06,0.999505496861318
273,29,3.07013295263685E-06,0.999508566994271
274,25,2.64666633848004E-06,0.999511213660609
275,20,2.11733307078403E-06,0.99951333099368
276,25,2.64666633848004E-06,0.999515977660019
277,31,3.28186625971525E-06,0.999519259526278
278,26,2.75253299201924E-06,0.99952201205927
279,25,2.64666633848004E-06,0.999524658725609
280,21,2.22319972432323E-06,0.999526881925333
281,29,3.07013295263685E-06,0.999529952058286
282,34,3.59946622033286E-06,0.999533551524506
283,23,2.43493303140164E-06,0.999535986457538
284,29,3.07013295263685E-06,0.99953905659049
285,32,3.38773291325445E-06,0.999542444323403
286,31,3.28186625971525E-06,0.999545726189663
287,27,2.85839964555844E-06,0.999548584589309
288,27,2.85839964555844E-06,0.999551442988954
289,26,2.75253299201924E-06,0.999554195521946
290,40,4.23466614156807E-06,0.999558430188088
291,18,1.90559976370563E-06,0.999560335787852
