f,developers,cnt,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,refactor_mle_avg_same,commit_hours_same,owned_repository_avg_better,owned_repository_avg_same,commits_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
Extraordinary,672,10897,0.54106634853629476,0.9137377259796251,0.60952555749289,0.000642378636321925,0.7770028448196763,0.05726346700926857,1.0,0.99954115811691191,0.63384417729650389,0.57814077268973108,0.73249518216022669,0.4659998164632459,0.73910250527668564,0.634578324309446
High,1259,58082,0.56013911366688984,0.95599325092111354,0.62215488447367417,0.00067146448125064283,0.89153266072104576,0.06079336111015466,0.99951792293654129,0.998984194759139,0.64407217382321391,0.59200785096931763,0.84690609827485486,0.44418236286629165,0.73601115664061523,0.6464309080265902
Low,668,73108,0.58405372873009531,0.95037478798489872,0.5727143404278574,0.0031733873173934875,0.90282869179844449,0.062127263774141982,0.99991792963833959,0.99984953767029916,0.62567708048367465,0.58918312633363679,0.8316463314548358,0.45279586365377283,0.75767357881490294,0.62725009574874713
Medium,2154,287972,0.55138346783714387,0.9400566721764404,0.591717250288223,0.00071881988526662031,0.8882148264414671,0.060335727084578392,0.99995485672218942,0.99977081105106025,0.66884627672133035,0.56469031711415429,0.892312447043481,0.45007153473253408,0.742599974997579,0.66979428555554987
