f,Continued,developers,repos,cnt,refactor_mle,message_length_avg,commit_hours,high_refactor,high_message_length_avg,high_commit_hours
Medium,false,41741,8175,50074,0.12341707088522916,105.10062593589804,10.507448975516187,0.25132803450892688,0.338578903223227,0.069517114670288191
Medium,true,40578,9028,112749,0.1228216770647091,104.29902440370979,13.114963325617062,0.24207753505574436,0.35090333395417683,0.19930110244879948
New,false,11818,3508,13800,0.12247590018117416,119.33738946672996,10.715072463768134,0.2576811594202903,0.34804347826087007,0.072753623188405808
New,true,11545,3970,27264,0.1196839799862011,141.93722446893014,13.170444542253579,0.24031690140845161,0.37943808685445568,0.19131455399061015
Old,false,34027,3992,40732,0.15424670678707503,119.51539165013234,10.646886968476869,0.31294805067268688,0.41586467642148789,0.07861141117548795
Old,true,34417,4217,104777,0.15320042784996696,134.70933705375467,13.467411741126392,0.30748160378708633,0.44525038892123064,0.22404726228084423
Pre GitHub,false,16693,809,18916,0.2447299623315467,299.52132871134171,10.4835588919434,0.47430746458025075,0.66673715373228559,0.085483188834849053
Pre GitHub,true,20572,827,64038,0.24198795155066261,306.07014650736056,13.252037852525072,0.490115244073831,0.70451919172990363,0.22024422998844381
