f,cnt,developers,prob,agg
1,125,71,0.00064718551961231,0.00064718551961231
2,230,118,0.00119082135608665,0.00183800687569896
3,222,126,0.00114940148283146,0.00298740835853042
4,285,173,0.00147558298471607,0.00446299134324649
5,327,191,0.0016930373193058,0.00615602866255229
6,474,271,0.00245412749036988,0.00861015615292217
7,744,518,0.00385204821273247,0.0124622043656546
8,1649,1319,0.00853767137472559,0.0209998757403802
9,3861,3177,0.019990266329785,0.0409901420701653
10,7501,5945,0.0388363086608955,0.0798264507310608
11,10371,8122,0.0536956881911941,0.133522138922255
12,11907,9371,0.0616483038561902,0.195170442778445
13,13355,10663,0.0691453009153792,0.264315743693824
14,15137,11933,0.0783715776829723,0.342687321376797
15,17143,13278,0.0887576109017106,0.431444932278507
16,18477,13980,0.0956643747670132,0.52710930704552
17,19291,13980,0.0998788468707286,0.626988153916249
18,17884,12918,0.0925941266619724,0.719582280578221
19,15192,10850,0.0786563393116017,0.798238619889823
20,11854,8596,0.0613738971958746,0.859612517085698
21,8674,6419,0.0449094975769374,0.904522014662635
22,6501,4741,0.033658824503997,0.938180839166632
23,5353,3721,0.0277150726918776,0.96589591185851
24,6587,3496,0.0341040881414903,1
,193144,,,
