f,message_length,refactor,hours,cnt
,169.79999999999998,0.0,0,10
1,104.9412940479878,0.10840539526812473,24,4561701
2,147.04826402240371,0.10497047283463451,24,9375265
3,147.2962067901617,0.10764959701644478,24,10196694
4,142.70972059833525,0.10821078153057728,24,10215544
5,143.56762562555764,0.10820969402670501,24,9984891
6,144.05088804766871,0.10869943848108193,24,9318475
7,116.18884414084103,0.10862415412309599,24,4683010
