f,Continued,developers,repos,cnt,refactor_mle,message_length_avg,commit_hours,high_refactor,high_message_length_avg,high_commit_hours
0,false,42893,6474,51511,0.17084682638765875,185.66380299644888,10.565568519345426,0.34066510065811212,0.48317835025528716,0.0784492632641573
0,true,45342,7146,131351,0.18134222062754723,212.2844133102268,13.206538206789277,0.36377340103996286,0.53128640056032517,0.21048183873742976
1,false,11300,1580,12918,0.16354991596222274,123.23045675325982,10.982582443102627,0.32954017649791145,0.42165969964390659,0.0845332094751514
1,true,12351,1779,35589,0.16578304365453708,150.13812371865572,13.868217707718763,0.33968361010424364,0.45030767933912108,0.24799797690297551
2,false,3412,702,3975,0.14537915662800233,105.61276436558688,10.768805031446522,0.30792452830188727,0.31446540880503221,0.086037735849056635
2,true,3228,767,9472,0.13926296900485605,92.555495099345976,13.77734375000006,0.28431165540540626,0.31059966216216345,0.2501055743243249
3,false,11560,1813,13523,0.15336993216893094,117.23939069154397,10.535679952673139,0.31760703985801747,0.41336981439029757,0.062929823264068749
3,true,12236,1952,36717,0.15183563709588915,132.97737832115766,13.102949587384474,0.31230765040716973,0.45575618923114952,0.18694337772693698
4,false,11590,2198,14241,0.11282261973139344,98.989399243380518,10.543852257566208,0.22407134330454259,0.31296959483182329,0.072817920089881111
4,true,10807,2357,30792,0.10888674755496101,99.4302904066206,13.169167316186003,0.20800857365549458,0.33313847752662989,0.20323460639127192
5,false,5619,1096,7159,0.12263959159489879,97.898096662157,10.1659449643805,0.25199050146668495,0.33216929738790291,0.069842156725799784
5,true,5463,1199,19544,0.12545802361845196,106.72465991916145,12.955126893164152,0.25107449856733582,0.37361850184199991,0.20093123209169053
6,false,17154,2621,20195,0.13530212754284446,107.55594852978409,10.481059668234673,0.27437484525872863,0.36132706115375041,0.0713542956177266
6,true,16261,2842,45363,0.13757943548056514,114.85597244758728,13.203249344179209,0.26686947512290143,0.41068712386746681,0.20666622577871652
