age_group,developers,cnt,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,refactor_mle_avg_same,commit_hours_same,owned_repository_avg_better,owned_repository_avg_same,commits_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
Medium,2340,348911,0.53833499087159675,0.95028818237314949,0.58035716844695362,0.00040124845590996304,0.91111773489512871,0.059075236951543458,0.99989968788602268,0.99972485820166568,0.63293504647317811,0.54634849574820687,0.87927293779785931,0.46482340768849451,0.73751472438528454,0.63469480755838248
New,436,74303,0.62448353363928977,0.93355584565899408,0.61066174986205524,0.00064600352610257928,0.84167530247770306,0.067386242816575376,0.99997308318641032,0.99989233274565315,0.66238240717063912,0.578846076201504,0.80252479711451929,0.41917553799981061,0.7437923098663507,0.66292074344239182
Old,1973,70637,0.546031116836788,0.92166994634539834,0.61535739060265693,0.0035250647677562397,0.8313631666124035,0.063267126293585246,0.99953282274162925,0.99881082152413814,0.68428727154324565,0.60530600110423993,0.86750569814685907,0.43927403485425603,0.75835610232598538,0.68595778416410613
Pre GitHub,637,2586,0.49845320959010103,0.7625676720804333,0.735885537509668,0.028228924980665097,0.46171693735498792,0.098221191028615609,0.99767981438515219,0.99767981438515219,0.72351121423047227,0.6871616395978366,0.65622583139984647,0.39713843774168522,0.76372776488785721,0.72351121423047116
