f,developers,cnt,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,refactor_mle_avg_same,commit_hours_same
0,18178,21193,0.48129099230878059,0.57278346623885135,0.68130986646534786,0.0046241683574765359,0.10706365309300281,0.10173170386448421
1,4834,5512,0.49056603773584911,0.542452830188678,0.67398403483309088,0.0041727140783744555,0.0707547169811321,0.093432510885341144
2,1357,1553,0.49710238248551281,0.568576947842884,0.669027688345138,0.0025756600128783065,0.12942691564713477,0.10560206052801033
3,5031,5815,0.50335339638865007,0.57919174548581032,0.690799656061908,0.0025795356835769507,0.11006018916595015,0.097162510748065131
4,4619,5720,0.49318181818181761,0.6132867132867118,0.67937062937063031,0.006293706293706308,0.18461538461538471,0.095279720279720023
5,2207,2866,0.49685973482205126,0.58862526168876528,0.6953942777390093,0.00872295882763433,0.13084438241451513,0.09804605722261
6,6537,7635,0.50857891290111312,0.58009168303863679,0.67701375245579609,0.0058939096267190691,0.10648330058939055,0.1093647675180094
