year,cases,developers,cur_message_length_avg,first_message_length_avg,message_length_avg_delta,cur_high_message_length_avg,first_high_message_length_avg,high_message_length_avg_delta,cur_refactor_mle,first_refactor_mle,refactor_mle_delta,cur_high_refactor_mle,first_high_refactor_mle,high_refactor_mle_delta,cur_commit_hours,first_commit_hours,commit_hours_delta,cur_high_commit_hours,first_high_commit_hours,high_commit_hours_delta
2010,107,103,106.05328860874305,96.275535827946584,9.7777527807964724,0.32710280373831774,0.3364485981308411,-0.0093457943925233568,0.15268680114675254,0.1677698797962531,-0.015083078649500592,0.28971962616822428,0.31775700934579443,-0.028037383177570079,16.056074766355142,16.616822429906541,-0.56074766355140193,0.3925233644859813,0.45794392523364486,-0.065420560747663573
2009,62,57,98.9694930988079,94.353824117755451,4.6156689810524494,0.43548387096774194,0.45161290322580649,-0.01612903225806453,0.17670176438738106,0.14704286070749917,0.029658903679881877,0.37096774193548387,0.29032258064516131,0.080645161290322578,16.451612903225804,17.822580645161292,-1.3709677419354838,0.45161290322580638,0.5,-0.048387096774193575
2008,31,30,105.62443053418686,121.72873117341078,-16.104300639223929,0.5161290322580645,0.58064516129032251,-0.064516129032258049,0.14483108421007135,0.14442452543788911,0.00040655877218230552,0.25806451612903225,0.25806451612903231,0.0,18.387096774193548,16.483870967741936,1.9032258064516132,0.70967741935483875,0.48387096774193544,0.22580645161290328
2007,25,22,233.77682520591597,185.04409128573275,48.732733920183222,0.43999999999999995,0.6399999999999999,-0.19999999999999998,0.22051358968316731,0.20308398313876469,0.0174296065444026,0.3600000000000001,0.56,-0.19999999999999998,16.04,16.679999999999996,-0.6399999999999999,0.32,0.36,-0.04
2006,24,24,122.21904120802668,128.38148138274119,-6.1624401747144981,0.37499999999999994,0.625,-0.24999999999999997,0.18014143456215317,0.21297663302136782,-0.032835198459214662,0.41666666666666669,0.37499999999999994,0.041666666666666644,16.541666666666664,15.0,1.5416666666666667,0.375,0.24999999999999997,0.12499999999999999
2005,25,24,203.71274496387872,122.828161279923,80.884583683955682,0.55999999999999994,0.52,0.040000000000000022,0.25596315411119908,0.16762714235423673,0.08833601175696236,0.52,0.32,0.2,17.439999999999998,16.0,1.4400000000000002,0.6,0.27999999999999997,0.32
2004,5,5,65.559617353835776,59.023719970780142,6.5358973830556426,0.2,0.2,0.0,0.12251353690871584,0.10065173504794478,0.021861801860771076,0.2,0.2,0.0,14.8,16.8,-2.0,0.2,0.4,-0.2
2003,11,11,109.7293959936863,131.89531730233327,-22.165921308646976,0.36363636363636365,0.63636363636363635,-0.27272727272727276,0.19851277255995695,0.1608235278026959,0.037689244757261035,0.54545454545454541,0.18181818181818182,0.36363636363636365,16.09090909090909,16.272727272727273,-0.18181818181818166,0.36363636363636365,0.36363636363636365,0.0
2002,3,3,104.80426161188412,106.59594939467449,-1.7916877827903619,0.33333333333333337,0.66666666666666674,-0.33333333333333331,0.0633958022450763,0.13364233780087056,-0.070246535555794284,0.0,0.33333333333333337,-0.33333333333333337,19.333333333333332,18.333333333333332,1.0,1.0,0.33333333333333331,0.66666666666666674
2001,1,1,85.538043478260846,41.530612244897952,44.007431233362894,1.0,0.0,1.0,0.059695652173913039,0.07155102040816326,-0.011855368234250221,0.0,0.0,0.0,18.0,17.0,1.0,1.0,0.0,1.0
2000,1,1,167.3369565217391,200.5,-33.1630434782609,1.0,1.0,0.0,0.24708695652173915,0.46716279069767441,-0.22007583417593526,1.0,1.0,0.0,14.0,22.0,-8.0,0.0,1.0,-1.0
1999,3,3,214.28438665193707,124.14998009486986,90.1344065570672,1.0,0.66666666666666663,0.33333333333333337,0.23084781586933859,0.1543720752391427,0.07647574063019591,0.33333333333333331,0.0,0.33333333333333331,18.0,16.666666666666668,1.3333333333333333,0.66666666666666663,0.33333333333333337,0.33333333333333331
1997,2,2,137.32630034405992,129.04269746646796,8.2836028775919743,1.0,1.0,0.0,0.090010996424475465,0.0781499254843517,0.011861070940123765,0.0,0.0,0.0,18.0,12.5,5.5,0.5,0.0,0.5
