refactor_mle,developers,cnt
-0.034,794,1173666
-0.016408163265306128,1,1
-0.014183908045977016,1,1
-0.011610389610389613,1,1
-0.0086470588235294139,1,1
0.0011836734693877471,1,1
0.0019166666666666637,1,1
0.0026808510638297867,1,1
0.0043111111111111128,1,2
0.0102051282051282,1,1
0.013888888888888881,1,1
0.019874999999999997,1,1
0.021612903225806446,1,1
0.023466666666666663,2,2
0.025448275862068964,1,1
0.026491228070175434,1,1
0.028126126126126125,1,1
0.029266055045871556,1,2
0.0329514563106796,1,1
0.034960000000000005,1,1
0.035891891891891889,1,1
0.0363673469387755,1,1
0.03783333333333333,3,3
0.040956521739130433,2,2
0.044363636363636369,1,1
0.045569230769230765,1,1
0.048095238095238094,4,5
0.052199999999999996,2,2
0.053206225680933847,1,4
0.056736842105263155,1,4
0.061777777777777765,3,8
0.067411764705882352,4,5
0.070484848484848484,1,3
0.07375,6,15
0.0772258064516129,1,1
0.080933333333333329,11,11
0.082881355932203388,1,1
0.083278911564625857,1,8
0.084896551724137931,1,1
0.089142857142857135,7,7
0.0937037037037037,1,1
0.0953,1,1
0.0986153846153846,8,9
0.10966666666666666,15,22
0.11210169491525424,1,1
0.11811764705882352,1,1
0.12272727272727274,1,1
0.12864150943396227,1,1
0.13019047619047619,2,3
0.13578787878787876,1,1
0.1384,3,3
0.14282051282051281,1,1
0.14747368421052631,3,3
0.15339130434782608,1,1
0.15755555555555553,4,5
0.16492307692307692,2,2
0.16882352941176471,1,2
0.17656488549618318,1,1
0.17710204081632652,1,1
0.1815,5,7
0.18948148148148147,1,1
0.19086956521739129,1,1
0.19586666666666666,6,7
0.20020377358490565,1,1
0.21228571428571427,6,6
0.21952941176470589,1,1
0.2246,1,4
0.22622641509433963,1,1
0.23123076923076921,8,11
0.23309859154929577,1,1
0.24904477611940298,1,1
0.2533333333333333,12,27
0.26154285714285719,1,1
0.26324137931034486,2,3
0.26582608695652177,1,2
0.28357894736842104,1,2
0.28525925925925921,1,1
0.28925,1,1
0.29438095238095241,2,6
0.31079999999999997,3,3
0.33542857142857141,4,4
0.34911111111111104,4,17
0.3539,1,1
0.35781818181818181,1,2
0.36108333333333331,1,1
0.36384615384615382,2,3
0.3669302325581395,1,1
0.37164705882352944,1,1
0.37647619047619041,1,7
0.38535135135135135,1,1
0.397,9,20
0.40545098039215688,1,1
0.40702325581395349,1,1
0.41090322580645156,1,14
0.41424000000000005,1,1
0.41573913043478261,1,1
0.4257333333333333,1,1
0.45225641025641028,1,2
0.45857142857142852,1,1
0.48319999999999996,2,2
0.48720930232558135,1,1
0.4964615384615384,1,2
0.50474999999999992,1,1
0.51768,1,1
0.52014285714285713,1,1
0.54066666666666663,3,3
0.54734883720930227,1,1
0.58171428571428574,1,1
0.63644444444444437,1,2
0.67127272727272724,1,2
0.68767441860465117,1,2
0.69189473684210523,1,1
0.72351515151515144,1,2
0.77053333333333329,1,1
0.87870588235294111,1,1
1.0269230769230768,2,5
1.69,3,8
