f,cnt,developers,,
0,20,11,0.00010354968313797,0.00010354968313797
1,23,18,0.000119082135608665,0.000222631818746635
2,26,13,0.00013461458807936,0.000357246406825995
3,28,22,0.000144969556393157,0.000502215963219153
4,41,28,0.000212276850432838,0.00071449281365199
5,41,32,0.000212276850432838,0.000926769664084828
6,85,61,0.000440086153336371,0.0013668558174212
7,105,68,0.00054363583647434,0.00191049165389554
8,109,84,0.000564345773101934,0.00247483742699747
9,116,100,0.000600588162200224,0.0030754255891977
10,126,104,0.000652363003769208,0.00372778859296691
11,177,120,0.000916414695771031,0.00464420328873794
12,177,141,0.000916414695771031,0.00556061798450897
13,214,179,0.00110798160957627,0.00666859959408524
14,213,171,0.00110280412541938,0.00777140371950462
15,271,216,0.00140309820651949,0.00917450192602411
16,347,292,0.00179658700244377,0.0109710889284679
17,419,345,0.00216936586174046,0.0131404547902083
18,496,390,0.00256803214182165,0.01570848693203
19,521,439,0.00269746924574411,0.0184059561777741
20,620,517,0.00321004017727706,0.0216159963550512
21,695,583,0.00359835148904444,0.0252143478440956
22,741,648,0.00383651576026177,0.0290508636043574
23,868,734,0.00449405624818788,0.0335449198525452
24,1001,828,0.00518266164105538,0.0387275814936006
25,1015,849,0.00525514641925196,0.0439827279128526
26,1136,994,0.00588162200223667,0.0498643499150893
27,1226,1084,0.00634759557635754,0.0562119454914468
28,1390,1237,0.00719670297808889,0.0634086484695357
29,1503,1301,0.00778175868781842,0.0711904071573541
30,1674,1427,0.00866710847864806,0.0798575156360022
31,1843,1527,0.0095421033011639,0.0893996189371661
32,1863,1618,0.00964565298430187,0.0990452719214679
33,1938,1695,0.0100339642960693,0.109079236217537
34,2102,1834,0.0108830716978006,0.119962307915338
35,2066,1841,0.0106966822681523,0.13065899018349
36,2101,1810,0.0108778942136437,0.141536884397134
37,2290,2006,0.0118564387192975,0.153393323116431
38,2397,2086,0.0124104295240857,0.165803752640517
39,2409,2141,0.0124725593339684,0.178276311974485
40,2405,2114,0.0124518493973408,0.190728161371826
41,2390,2113,0.0123741871349874,0.203102348506814
42,2449,2167,0.0126796587002444,0.215782007207058
43,2459,2172,0.0127314335418134,0.228513440748871
44,2453,2178,0.012700368636872,0.241213809385743
45,2501,2184,0.0129488878764031,0.254162697262146
46,2407,2162,0.0124622043656546,0.266624901627801
47,2457,2178,0.0127210785734996,0.279345980201301
48,2504,2181,0.0129644203288738,0.292310400530174
49,2443,2133,0.012648593795303,0.304958994325477
50,2387,2083,0.0123586546825167,0.317317649007994
51,2394,2074,0.012394897071615,0.329712546079609
52,2304,2010,0.0119289234974941,0.341641469577103
53,2294,1966,0.0118771486559251,0.353518618233028
54,2262,2011,0.0117114691629044,0.365230087395933
55,2214,2008,0.0114629499233732,0.376693037319306
56,2056,1844,0.0106449074265833,0.387337944745889
57,2080,1902,0.0107691670463488,0.398107111792238
58,1930,1749,0.00999254442281407,0.408099656215052
59,1915,1741,0.00991488216046059,0.418014538375513
60,1916,1758,0.00992005964461749,0.42793459802013
61,1835,1671,0.00950068342790871,0.437435281448039
62,1737,1583,0.00899328998053266,0.446428571428571
63,1646,1514,0.0085221389222549,0.454950710350826
64,1571,1470,0.00813382761048751,0.463084537961314
65,1598,1470,0.00827361968272377,0.471358157644038
66,1659,1511,0.00858944621629458,0.479947603860332
67,1470,1352,0.00761090171064077,0.487558505570973
68,1470,1359,0.00761090171064077,0.495169407281614
69,1487,1384,0.00769891894130804,0.502868326222922
70,1409,1316,0.00729507517706996,0.510163401399992
71,1318,1249,0.0068239241187922,0.516987325518784
72,1294,1203,0.00669966449902663,0.523686990017811
73,1279,1180,0.00662200223667316,0.530308992254484
74,1186,1085,0.0061404962100816,0.536449488464565
75,1258,1165,0.00651327506937829,0.542962763533944
76,1204,1101,0.00623369092490577,0.549196454458849
77,1090,998,0.00564345773101934,0.554839912189869
78,1096,1029,0.00567452263596073,0.560514434825829
79,1194,1091,0.00618191608333679,0.566696350909166
80,1130,1052,0.00585055709729528,0.572546908006461
81,1055,977,0.0054622457855279,0.578009153791989
82,1047,957,0.00542082591227271,0.583429979704262
83,1027,946,0.00531727622913474,0.588747255933397
84,952,863,0.00492896491736735,0.593676220850764
85,1009,933,0.00522408151431057,0.598900302365075
86,985,904,0.005099821894545,0.60400012425962
87,955,879,0.00494449736983805,0.608944621629458
88,930,872,0.00481506026591559,0.613759681895373
89,862,804,0.00446299134324649,0.61822267323862
90,872,788,0.00451476618481548,0.622737439423435
91,882,816,0.00456654102638446,0.62730398044982
92,891,801,0.00461313838379655,0.631917118833616
93,870,784,0.00450441121650168,0.636421530050118
94,822,738,0.00425589197697055,0.640677422027089
95,841,782,0.00435426417595162,0.64503168620304
96,779,716,0.00403326015822392,0.649064946361264
97,758,693,0.00392453299092905,0.652989479352193
98,750,689,0.00388311311767386,0.656872592469867
99,791,736,0.0040953899681067,0.660967982437974
100,714,667,0.00369672368802551,0.664664706125999
101,723,660,0.0037433210454376,0.668408027171437
102,665,598,0.00344302696433749,0.671851054135774
103,691,626,0.00357764155241685,0.675428695688191
104,718,649,0.00371743362465311,0.679146129312844
105,704,624,0.00364494884645653,0.682791078159301
106,791,635,0.0040953899681067,0.686886468127408
107,932,564,0.00482541523422938,0.691711883361637
108,583,533,0.00301847326347181,0.694730356625109
109,600,566,0.00310649049413909,0.697836847119248
110,538,501,0.00278548647641138,0.700622333595659
111,543,508,0.00281137389719587,0.703433707492855
112,547,518,0.00283208383382347,0.706265791326679
113,524,494,0.0027130016982148,0.708978793024893
114,512,489,0.00265087188833202,0.711629664913225
115,477,438,0.00246965994284057,0.714099324856066
116,491,465,0.00254214472103715,0.716641469577103
117,500,454,0.00258874207844924,0.719230211655552
118,469,440,0.00242824006958539,0.721658451725138
119,434,417,0.00224702812409394,0.723905479849232
120,438,422,0.00226773806072153,0.726173217909953
121,480,451,0.00248519239531127,0.728658410305264
122,437,418,0.00226256057656464,0.730920970881829
123,407,372,0.00210723605185768,0.733028206933687
124,462,429,0.0023919976804871,0.735420204614174
125,410,398,0.00212276850432838,0.737542973118502
126,430,393,0.00222631818746635,0.739769291305969
127,389,365,0.00201404133703351,0.741783332643002
128,434,408,0.00224702812409394,0.744030360767096
129,388,374,0.00200886385287661,0.746039224619973
130,367,348,0.00190013668558174,0.747939361305554
131,377,350,0.00195191152715073,0.749891272832705
132,379,353,0.00196226649546452,0.75185353932817
133,379,353,0.00196226649546452,0.753815805823634
134,363,328,0.00187942674895415,0.755695232572588
135,383,353,0.00198297643209212,0.75767820900468
136,320,302,0.00165679493020751,0.759335003934888
137,391,372,0.00202439630534731,0.761359400240235
138,340,303,0.00176034461334548,0.763119744853581
139,313,290,0.00162055254110922,0.76474029739469
140,359,326,0.00185871681232655,0.766599014207016
141,327,311,0.0016930373193058,0.768292051526322
142,346,321,0.00179140951828687,0.770083461044609
143,339,306,0.00175516712918858,0.771838628173798
144,331,307,0.0017137472559334,0.773552375429731
145,307,289,0.00158948763616783,0.775141863065899
146,319,297,0.00165161744605062,0.77679348051195
147,285,264,0.00147558298471607,0.778269063496666
148,291,267,0.00150664788965746,0.779775711386323
149,276,258,0.00142898562730398,0.781204697013627
150,293,280,0.00151700285797125,0.782721699871598
151,308,290,0.00159466512032473,0.784316364991923
152,283,261,0.00146522801640227,0.785781593008325
153,285,269,0.00147558298471607,0.787257175993041
154,290,264,0.00150147040550056,0.788758646398542
155,285,269,0.00147558298471607,0.790234229383258
156,250,240,0.00129437103922462,0.791528600422483
157,287,267,0.00148593795302986,0.793014538375513
158,276,243,0.00142898562730398,0.794443524002817
159,278,251,0.00143934059561778,0.795882864598434
160,251,236,0.00129954852338152,0.797182413121816
161,260,235,0.0013461458807936,0.798528559002609
162,257,237,0.00133061342832291,0.799859172430932
163,249,211,0.00128919355506772,0.801148365986
164,252,238,0.00130472600753842,0.802453091993539
165,240,224,0.00124259619765564,0.803695688191194
166,238,222,0.00123224122934184,0.804927929420536
167,241,230,0.00124777368181253,0.806175703102348
168,249,234,0.00128919355506772,0.807464896657416
169,232,216,0.00120117632440045,0.808666072981817
170,220,205,0.00113904651451767,0.809805119496334
171,219,208,0.00113386903036077,0.810938988526695
172,197,185,0.001019964378909,0.811958952905604
173,224,220,0.00115975645114526,0.813118709356749
174,230,201,0.00119082135608665,0.814309530712836
175,197,186,0.001019964378909,0.815329495091745
176,178,162,0.000921592179927929,0.816251087271673
177,215,191,0.00111315909373317,0.817364246365406
178,200,195,0.0010354968313797,0.818399743196786
179,218,206,0.00112869154620387,0.81952843474299
180,196,186,0.0010147868947521,0.820543221637742
181,199,194,0.0010303193472228,0.821573540984965
182,215,211,0.00111315909373317,0.822686700078698
183,151,139,0.000781800107691671,0.823468500186389
184,180,174,0.000931947148241726,0.824400447334631
185,167,162,0.000864639854202046,0.825265087188833
186,153,140,0.000792155076005467,0.826057242264839
187,195,187,0.0010096094105952,0.827066851675434
188,175,168,0.000906059727457234,0.827972911402891
189,186,177,0.000963012053183117,0.828935923456074
190,180,172,0.000931947148241726,0.829867870604316
191,151,144,0.000781800107691671,0.830649670712008
192,172,167,0.000890527274986538,0.831540197986994
193,167,157,0.000864639854202046,0.832404837841196
194,163,159,0.000843929917574452,0.833248767758771
195,190,179,0.000983721989810711,0.834232489748581
196,175,169,0.000906059727457234,0.835138549476039
197,187,164,0.000968189537340016,0.836106739013379
198,156,133,0.000807687528476163,0.836914426541855
199,151,145,0.000781800107691671,0.837696226649546
200,132,127,0.000683427908710599,0.838379654558257
201,160,150,0.000828397465103757,0.839208052023361
202,182,163,0.000942302116555523,0.840150354139916
203,137,131,0.000709315329495092,0.840859669469412
204,168,163,0.000869817338358945,0.84172948680777
205,136,129,0.000704137845338193,0.842433624653109
206,143,138,0.000740380234436483,0.843174004887545
207,151,137,0.000781800107691671,0.843955804995237
208,135,127,0.000698960361181295,0.844654765356418
209,149,144,0.000771445139377874,0.845426210495796
210,141,138,0.000730025266122686,0.846156235761919
211,150,141,0.000776622623534772,0.846932858385453
212,136,127,0.000704137845338193,0.847636996230792
213,128,122,0.000662717972083005,0.848299714202875
214,141,135,0.000730025266122686,0.849029739468997
215,130,118,0.000673072940396802,0.849702812409394
216,129,121,0.000667895456239904,0.850370707865634
217,120,115,0.000621298098827818,0.850992005964462
218,138,132,0.00071449281365199,0.851706498778114
219,135,125,0.000698960361181295,0.852405459139295
220,106,99,0.000548813320631239,0.852954272459926
221,91,86,0.000471151058277762,0.853425423518204
222,130,123,0.000673072940396802,0.854098496458601
223,132,126,0.000683427908710599,0.854781924367311
224,116,107,0.000600588162200224,0.855382512529512
225,113,108,0.000585055709729528,0.855967568239241
226,117,107,0.000605765646357122,0.856573333885598
227,119,112,0.000616120614670919,0.857189454500269
228,116,109,0.000600588162200224,0.857790042662469
229,95,90,0.000491860994905356,0.858281903657375
230,102,98,0.000528103384003645,0.858810007041378
231,122,109,0.000631653067141615,0.85944166010852
232,109,101,0.000564345773101934,0.860006005881622
233,113,111,0.000585055709729528,0.860591061591352
234,82,79,0.000424553700865675,0.861015615292217
235,113,106,0.000585055709729528,0.861600671001947
236,88,82,0.000455618605807066,0.862056289607754
237,94,87,0.000486683510748457,0.862542973118502
238,84,79,0.000434908669179472,0.862977881787682
239,101,96,0.000522925899846746,0.863500807687528
240,110,106,0.000569523257258833,0.864070330944787
241,116,101,0.000600588162200224,0.864670919106988
242,111,102,0.000574700741415731,0.865245619848403
243,104,95,0.000538458352317442,0.865784078200721
244,115,96,0.000595410678043325,0.866379488878764
245,87,82,0.000450441121650168,0.866829930000414
246,96,92,0.000497038479062254,0.867326968479476
247,112,95,0.00057987822557263,0.867906846705049
248,104,99,0.000538458352317442,0.868445305057366
249,101,90,0.000522925899846746,0.868968230957213
250,93,88,0.000481506026591559,0.869449736983805
251,94,84,0.000486683510748457,0.869936420494553
252,105,89,0.00054363583647434,0.870480056331028
253,109,96,0.000564345773101934,0.87104440210413
254,103,97,0.000533280868160543,0.87157768297229
255,105,93,0.00054363583647434,0.872121318808764
256,130,119,0.000673072940396802,0.872794391749161
257,86,75,0.000445263637493269,0.873239655386655
258,104,95,0.000538458352317442,0.873778113738972
259,84,75,0.000434908669179472,0.874213022408151
260,113,104,0.000585055709729528,0.874798078117881
261,89,76,0.000460796089963965,0.875258874207845
262,100,89,0.000517748415689848,0.875776622623535
263,95,84,0.000491860994905356,0.87626848361844
264,91,80,0.000471151058277762,0.876739634676718
265,101,86,0.000522925899846746,0.877262560576565
266,76,71,0.000393488795924284,0.877656049372489
267,83,79,0.000429731185022574,0.878085780557512
268,81,72,0.000419376216708777,0.87850515677422
269,78,68,0.000403843764238081,0.878909000538458
