f,retention,developers,repos,cnt,refactor_mle,message_length_avg,commit_hours,high_refactor,high_message_length_avg,high_commit_hours
Extraordinary,0.70387602624226153,36878,1106,81243,0.20251314390471764,212.57770742896633,13.271888039585036,0.41576505052742635,0.58555198601724889,0.21274448260157738
High,0.70633846882347162,49026,3881,118262,0.15581245621728382,131.52324106503457,12.815781907966995,0.31495323941756942,0.45644416634252871,0.19125331890209771
Low,0.73415114613180632,22018,4748,67008,0.17055793299850225,222.17518283297852,11.448215138490829,0.33233345272206571,0.45364732569244892,0.12494030563514787
Medium,0.71687539003096223,58588,8666,165051,0.12722540135126195,114.35192773035236,12.311267426431741,0.25277641456277056,0.36675330655372584,0.15820564552774372
