f,retention,developers,repos,cnt,refactor_mle,message_length_avg,commit_hours,high_refactor,high_message_length_avg,high_commit_hours
Closed,0.69233782578617331,42933,7228,119979,0.12824991572969738,98.703842751147988,12.444119387559443,0.25164403770660093,0.31891414330841017,0.17757274189650041
Highly Open,0.73713843505452148,42913,4465,126637,0.17330194328485285,179.03036929175042,12.426439350268845,0.3412114942710277,0.48676926964472578,0.17791008946832382
Open,0.74980823318844325,5756,577,15644,0.15459098922431019,155.64517357958857,12.655267195090728,0.3143697264126829,0.41453592431603115,0.17725645614932231
Other,0.709303973916735,63375,6131,169304,0.16275302103723935,175.05136661662107,12.5709847375135,0.33487100127581471,0.508505410386056,0.16407172896092387
