status,cnt,reverted_ratio,bingo_rate,tangling_rate,typo_rate,cursing_rate,refactor_mle,positive_sentiment_rate,negative_sentiment_rate,tests_presence,message_length_avg,commit_hours
Abandoned,24848,0.023481487822158986,0.00715666909612936,0.1070713645704183,0.0016308205358865025,0.0012226009882548908,0.14585544325900934,0.009527121933714645,0.011547783785637445,0.14056882240974744,155.50700778011444,10.2400998068255
Continue,316887,0.012467381085220084,0.009337890371128945,0.12389352141004514,0.0020665423342613432,0.0019749054564461052,0.15791556186704986,0.01064249610555384,0.013868906105119127,0.13443386055422823,160.13234209054727,13.266767017895896
No activity,101781,0.025634159785303569,0.0084301732982902215,0.11457647615362417,0.0022116304999312479,0.0018189422509356846,0.15398185152839533,0.0091755011873179866,0.012345544223774214,0.13660798314437467,138.32262507077326,10.656350399386955
