f,developers,repos,cnt,continue_prob
1,465,433,774,0.41214470284237709
2,1108,964,1604,0.46134663341645871
3,2194,1794,2862,0.46960167714884732
4,4448,3258,5459,0.48122366733834082
5,8681,5529,10245,0.50434358223523679
6,15003,7831,17949,0.53117165301687908
7,21960,9386,26487,0.56167176350662384
8,27311,10338,33860,0.5912876550502052
9,29527,10576,37497,0.6305037736352247
10,29094,10635,37519,0.66385031583997756
11,26978,10603,35102,0.69756709019429342
12,24489,10358,31783,0.72082559859044182
13,22284,9903,28713,0.74391390659283485
14,20233,9638,26359,0.77085625403087976
15,18893,9409,24799,0.79333844106617213
16,17606,9053,23627,0.81597325094171913
17,16029,8630,22241,0.83647318016276306
18,14203,7854,19780,0.85702730030333862
19,11562,6827,16310,0.86916002452483354
20,9019,5490,12502,0.88113901775715819
21,6665,4353,9062,0.88766276760097318
22,4865,3349,6708,0.883720930232559
23,3810,2800,5500,0.89545454545454473
24,3590,2616,6774,0.89105403011514617
