f,message_length,refactor,hours,cnt,developers
,169.79999999999998,0.0,0,10,7
0,151.51469975870708,0.109041864926212,1,1789111,131102
1,153.92784149043493,0.10817286945453368,1,1517839,120125
2,142.6557812714079,0.10535041534278204,1,1379463,113085
3,139.78636948497763,0.10359460652489019,1,1277692,106871
4,145.80514483203805,0.10332671821634115,1,1230011,102839
5,142.06756234365591,0.098744619370862027,1,1339992,110125
6,135.56043990747105,0.10200097897570723,1,1519956,129280
7,128.07902987679688,0.10368274464716729,1,1873494,147874
8,129.31020707950071,0.10361622245168657,1,2314570,162001
9,124.89010351573413,0.10631339467088222,1,2610038,169570
10,132.58537123387828,0.1068099695393676,1,2583991,166486
11,142.78998819145392,0.10786984986726184,1,2545614,168012
12,132.41126577052142,0.10803851928893185,1,2799844,180455
13,131.31963151125859,0.10796228520913786,1,3205851,198941
14,127.87680068008514,0.10800960591697008,1,3493680,213006
15,149.07970813312562,0.10834959802381913,1,3587526,219833
16,146.7386569899576,0.10818450827010152,1,3409148,217825
17,138.081727395839,0.10947628513276998,1,3156775,210279
18,139.4775718472433,0.10940286446950215,1,3067863,203556
19,140.93320821995539,0.10846574001877697,1,3016464,197915
20,141.102853732738,0.10833658528308929,1,3064828,194754
21,141.96789488699895,0.11027782144585524,1,2919753,187084
22,148.51630877569713,0.11352867338238538,1,2533360,169926
23,154.48240520279782,0.11279796180237735,1,2098717,148845
