f,Continued,developers,repos,cnt,refactor_mle,message_length_avg,commit_hours,high_refactor,high_message_length_avg,high_commit_hours
Extraordinary,false,22389,1073,24058,0.19132293808617765,182.38881699361337,11.075733643694297,0.38669049796325483,0.516543353562217,0.091819768891845371
Extraordinary,true,24202,1106,57185,0.20722091642517704,225.27831643646414,14.195820582320632,0.42799685232141316,0.614584244119958,0.26361808166477252
High,false,31030,3651,34812,0.15453546916824751,124.60074458639777,10.671291508675147,0.31606917155003833,0.41933815925542905,0.077588187981155812
High,true,31841,3874,83711,0.15624688314106569,134.3785068428879,13.706944129206295,0.31417615367156221,0.471885415297868,0.23859468887004393
Low,false,14237,3993,17883,0.16148089349502329,203.35157734891931,9.8834647430521514,0.31118939775205562,0.42269194206788624,0.060783984790023872
Low,true,15462,4510,49500,0.17428655206527252,230.45860418815269,12.03715151515136,0.34171717171717075,0.46842424242424263,0.14953535353535186
Medium,false,38993,7767,46769,0.12640731772729791,108.65025052593224,10.504800188158738,0.25634501486027084,0.3575872907267596,0.070709230473177023
Medium,true,38961,8552,118432,0.1275220860943316,116.56264203827298,13.023828019454218,0.25127499324506924,0.37019555525533587,0.1926506349635233
