Metric,Low,Medium,High,Extraordinary
Corrective Multiline Message Prob.,1.0,0.9895111111964285,0.9985165596370358,1.01063206470289
Message Len.,1.0,0.5218630627163622,0.5940636139593751,0.6440373634511897
Multiline Message Prob.,1.0,0.9857374132275514,0.99519673080706,1.0112596427438814
Negative Sentiment,1.0,0.6380785035930719,0.7537016442906505,0.7554984368255039
Positive Sentiment,1.0,0.7297822831476348,0.8998041648825733,0.9041946301111342
Swearing,1.0,1.17911716035947,1.7824680893675717,0.6306273675203873
Commit Day Density,1.0,1.0509582817244862,1.0852015691648824,1.0905281807993314
Commit Duration,1.0,1.2514310495570824,1.4047003998409495,1.7034131091137752
Commits Per Day,1.0,0.9452046881726338,0.9033449930106724,0.8443485280316723
Files Created,1.0,1.0854404348913402,1.0259898922973678,1.0100107459489571
Files Edited,1.0,1.0468623734339888,1.1442966397909702,1.4457279910190748
Code Coupling,1.0,1.0253594006183042,1.0270214601354102,1.0974686554276631
Corrective Commit Prob.,1.0,0.9811050021128874,1.115209884440485,1.173522038033484
Previous Touch Time,1.0,1.022179058529126,0.8686459225372811,0.670945964304201
Refactor Prob.,1.0,0.7499979774895638,0.8648871213032826,0.9929285202176934
Revert Prob.,1.0,0.7691688670960019,0.7258692160368783,0.8142858907237139
Single File Fix Prob.,1.0,0.8950340568636161,0.9306272564602595,0.9556861728736882
Single File Refactor Prob.,1.0,0.8387480569908166,0.8744955172367425,0.9067698934641906
Test Presence,1.0,1.574284628647201,1.9910126765916332,2.4521623537342325
Commit Days,1.0,1.1614359180553138,1.1902268681962433,1.1554925172202362
Commit Period,1.0,0.9813045536573484,0.975134160035207,0.9509504762719695
Commits,1.0,1.1613902810417334,1.1866434416507419,1.1515905098060752
