metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,age_group_code
ccp,3079,13002,5148,3978,25207,0.64,0.28,0.33,0.37,0.34,0.44,0.28,0.25,0.58,0.11,-0.11,0.86,0.91,0.02,,0.0
ccp,14386,133594,36516,22520,207016,0.71,0.18,0.25,0.28,0.59,0.39,0.21,0.2,0.66,0.08,-0.13,0.68,0.8,0.02,,1.0
ccp,30715,316057,77036,49653,473461,0.73,0.17,0.23,0.29,0.68,0.38,0.2,0.2,0.68,0.08,-0.12,0.66,0.77,0.02,,2.0
ccp,6902,42236,12794,9337,71269,0.69,0.23,0.28,0.35,0.54,0.43,0.23,0.24,0.62,0.11,-0.11,0.77,0.85,0.02,,3.0
commit_days,3643,10003,8147,3414,25207,0.54,0.28,0.47,0.31,0.1,0.52,0.45,0.24,0.51,0.05,-0.25,0.86,1.0,0.0,,0.0
commit_days,19003,84883,85227,17903,207016,0.5,0.18,0.5,0.18,0.02,0.51,0.5,0.16,0.5,0.01,-0.39,0.68,1.0,0.0,,1.0
commit_days,41968,201460,191633,38400,473461,0.51,0.17,0.49,0.18,0.06,0.52,0.49,0.15,0.5,0.02,-0.38,0.66,1.0,0.0,,2.0
commit_days,8341,27645,27385,7898,71269,0.5,0.23,0.5,0.23,0.02,0.51,0.5,0.19,0.5,0.01,-0.35,0.77,1.0,0.0,,3.0
commit_hours,3294,10658,7492,3763,25207,0.55,0.28,0.43,0.31,0.09,0.47,0.41,0.23,0.53,0.04,-0.23,0.86,0.98,0.0,,0.0
commit_hours,17492,90945,79165,19414,207016,0.52,0.18,0.47,0.18,0.02,0.47,0.47,0.15,0.52,0.0,-0.36,0.68,1.0,0.0,,1.0
commit_hours,38669,214258,178835,41699,473461,0.53,0.17,0.46,0.18,0.05,0.48,0.45,0.15,0.53,0.01,-0.36,0.66,1.0,0.0,,2.0
commit_hours,7437,29618,25412,8802,71269,0.52,0.23,0.46,0.23,-0.01,0.46,0.46,0.18,0.52,-0.0,-0.33,0.77,1.0,0.0,,3.0
commit_period,4004,8284,9866,3053,25207,0.49,0.28,0.55,0.29,0.03,0.57,0.54,0.24,0.48,0.02,-0.32,0.86,0.99,0.0,,0.0
commit_period,20564,72373,97737,16342,207016,0.45,0.18,0.57,0.17,-0.02,0.56,0.57,0.15,0.45,-0.01,-0.45,0.68,0.99,0.0,,1.0
commit_period,44860,173672,219421,35508,473461,0.46,0.17,0.56,0.17,-0.0,0.56,0.56,0.15,0.46,-0.0,-0.44,0.66,0.99,0.0,,2.0
commit_period,8934,22733,32297,7305,71269,0.44,0.23,0.58,0.22,-0.05,0.55,0.59,0.18,0.46,-0.03,-0.42,0.77,0.98,0.0,,3.0
commits,3644,10006,8144,3413,25207,0.54,0.28,0.47,0.31,0.1,0.52,0.45,0.24,0.51,0.05,-0.25,0.86,1.0,0.0,,0.0
commits,19001,85091,85019,17905,207016,0.5,0.18,0.5,0.18,0.02,0.51,0.5,0.16,0.5,0.01,-0.39,0.68,1.0,0.0,,1.0
commits,41905,201840,191253,38463,473461,0.51,0.17,0.49,0.18,0.06,0.52,0.49,0.15,0.5,0.02,-0.38,0.66,1.0,0.0,,2.0
commits,8358,27679,27351,7881,71269,0.51,0.23,0.5,0.23,0.03,0.51,0.5,0.19,0.5,0.01,-0.35,0.77,1.0,0.0,,3.0
files_edited,3903,10430,7720,3154,25207,0.57,0.28,0.46,0.34,0.2,0.55,0.43,0.26,0.52,0.1,-0.21,0.86,1.0,0.01,,0.0
files_edited,20314,95583,74527,16592,207016,0.56,0.18,0.46,0.21,0.2,0.55,0.44,0.18,0.53,0.06,-0.32,0.68,0.99,0.01,,1.0
files_edited,43731,224140,168953,36637,473461,0.57,0.17,0.45,0.21,0.21,0.54,0.43,0.18,0.53,0.06,-0.32,0.66,0.99,0.01,,2.0
files_edited,8647,30760,24270,7592,71269,0.55,0.23,0.46,0.26,0.15,0.53,0.44,0.21,0.52,0.06,-0.28,0.77,1.0,0.0,,3.0
message_length_avg,4292,8748,9402,2765,25207,0.52,0.28,0.54,0.31,0.12,0.61,0.52,0.26,0.48,0.08,-0.28,0.86,0.99,0.0,,0.0
message_length_avg,23682,76653,93457,13224,207016,0.48,0.18,0.57,0.2,0.13,0.64,0.55,0.18,0.46,0.06,-0.41,0.68,0.99,0.0,,1.0
message_length_avg,52080,175024,218069,28288,473461,0.48,0.17,0.57,0.19,0.14,0.65,0.55,0.17,0.45,0.06,-0.42,0.66,0.99,0.0,,2.0
message_length_avg,10075,24596,30434,6164,71269,0.49,0.23,0.57,0.25,0.09,0.62,0.55,0.22,0.46,0.05,-0.37,0.77,0.99,0.0,,3.0
same_date_duration_avg,3483,9144,9006,3574,25207,0.5,0.28,0.5,0.28,-0.0,0.49,0.5,0.22,0.5,-0.0,-0.3,0.86,1.0,0.0,,0.0
same_date_duration_avg,17129,90267,79843,19777,207016,0.52,0.18,0.47,0.18,-0.01,0.46,0.47,0.15,0.52,-0.0,-0.37,0.68,1.0,0.0,,1.0
same_date_duration_avg,38448,206154,186939,41920,473461,0.52,0.17,0.48,0.17,0.0,0.48,0.48,0.14,0.52,0.0,-0.38,0.66,1.0,0.0,,2.0
same_date_duration_avg,7827,27767,27263,8412,71269,0.5,0.23,0.49,0.22,-0.02,0.48,0.5,0.18,0.5,-0.01,-0.35,0.77,1.0,0.0,,3.0
