feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
involved_developers_commits,16335,18060,422,582,35399,0.97,0.48,0.47,0.97,1.04,0.97,0.02,0.94,0.5,0.94,0.86,1.0,1.0,0.81,
commit_day_density,15042,17807,675,1875,35399,0.93,0.48,0.44,0.96,1.0,0.89,0.04,0.86,0.5,0.85,0.78,1.0,0.99,0.63,
involved_developers_capped_commits,15247,17240,1242,1670,35399,0.92,0.48,0.47,0.92,0.93,0.9,0.07,0.84,0.5,0.83,0.76,1.0,1.0,0.59,
commits_per_day,12517,15620,2862,4400,35399,0.79,0.48,0.43,0.81,0.7,0.74,0.15,0.63,0.5,0.58,0.52,1.0,0.99,0.27,
commit_days,14445,14932,3550,2472,35399,0.83,0.48,0.51,0.8,0.68,0.85,0.19,0.71,0.5,0.66,0.59,1.0,1.0,0.34,
commits_per_developer,11127,14672,3810,5790,35399,0.73,0.48,0.42,0.74,0.56,0.66,0.21,0.54,0.5,0.45,0.4,1.0,0.98,0.16,
merged_issues_per_developer,40,18466,16,16877,35399,0.52,0.48,0.0,0.71,0.49,0.0,0.0,0.0,0.52,0.0,0.0,1.0,0.02,0.0,
merged_issues_per_involved_developer,39,18465,17,16878,35399,0.52,0.48,0.0,0.7,0.46,0.0,0.0,0.0,0.52,0.0,0.0,1.0,0.02,0.0,
capped_commits_per_involved_developer,10881,13528,4954,6036,35399,0.69,0.48,0.45,0.69,0.44,0.64,0.27,0.5,0.5,0.37,0.32,1.0,0.99,0.1,
involved_developers,9155,14117,4365,7762,35399,0.66,0.48,0.38,0.68,0.42,0.54,0.24,0.43,0.51,0.3,0.26,1.0,0.96,0.07,
files_created,9803,13453,5029,7114,35399,0.66,0.48,0.42,0.66,0.38,0.58,0.27,0.45,0.5,0.3,0.26,1.0,0.98,0.07,
prev_touch_ago,7214,14704,3778,9703,35399,0.62,0.48,0.31,0.66,0.37,0.43,0.2,0.35,0.51,0.22,0.19,1.0,0.89,0.04,
closed_issues,836,18011,471,16081,35399,0.53,0.48,0.04,0.64,0.34,0.05,0.03,0.05,0.52,0.02,0.02,1.0,0.23,0.0,
merged_prs,1661,17534,948,15256,35399,0.54,0.48,0.07,0.64,0.33,0.1,0.05,0.09,0.52,0.05,0.04,1.0,0.38,0.01,
files_edited,11708,11633,6849,5209,35399,0.66,0.48,0.52,0.63,0.32,0.69,0.37,0.49,0.5,0.32,0.26,1.0,1.0,0.08,
pull_requests,1991,17287,1195,14926,35399,0.54,0.48,0.09,0.62,0.31,0.12,0.06,0.11,0.52,0.05,0.04,1.0,0.44,0.01,
bug_prev_touch_ago,7137,13890,4592,9780,35399,0.59,0.48,0.33,0.61,0.27,0.42,0.25,0.33,0.51,0.17,0.14,1.0,0.92,0.02,
authors,10740,11392,7090,6177,35399,0.63,0.48,0.5,0.6,0.26,0.63,0.38,0.45,0.5,0.25,0.2,1.0,1.0,0.05,
merged_prs_per_developer,1459,17511,971,15458,35399,0.54,0.48,0.07,0.6,0.26,0.09,0.05,0.08,0.52,0.03,0.03,1.0,0.36,0.0,
merged_prs_per_involved_developer,1497,17362,1120,15420,35399,0.53,0.48,0.07,0.57,0.2,0.09,0.06,0.08,0.52,0.03,0.02,1.0,0.38,0.0,
commit_period,10358,10307,8175,6559,35399,0.58,0.48,0.52,0.56,0.17,0.61,0.44,0.41,0.5,0.17,0.12,1.0,1.0,0.02,
reverted_ratio,3110,15775,2707,13807,35399,0.53,0.48,0.16,0.53,0.12,0.18,0.15,0.16,0.51,0.04,0.02,1.0,0.64,0.0,
refactor_mle,8630,10153,8329,8287,35399,0.53,0.48,0.48,0.51,0.06,0.51,0.45,0.34,0.5,0.06,0.02,1.0,1.0,0.0,
tests_presence,7369,11274,7208,9548,35399,0.53,0.48,0.41,0.51,0.06,0.44,0.39,0.31,0.5,0.05,0.01,1.0,0.98,0.0,
ccp,8236,10269,8213,8681,35399,0.52,0.48,0.46,0.5,0.05,0.49,0.44,0.33,0.5,0.04,0.0,1.0,1.0,0.0,
onboarding_prob,4792,13617,4865,12125,35399,0.52,0.48,0.27,0.5,0.04,0.28,0.26,0.22,0.51,0.02,-0.0,1.0,0.85,0.0,
