metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,language_group
commits,8013,10755,3387,2089,24244,0.77,0.42,0.47,0.7,0.69,0.79,0.24,0.59,0.5,0.53,0.33,0.98,1.0,0.23,,3.0
commits,23239,34805,10922,6160,75126,0.77,0.39,0.45,0.68,0.74,0.79,0.24,0.58,0.51,0.52,0.27,0.97,0.99,0.22,,4.0
files_edited,138538,177217,93927,98296,507978,0.62,0.47,0.46,0.6,0.28,0.58,0.35,0.42,0.5,0.24,0.16,1.0,0.99,0.04,,-1.0
files_edited,17409,22702,11615,10591,62317,0.64,0.45,0.47,0.6,0.33,0.62,0.34,0.44,0.5,0.28,0.17,0.99,1.0,0.06,,0.0
files_edited,28095,46355,21539,27286,123275,0.6,0.45,0.4,0.57,0.26,0.51,0.32,0.37,0.51,0.18,0.1,0.99,0.97,0.03,,1.0
files_edited,17707,21905,10649,9841,60102,0.66,0.46,0.47,0.62,0.36,0.64,0.33,0.46,0.5,0.31,0.22,0.99,1.0,0.07,,2.0
files_edited,7234,9448,4694,2868,24244,0.69,0.42,0.49,0.61,0.46,0.72,0.33,0.49,0.5,0.37,0.18,0.98,1.0,0.11,,3.0
files_edited,20485,29540,16187,8914,75126,0.67,0.39,0.49,0.56,0.43,0.7,0.35,0.45,0.5,0.32,0.09,0.97,1.0,0.08,,4.0
message_length_avg,143459,124616,146528,93375,507978,0.53,0.47,0.57,0.49,0.06,0.61,0.54,0.37,0.5,0.07,-0.01,1.0,0.99,0.0,,-1.0
message_length_avg,16396,16788,17529,11604,62317,0.53,0.45,0.54,0.48,0.08,0.59,0.51,0.36,0.5,0.07,-0.03,0.99,0.99,0.0,,0.0
message_length_avg,31151,30379,37515,24230,123275,0.5,0.45,0.56,0.45,0.01,0.56,0.55,0.34,0.49,0.01,-0.09,0.99,0.99,0.0,,1.0
message_length_avg,16825,15222,17332,10723,60102,0.53,0.46,0.57,0.49,0.07,0.61,0.53,0.37,0.49,0.08,-0.02,0.99,0.99,0.0,,2.0
message_length_avg,5384,6432,7710,4718,24244,0.49,0.42,0.54,0.41,-0.01,0.53,0.55,0.3,0.49,-0.01,-0.16,0.98,1.0,0.0,,3.0
message_length_avg,12282,24276,21451,17117,75126,0.49,0.39,0.45,0.36,-0.07,0.42,0.47,0.24,0.51,-0.05,-0.2,0.97,0.99,0.0,,4.0
refactor_mle,48621,220645,50499,188213,507978,0.53,0.47,0.2,0.49,0.05,0.21,0.19,0.17,0.52,0.02,-0.01,1.0,0.71,0.0,,-1.0
refactor_mle,8404,24726,9591,19596,62317,0.53,0.45,0.29,0.47,0.04,0.3,0.28,0.22,0.52,0.02,-0.03,0.99,0.87,0.0,,0.0
refactor_mle,8824,58129,9765,46557,123275,0.54,0.45,0.15,0.47,0.06,0.16,0.14,0.14,0.54,0.01,-0.01,0.99,0.61,0.0,,1.0
refactor_mle,6551,25506,7048,20997,60102,0.53,0.46,0.23,0.48,0.05,0.24,0.22,0.19,0.52,0.02,-0.02,0.99,0.77,0.0,,2.0
refactor_mle,5355,7135,7007,4747,24244,0.52,0.42,0.51,0.43,0.04,0.53,0.5,0.31,0.5,0.03,-0.12,0.98,1.0,0.0,,3.0
refactor_mle,7874,33677,12050,21525,75126,0.55,0.39,0.27,0.4,0.01,0.27,0.26,0.19,0.55,0.0,-0.09,0.97,0.83,0.0,,4.0
same_date_duration_avg,82575,110080,161064,154259,507978,0.38,0.47,0.48,0.34,-0.27,0.35,0.59,0.21,0.5,-0.24,-0.29,1.0,1.0,0.04,,-1.0
same_date_duration_avg,9576,15097,19220,18424,62317,0.4,0.45,0.46,0.33,-0.26,0.34,0.56,0.2,0.5,-0.21,-0.28,0.99,1.0,0.03,,0.0
same_date_duration_avg,22359,26535,41359,33022,123275,0.4,0.45,0.52,0.35,-0.22,0.4,0.61,0.23,0.5,-0.2,-0.28,0.99,1.0,0.03,,1.0
same_date_duration_avg,9319,13853,18701,18229,60102,0.39,0.46,0.47,0.33,-0.27,0.34,0.57,0.2,0.5,-0.23,-0.29,0.99,1.0,0.04,,2.0
same_date_duration_avg,4500,6356,7786,5602,24244,0.45,0.42,0.51,0.37,-0.12,0.45,0.55,0.25,0.5,-0.1,-0.23,0.98,1.0,0.01,,3.0
same_date_duration_avg,7932,27620,18107,21467,75126,0.47,0.39,0.35,0.3,-0.22,0.27,0.4,0.17,0.53,-0.11,-0.22,0.97,0.93,0.01,,4.0
