metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,language_group
ccp,46943,195339,75805,189891,507978,0.48,0.47,0.24,0.38,-0.18,0.2,0.28,0.15,0.52,-0.08,-0.11,1.0,0.8,0.01,,-1.0
ccp,7724,22740,11577,20276,62317,0.49,0.45,0.31,0.4,-0.11,0.28,0.34,0.2,0.52,-0.06,-0.11,0.99,0.89,0.0,,0.0
ccp,14037,45426,22468,41344,123275,0.48,0.45,0.3,0.38,-0.14,0.25,0.33,0.18,0.52,-0.07,-0.12,0.99,0.88,0.01,,1.0
ccp,6174,22138,10416,21374,60102,0.47,0.46,0.28,0.37,-0.19,0.22,0.32,0.16,0.52,-0.09,-0.13,0.99,0.85,0.01,,2.0
ccp,4929,7690,6452,5173,24244,0.52,0.42,0.47,0.43,0.04,0.49,0.46,0.3,0.51,0.03,-0.11,0.98,1.0,0.0,,3.0
ccp,7481,29593,16134,21918,75126,0.49,0.39,0.31,0.32,-0.19,0.25,0.35,0.16,0.54,-0.09,-0.19,0.97,0.9,0.01,,4.0
commit_days,186830,202668,68476,50004,507978,0.77,0.47,0.5,0.73,0.57,0.79,0.25,0.61,0.5,0.53,0.44,1.0,1.0,0.22,,-1.0
commit_days,21443,26107,8210,6557,62317,0.76,0.45,0.48,0.72,0.61,0.77,0.24,0.59,0.5,0.52,0.39,0.99,1.0,0.21,,0.0
commit_days,44026,51627,16267,11355,123275,0.78,0.45,0.49,0.73,0.63,0.79,0.24,0.61,0.5,0.55,0.41,0.99,1.0,0.23,,1.0
commit_days,21322,23148,9406,6226,60102,0.74,0.46,0.51,0.69,0.51,0.77,0.29,0.58,0.5,0.48,0.37,0.99,1.0,0.18,,2.0
commit_days,8044,10762,3380,2058,24244,0.78,0.42,0.47,0.7,0.69,0.8,0.24,0.6,0.5,0.54,0.33,0.98,1.0,0.23,,3.0
commit_days,23264,34837,10890,6135,75126,0.77,0.39,0.45,0.68,0.74,0.79,0.24,0.58,0.51,0.52,0.27,0.97,0.99,0.22,,4.0
commit_period,167376,149529,121615,69458,507978,0.62,0.47,0.57,0.58,0.24,0.71,0.45,0.47,0.5,0.26,0.17,1.0,0.99,0.05,,-1.0
commit_period,20285,19882,14435,7715,62317,0.64,0.45,0.56,0.58,0.3,0.72,0.42,0.48,0.49,0.3,0.17,0.99,0.99,0.07,,0.0
commit_period,37382,41127,26767,17999,123275,0.64,0.45,0.52,0.58,0.3,0.67,0.39,0.46,0.5,0.28,0.16,0.99,1.0,0.06,,1.0
commit_period,19444,16571,15983,8104,60102,0.6,0.46,0.59,0.55,0.2,0.71,0.49,0.45,0.49,0.22,0.11,0.99,0.98,0.03,,2.0
commit_period,6721,8349,5793,3381,24244,0.62,0.42,0.52,0.54,0.29,0.67,0.41,0.42,0.5,0.25,0.07,0.98,1.0,0.05,,3.0
commit_period,20657,28554,17173,8742,75126,0.66,0.39,0.5,0.55,0.4,0.7,0.38,0.44,0.5,0.31,0.08,0.97,1.0,0.08,,4.0
commits,186518,202827,68317,50316,507978,0.77,0.47,0.5,0.73,0.57,0.79,0.25,0.61,0.5,0.53,0.44,1.0,1.0,0.22,,-1.0
commits,21370,26022,8295,6630,62317,0.76,0.45,0.48,0.72,0.6,0.76,0.24,0.59,0.5,0.51,0.38,0.99,1.0,0.2,,0.0
commits,43999,51580,16314,11382,123275,0.78,0.45,0.49,0.73,0.62,0.79,0.24,0.61,0.5,0.55,0.41,0.99,1.0,0.23,,1.0
commits,21230,23115,9439,6318,60102,0.74,0.46,0.51,0.69,0.51,0.77,0.29,0.57,0.5,0.48,0.36,0.99,1.0,0.17,,2.0
