,ccp,avg_coupling_code_size_cut,tests_presence,same_date_duration_avg,refactor_mle,one_file_fix_rate
ccp,1.0,0.17094294562877765,0.12351793420390841,0.20760359336241205,0.2688882253225168,0.012160742737592356
avg_coupling_code_size_cut,0.17094294562877765,1.0,-0.040329734031442396,0.10551989418202695,0.15904699325932148,0.3306855197648826
tests_presence,0.12351793420390841,-0.040329734031442396,1.0,0.09125810183761508,0.15905412344042447,-0.10880604489628352
same_date_duration_avg,0.20760359336241205,0.10551989418202695,0.09125810183761508,1.0,0.060044354309135455,-0.10351354787055175
refactor_mle,0.2688882253225168,0.15904699325932148,0.15905412344042447,0.060044354309135455,1.0,0.0901637069499725
one_file_fix_rate,0.012160742737592356,0.3306855197648826,-0.10880604489628352,-0.10351354787055175,0.0901637069499725,1.0
