metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,popularity_group_code
ccp,14092,34759,15625,43762,108238,0.45,0.53,0.27,0.47,-0.11,0.24,0.31,0.19,0.48,-0.07,-0.16,1.0,0.85,0.0,,0.0
ccp,43257,155039,59134,239695,497125,0.4,0.57,0.21,0.42,-0.26,0.15,0.28,0.13,0.46,-0.13,-0.3,0.99,0.73,0.02,,1.0
ccp,18551,45035,27139,74347,165072,0.39,0.56,0.28,0.41,-0.28,0.2,0.38,0.15,0.47,-0.18,-0.32,0.99,0.85,0.03,,2.0
ccp,9670,11441,12527,21251,54889,0.38,0.56,0.4,0.44,-0.23,0.31,0.52,0.22,0.49,-0.21,-0.32,0.99,0.97,0.03,,3.0
commit_days,27788,25455,24929,30066,108238,0.49,0.53,0.49,0.53,-0.01,0.48,0.49,0.34,0.5,-0.01,-0.08,1.0,1.0,0.0,,0.0
commit_days,143862,106960,107213,139090,497125,0.5,0.57,0.51,0.57,0.01,0.51,0.5,0.37,0.5,0.01,-0.11,0.99,1.0,0.0,,1.0
commit_days,47267,38271,33903,45631,165072,0.52,0.56,0.49,0.58,0.03,0.51,0.47,0.37,0.5,0.04,-0.08,0.99,1.0,0.0,,2.0
commit_days,14581,12549,11419,16340,54889,0.49,0.56,0.47,0.56,-0.0,0.47,0.48,0.34,0.5,-0.0,-0.12,0.99,1.0,0.0,,3.0
commit_hours,26112,28289,22095,31742,108238,0.5,0.53,0.45,0.54,0.01,0.45,0.44,0.33,0.5,0.01,-0.06,1.0,0.99,0.0,,0.0
commit_hours,136828,117781,96392,146124,497125,0.51,0.57,0.47,0.59,0.03,0.48,0.45,0.36,0.5,0.03,-0.1,0.99,1.0,0.0,,1.0
commit_hours,44227,41466,30708,48671,165072,0.52,0.56,0.45,0.59,0.05,0.48,0.43,0.36,0.49,0.05,-0.08,0.99,0.99,0.0,,2.0
commit_hours,13831,13955,10013,17090,54889,0.51,0.56,0.43,0.58,0.03,0.45,0.42,0.34,0.49,0.03,-0.1,0.99,0.99,0.0,,3.0
commit_period,33163,24385,25999,24691,108238,0.53,0.53,0.55,0.56,0.05,0.57,0.52,0.4,0.5,0.06,-0.01,1.0,0.99,0.0,,0.0
commit_period,171725,101413,112760,111227,497125,0.55,0.57,0.57,0.6,0.06,0.61,0.53,0.43,0.51,0.08,-0.03,0.99,0.98,0.0,,1.0
commit_period,54120,35349,36825,38778,165072,0.54,0.56,0.55,0.6,0.06,0.58,0.51,0.42,0.51,0.07,-0.04,0.99,0.99,0.0,,2.0
commit_period,17626,11530,12438,13295,54889,0.53,0.56,0.55,0.59,0.04,0.57,0.52,0.41,0.51,0.05,-0.06,0.99,0.99,0.0,,3.0
commits,27750,25491,24893,30104,108238,0.49,0.53,0.49,0.53,-0.01,0.48,0.49,0.34,0.5,-0.01,-0.08,1.0,1.0,0.0,,0.0
commits,143452,106903,107270,139500,497125,0.5,0.57,0.5,0.57,0.01,0.51,0.5,0.37,0.5,0.01,-0.12,0.99,1.0,0.0,,1.0
commits,47114,38307,33867,45784,165072,0.52,0.56,0.49,0.58,0.03,0.51,0.47,0.37,0.5,0.04,-0.08,0.99,1.0,0.0,,2.0
commits,14575,12540,11428,16346,54889,0.49,0.56,0.47,0.56,-0.01,0.47,0.48,0.34,0.5,-0.01,-0.12,0.99,1.0,0.0,,3.0
files_edited,26201,27283,23101,31653,108238,0.49,0.53,0.46,0.53,-0.01,0.45,0.46,0.32,0.5,-0.01,-0.08,1.0,0.99,0.0,,0.0
files_edited,126263,119166,95007,156689,497125,0.49,0.57,0.45,0.57,0.0,0.45,0.44,0.33,0.49,0.0,-0.13,0.99,0.99,0.0,,1.0
files_edited,45914,41282,30892,46984,165072,0.53,0.56,0.47,0.6,0.06,0.49,0.43,0.37,0.5,0.07,-0.06,0.99,1.0,0.0,,2.0
files_edited,15513,12720,11248,15408,54889,0.51,0.56,0.49,0.58,0.03,0.5,0.47,0.37,0.5,0.03,-0.09,0.99,1.0,0.0,,3.0
refactor_mle,15784,41015,9369,42070,108238,0.52,0.53,0.23,0.63,0.17,0.27,0.19,0.23,0.48,0.09,-0.02,1.0,0.78,0.01,,0.0
refactor_mle,50390,188066,26107,232562,497125,0.48,0.57,0.15,0.66,0.16,0.18,0.12,0.16,0.45,0.06,-0.16,0.99,0.62,0.0,,1.0
refactor_mle,22901,58689,13485,69997,165072,0.49,0.56,0.22,0.63,0.12,0.25,0.19,0.22,0.46,0.06,-0.12,0.99,0.76,0.0,,2.0
refactor_mle,12366,16589,7379,18555,54889,0.53,0.56,0.36,0.63,0.11,0.4,0.31,0.32,0.48,0.09,-0.06,0.99,0.94,0.01,,3.0
same_date_duration_avg,24912,30007,20377,32942,108238,0.51,0.53,0.42,0.55,0.03,0.43,0.4,0.32,0.49,0.03,-0.05,1.0,0.98,0.0,,0.0
same_date_duration_avg,132396,112045,102128,150556,497125,0.49,0.57,0.47,0.56,-0.01,0.47,0.48,0.34,0.5,-0.01,-0.14,0.99,1.0,0.0,,1.0
same_date_duration_avg,45762,36148,36026,47136,165072,0.5,0.56,0.5,0.56,-0.01,0.49,0.5,0.35,0.5,-0.01,-0.12,0.99,1.0,0.0,,2.0
same_date_duration_avg,15073,11422,12546,15848,54889,0.48,0.56,0.5,0.55,-0.03,0.49,0.52,0.35,0.5,-0.04,-0.14,0.99,1.0,0.0,,3.0
