metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,language_group
commits,7224,23058,23445,6375,60102,0.5,0.23,0.51,0.24,0.04,0.53,0.5,0.2,0.49,0.02,-0.35,0.77,1.0,0.0,,2.0
commits,6177,6659,5223,6185,24244,0.53,0.51,0.47,0.54,0.06,0.5,0.44,0.35,0.5,0.06,0.04,1.0,1.0,0.0,,3.0
commits,8355,29396,25806,11569,75126,0.5,0.27,0.45,0.24,-0.08,0.42,0.47,0.18,0.52,-0.04,-0.32,0.83,0.99,0.0,,4.0
files_edited,52251,228644,180214,46869,507978,0.55,0.2,0.46,0.22,0.15,0.53,0.44,0.19,0.53,0.05,-0.31,0.71,0.99,0.0,,-1.0
files_edited,9826,25124,19198,8169,62317,0.56,0.29,0.47,0.34,0.17,0.55,0.43,0.26,0.51,0.09,-0.21,0.87,1.0,0.01,,0.0
files_edited,10249,65301,39385,8340,123275,0.61,0.15,0.4,0.21,0.37,0.55,0.38,0.18,0.57,0.08,-0.28,0.61,0.97,0.01,,1.0
files_edited,7673,25820,20683,5926,60102,0.56,0.23,0.47,0.27,0.2,0.56,0.44,0.22,0.52,0.08,-0.28,0.77,1.0,0.01,,2.0
files_edited,6535,6489,5393,5827,24244,0.54,0.51,0.49,0.55,0.07,0.53,0.45,0.37,0.5,0.07,0.05,1.0,1.0,0.0,,3.0
files_edited,10576,29106,26096,9348,75126,0.53,0.27,0.49,0.29,0.09,0.53,0.47,0.23,0.51,0.04,-0.28,0.83,1.0,0.0,,4.0
message_length_avg,64881,183752,225106,34239,507978,0.49,0.2,0.57,0.22,0.15,0.65,0.55,0.2,0.46,0.07,-0.39,0.71,0.99,0.01,,-1.0
message_length_avg,10934,21331,22991,7061,62317,0.52,0.29,0.54,0.32,0.12,0.61,0.52,0.27,0.48,0.08,-0.27,0.87,0.99,0.0,,0.0
message_length_avg,12221,48241,56445,6368,123275,0.49,0.15,0.56,0.18,0.18,0.66,0.54,0.16,0.46,0.07,-0.42,0.61,0.99,0.01,,1.0
message_length_avg,7927,20273,26230,5672,60102,0.47,0.23,0.57,0.23,0.03,0.58,0.56,0.2,0.46,0.01,-0.39,0.77,0.99,0.0,,2.0
message_length_avg,7755,6543,5339,4607,24244,0.59,0.51,0.54,0.59,0.16,0.63,0.45,0.44,0.5,0.18,0.16,1.0,1.0,0.02,,3.0
message_length_avg,12530,33999,21203,7394,75126,0.62,0.27,0.45,0.37,0.4,0.63,0.38,0.3,0.52,0.18,-0.16,0.83,0.99,0.03,,4.0
same_date_duration_avg,46156,211375,197483,52964,507978,0.51,0.2,0.48,0.19,-0.03,0.47,0.48,0.16,0.51,-0.01,-0.37,0.71,1.0,0.0,,-1.0
same_date_duration_avg,8360,23886,20436,9635,62317,0.52,0.29,0.46,0.29,0.01,0.46,0.46,0.22,0.52,0.0,-0.27,0.87,1.0,0.0,,0.0
same_date_duration_avg,9311,50279,54407,9278,123275,0.48,0.15,0.52,0.15,-0.03,0.5,0.52,0.13,0.49,-0.01,-0.43,0.61,1.0,0.0,,1.0
same_date_duration_avg,6456,24939,21564,7143,60102,0.52,0.23,0.47,0.23,0.02,0.47,0.46,0.18,0.52,0.01,-0.32,0.77,1.0,0.0,,2.0
same_date_duration_avg,5877,5473,6409,6485,24244,0.47,0.51,0.51,0.48,-0.06,0.48,0.54,0.31,0.5,-0.06,-0.08,1.0,1.0,0.0,,3.0
same_date_duration_avg,8819,37982,17220,11105,75126,0.62,0.27,0.35,0.34,0.28,0.44,0.31,0.24,0.57,0.09,-0.15,0.83,0.93,0.01,,4.0
