feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
refactor_mle,55526,187744,30435,216149,489854,0.5,0.55,0.18,0.65,0.16,0.2,0.14,0.18,0.46,0.07,-0.1,0.99,0.67,0.01,
commit_period,166094,102931,115248,105581,489854,0.55,0.55,0.57,0.59,0.06,0.61,0.53,0.43,0.51,0.08,-0.01,0.99,0.98,0.01,
commit_hours,124345,126715,91464,147330,489854,0.51,0.55,0.44,0.58,0.04,0.46,0.42,0.34,0.49,0.04,-0.08,0.99,0.99,0.0,
files_edited,129811,123207,94972,141864,489854,0.52,0.55,0.46,0.58,0.04,0.48,0.44,0.35,0.5,0.04,-0.07,0.99,1.0,0.0,
commit_days,141468,109403,108776,130207,489854,0.51,0.55,0.51,0.57,0.02,0.52,0.5,0.37,0.5,0.02,-0.08,0.99,1.0,0.0,
commits,141170,109464,108715,130505,489854,0.51,0.55,0.51,0.56,0.02,0.52,0.5,0.37,0.5,0.02,-0.08,0.99,1.0,0.0,
same_date_duration_avg,134242,106229,111950,137433,489854,0.49,0.55,0.5,0.55,-0.02,0.49,0.51,0.35,0.5,-0.02,-0.11,0.99,1.0,0.0,
ccp,57066,148537,69642,214609,489854,0.42,0.55,0.26,0.45,-0.19,0.21,0.32,0.17,0.47,-0.11,-0.24,0.99,0.82,0.01,
