f,cnt,developers,prob,agg
0,27546,644,0.000472198875506359,0.000472198875506359
1,27470,953,0.000470896068763511,0.00094309494426987
2,53445,2794,0.000916164557519689,0.00185925950178956
3,44859,4020,0.000768981679965866,0.00262824118175543
4,119035,12942,0.00204052106098524,0.00466876224274067
5,163038,17024,0.00279482902290009,0.00746359126564075
6,215564,19569,0.00369523990414771,0.0111588311697885
7,300423,21620,0.00514990934350711,0.0163087405132956
8,235227,28063,0.00403230686447159,0.0203410473777672
9,252966,35437,0.00433639224356863,0.0246774396213358
10,294515,37153,0.00504863326144469,0.0297260728827805
11,326615,42598,0.005598897688358,0.0353249705711385
12,464008,47941,0.0079541151465169,0.0432790857176554
13,411679,51832,0.00705708127748429,0.0503361669951397
14,463654,58398,0.00794804680984627,0.058284213804986
15,507289,62098,0.00869604644437469,0.0669802602493606
16,666128,71510,0.0114188953947324,0.0783991556440931
17,609241,70916,0.0104437274055169,0.08884288304961
18,599574,73718,0.0102780138162655,0.0991208968658755
19,616315,75517,0.0105649912857657,0.109685888151641
20,641114,78357,0.0109901005543957,0.120675988706037
21,624376,78587,0.0107031745114775,0.131379163217514
22,640669,82760,0.0109824722780724,0.142361635495587
23,643717,83873,0.0110347216853382,0.153396357180925
24,723930,84711,0.0124097484914441,0.165806105672369
25,628419,85775,0.0107724804017582,0.176578586074127
26,732096,87771,0.0125497316475243,0.189128317721652
27,705569,87996,0.0120950006676885,0.20122331838934
28,701840,89360,0.012031077426319,0.213254395815659
29,703447,89219,0.0120586249320526,0.225313020747712
30,704264,89592,0.0120726301045382,0.23738565085225
31,718621,91170,0.0123187405835786,0.249704391435828
32,712947,91733,0.0122214757749086,0.261925867210737
33,675059,94133,0.011571992329211,0.273497859539948
34,713275,93709,0.0122270984145356,0.285724957954484
35,671339,93865,0.0115082233675874,0.297233181322071
36,643616,93176,0.0110329903237458,0.308266171645817
37,633591,93581,0.0108611398290478,0.319127311474865
38,691763,94237,0.0118583355375338,0.330985647012398
39,620959,93446,0.0106445996346313,0.34163024664703
40,639667,93381,0.0109652957996996,0.352595542446729
41,616356,92605,0.0105656941157191,0.363161236562448
42,594019,92093,0.0101827889286797,0.373344025491128
43,591038,91382,0.0101316880484109,0.383475713539539
44,631229,90948,0.0108206499668556,0.394296363506395
45,611523,91247,0.0104828458921903,0.404779209398585
46,575045,90213,0.00985753294001141,0.414636742338596
47,562942,91792,0.00965006096621291,0.424286803304809
48,556913,88545,0.00954671067867832,0.433833513983488
49,531706,87507,0.00911460739490249,0.44294812137839
50,532938,87442,0.00913572657789181,0.452083847956282
51,499930,85080,0.00856989703884027,0.460653744995122
52,469283,81554,0.00804454021978693,0.468698285214909
53,460260,79984,0.00788986620346173,0.476588151418371
54,460671,79055,0.0078969116451895,0.48448506306356
55,429105,77993,0.00735580114986409,0.491840864213424
56,428549,77063,0.00734627009000852,0.499187134303433
57,434420,76794,0.0074469119108935,0.506634046214326
58,411038,75868,0.00704609313114001,0.513680139345466
59,391086,74672,0.00670407207675452,0.520384211422221
60,389302,73715,0.00667349040268556,0.527057701824907
61,369605,72472,0.0063358406077662,0.533393542432673
62,426565,71755,0.0073122599771426,0.540705802409815
63,352735,70158,0.00604665179524198,0.546752454205057
64,342399,69050,0.00586947007821469,0.552621924283272
65,333158,68204,0.0057110590636008,0.558332983346873
66,343040,66970,0.00588045822455897,0.564213441571432
67,320931,65975,0.00550146145774818,0.56971490302918
68,318213,64978,0.00545486897449739,0.575169772003677
69,310171,64118,0.00531701145047132,0.580486783454149
70,302254,63101,0.00518129670069335,0.585668080154842
71,294139,62482,0.00504218779650639,0.590710267951348
72,294379,61749,0.00504630192306275,0.595756569874411
73,278740,60494,0.00477821515133386,0.600534785025745
74,271707,58988,0.00465765410103849,0.605192439126783
75,259702,57514,0.00445186206225051,0.609644301189034
76,254207,56811,0.00435766570630382,0.614001966895338
77,255831,56155,0.0043855046293352,0.618387471524673
78,252908,55269,0.00433539799631751,0.622722869520991
79,239729,54368,0.00410948102179133,0.626832350542782
80,240185,53569,0.00411729786224841,0.63094964840503
81,244078,53179,0.00418403242343139,0.635133680828462
82,227942,52354,0.00390742598129204,0.639041106809754
83,238473,51650,0.00408795042614637,0.6431290572359
84,216038,51346,0.00370336530409652,0.646832422539997
85,212618,50860,0.00364473900066837,0.650477161540665
86,235609,50676,0.00403885518257379,0.654516016723239
87,210690,50116,0.00361168885066561,0.658127705573904
88,205473,49644,0.0035222580246467,0.661649963598551
89,203685,48968,0.00349160778180181,0.665141571380353
90,208885,48521,0.00358074719052297,0.668722318570876
91,197149,47949,0.00337956640191691,0.672101884972793
92,214444,47427,0.00367604064688469,0.675777925619677
93,192557,47035,0.00330084944713853,0.679078775066816
94,188011,46742,0.00322292103328345,0.682301696100099
95,186195,46362,0.00319179080900699,0.685493486909106
96,184291,46251,0.00315915207165986,0.688652638980766
97,184101,45968,0.00315589505480274,0.691808534035569
98,193245,45778,0.0033126432766001,0.695121177312169
99,187995,45590,0.0032226467581797,0.698343824070349
100,180962,45560,0.00310208570788433,0.701445909778233
101,183889,44807,0.00315226090967795,0.704598170687911
102,185500,44918,0.00317987698418753,0.707778047672099
103,175552,44457,0.00300934643842635,0.710787394110525
104,175951,44001,0.0030161861738263,0.713803580284351
105,170776,43677,0.00292747531995476,0.716731055604306
106,183247,43761,0.00314125562113969,0.719872311225446
107,227944,43763,0.00390746026568001,0.723779771491126
108,171378,43771,0.00293779492073364,0.726717566411859
109,167465,43542,0.00287071751567096,0.72958828392753
110,170363,43179,0.00292039559383903,0.732508679521369
111,164020,43013,0.0028116626573932,0.735320342178763
112,165898,42591,0.00284385569769672,0.738164197876459
113,163302,42284,0.00279935456211208,0.740963552438571
114,168058,42212,0.00288088283670397,0.743844435275275
115,174704,41916,0.00299480985792721,0.746839245133203
116,156903,41623,0.0026896616628031,0.749528906796006
117,154945,41335,0.00265609724698079,0.752185004042986
118,150603,40859,0.00258166584069862,0.754766669883685
119,152577,40795,0.00261550453162469,0.75738217441531
120,150798,40181,0.00258500856852566,0.759967182983835
121,149994,39988,0.00257122624456185,0.762538409228397
122,148415,39820,0.00254415872025979,0.765082567948657
123,142353,39145,0.0024402427403237,0.767522810688981
124,137981,38553,0.00236529706822199,0.769888107757203
125,136702,38475,0.00234337220211538,0.772231479959318
126,134703,37708,0.00230910495633969,0.774540584915658
127,127919,37619,0.00219281231234654,0.776733397228004
128,126458,37100,0.0021677675669347,0.778901164794939
129,121711,36834,0.00208639357208867,0.780987558367028
130,121874,36258,0.0020891877497082,0.783076746116736
131,119514,35879,0.00204873217190398,0.78512547828864
132,118146,35618,0.00202528165053272,0.787150759939173
133,113498,34878,0.00194560473289119,0.789096364672064
134,111977,34558,0.00191953145584025,0.791015896127904
135,117401,34069,0.00201251071601401,0.793028406843918
136,115562,33249,0.0019809862212759,0.795009393065194
137,103902,32846,0.00178110823941268,0.796790501304607
138,101979,32233,0.00174814380037984,0.798538645104987
139,100462,31907,0.00172213909210484,0.800260784197091
140,97762,31486,0.00167585516834577,0.801936639365437
141,94962,30988,0.00162785702518823,0.803564496390625
142,96228,30554,0.00164955904277303,0.805214055433398
143,91554,30167,0.0015694364280879,0.806783491861486
144,89509,29710,0.0015343806413889,0.808317872502875
145,85500,29062,0.00146565758570368,0.809783530088579
146,82941,28608,0.00142179071129648,0.811205320799875
147,81081,28166,0.00138990623048468,0.81259522703036
148,80527,27907,0.00138040945501708,0.813975636485377
149,77861,27450,0.0013347083658535,0.815310344851231
150,75392,27301,0.00129238428890494,0.816602729140135
151,74906,26739,0.00128405318262831,0.817886782322764
152,71460,26221,0.00122498118215655,0.81911176350492
153,71007,25931,0.00121721576828142,0.820328979273202
154,68806,25659,0.00117948579932079,0.821508465072523
155,67728,25150,0.00116100651420514,0.822669471586728
156,67267,24869,0.00115310396277813,0.823822575549506
157,63549,24480,0.0010893692855425,0.824911944835048
158,63939,24253,0.00109605474119658,0.826007999576245
159,62302,23778,0.0010679929696434,0.827075992545888
160,61413,23750,0.00105275355919088,0.828128746105079
161,63251,23553,0.00108426091173501,0.829213007016814
162,57734,22938,0.000989687427520661,0.830202694444335
163,57421,22966,0.000984321920803407,0.831187016365138
164,56724,22658,0.000972373811595974,0.832159390176734
165,55369,22382,0.000949146138746518,0.833108536315481
166,55551,22304,0.000952266018051759,0.834060802333533
