true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,classifier,concept,control,control_val
128248,132985,139318,118345,518896,0.5,0.48,0.52,0.48,0.01,0.52,0.51,0.33,0.5,0.01,-0.04,1.0,1.0,0.0,,message_length_avg_better,same_date_duration_avg_avg_better,age_group,Old
143022,115772,124544,135558,518896,0.5,0.54,0.52,0.53,-0.0,0.51,0.52,0.35,0.5,-0.0,-0.07,1.0,1.0,0.0,,message_length_avg_better,commit_period_avg_better,age_group,Old
149417,127215,118149,124115,518896,0.53,0.53,0.52,0.56,0.06,0.55,0.48,0.38,0.5,0.06,0.01,1.0,1.0,0.0,,message_length_avg_better,commit_days_avg_better,age_group,Old
242528,39302,212028,25038,518896,0.54,0.52,0.88,0.53,0.03,0.91,0.84,0.51,0.51,0.06,0.05,1.0,0.54,0.01,,refactor_mle_avg_better,message_length_avg_better,age_group,Old
256777,32467,197779,31873,518896,0.56,0.56,0.88,0.56,0.02,0.89,0.86,0.53,0.54,0.03,0.0,0.99,0.54,0.0,,refactor_mle_avg_better,commit_hours_better,age_group,Old
454374,197,182,64143,518896,0.88,1.0,0.88,1.0,0.0,0.88,0.48,0.88,0.88,0.0,-0.12,0.01,0.54,0.0,,refactor_mle_avg_better,owned_repository_avg_better,age_group,Old
268738,33985,185818,30355,518896,0.58,0.58,0.88,0.59,0.03,0.9,0.85,0.55,0.56,0.05,0.01,0.98,0.54,0.0,,refactor_mle_avg_better,files_edited_avg_better,age_group,Old
389540,22821,65016,41519,518896,0.79,0.83,0.88,0.86,0.03,0.9,0.74,0.79,0.75,0.06,-0.04,0.66,0.54,0.02,,refactor_mle_avg_better,ccp_avg_better,age_group,Old
212904,30651,241652,33689,518896,0.47,0.48,0.88,0.47,-0.01,0.86,0.89,0.44,0.48,-0.02,-0.11,1.0,0.54,0.0,,refactor_mle_avg_better,same_date_duration_avg_avg_better,age_group,Old
245454,31214,209102,33126,518896,0.53,0.54,0.88,0.54,0.01,0.88,0.87,0.5,0.53,0.01,-0.01,1.0,0.54,0.0,,refactor_mle_avg_better,commit_period_avg_better,age_group,Old
243671,34479,210885,29861,518896,0.54,0.53,0.88,0.54,0.02,0.89,0.86,0.5,0.52,0.03,0.02,1.0,0.54,0.0,,refactor_mle_avg_better,commit_days_avg_better,age_group,Old
157753,120433,130897,109813,518896,0.54,0.52,0.56,0.55,0.06,0.59,0.52,0.4,0.5,0.07,0.04,1.0,0.99,0.0,,commit_hours_better,message_length_avg_better,age_group,Old
256777,32467,31873,197779,518896,0.56,0.88,0.56,0.89,0.02,0.56,0.5,0.53,0.54,0.03,-0.36,0.54,0.99,0.0,,commit_hours_better,refactor_mle_avg_better,age_group,Old
288495,224,155,230022,518896,0.56,1.0,0.56,1.0,0.0,0.56,0.41,0.56,0.56,0.0,-0.44,0.01,0.99,0.0,,commit_hours_better,owned_repository_avg_better,age_group,Old
203233,134386,85417,95860,518896,0.65,0.58,0.56,0.7,0.22,0.68,0.39,0.53,0.51,0.28,0.13,0.98,0.99,0.06,,commit_hours_better,files_edited_avg_better,age_group,Old
232937,32124,55713,198122,518896,0.51,0.83,0.56,0.81,-0.03,0.54,0.63,0.48,0.54,-0.05,-0.39,0.66,0.99,0.0,,commit_hours_better,ccp_avg_better,age_group,Old
109930,93583,178720,136663,518896,0.39,0.48,0.56,0.38,-0.2,0.45,0.66,0.26,0.5,-0.21,-0.25,1.0,0.99,0.03,,commit_hours_better,same_date_duration_avg_avg_better,age_group,Old
190746,142412,97904,87834,518896,0.64,0.54,0.56,0.66,0.23,0.68,0.41,0.51,0.5,0.27,0.2,1.0,0.99,0.06,,commit_hours_better,commit_period_avg_better,age_group,Old
218458,175172,70192,55074,518896,0.76,0.53,0.56,0.76,0.44,0.8,0.29,0.64,0.5,0.51,0.44,1.0,0.99,0.2,,commit_hours_better,commit_days_avg_better,age_group,Old
988276,79280,36321,941115,2044992,0.52,0.94,0.5,0.96,0.02,0.51,0.31,0.5,0.5,0.04,-0.45,0.31,1.0,0.01,,message_length_avg_better,refactor_mle_avg_better,age_group,Medium
575905,507247,448692,513148,2044992,0.53,0.53,0.5,0.56,0.06,0.53,0.47,0.37,0.5,0.06,-0.01,1.0,1.0,0.0,,message_length_avg_better,commit_hours_better,age_group,Medium
1024293,178,304,1020217,2044992,0.5,1.0,0.5,1.0,-0.0,0.5,0.63,0.5,0.5,-0.0,-0.5,0.0,1.0,0.0,,message_length_avg_better,owned_repository_avg_better,age_group,Medium
