metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,employee_code
ccp,89375,1409423,311227,175146,1985171,0.75,0.13,0.2,0.22,0.67,0.34,0.18,0.16,0.72,0.05,-0.13,0.57,0.73,0.01,,-1
commit_days,139603,864816,855834,124918,1985171,0.51,0.13,0.5,0.14,0.05,0.53,0.5,0.12,0.5,0.01,-0.42,0.57,1.0,0.0,,-1
commit_hours,130259,921204,799446,134262,1985171,0.53,0.13,0.47,0.14,0.05,0.49,0.46,0.12,0.52,0.01,-0.39,0.57,1.0,0.0,,-1
commit_period,150029,734246,986404,114492,1985171,0.45,0.13,0.57,0.13,-0.01,0.57,0.57,0.12,0.45,-0.0,-0.49,0.57,0.98,0.0,,-1
commits,139562,866630,854020,124959,1985171,0.51,0.13,0.5,0.14,0.05,0.53,0.5,0.12,0.5,0.01,-0.42,0.57,1.0,0.0,,-1
files_edited,145933,977478,743172,118588,1985171,0.57,0.13,0.45,0.16,0.23,0.55,0.43,0.14,0.54,0.05,-0.35,0.57,0.99,0.0,,-1
message_length_avg,177561,756306,964344,86960,1985171,0.47,0.13,0.58,0.16,0.17,0.67,0.56,0.14,0.44,0.06,-0.46,0.57,0.98,0.0,,-1
same_date_duration_avg,123325,905071,815579,141196,1985171,0.52,0.13,0.47,0.13,-0.01,0.47,0.47,0.11,0.52,-0.0,-0.4,0.57,1.0,0.0,,-1
