feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
commits_per_day,9315,11980,6064,8040,35399,0.6,0.49,0.43,0.61,0.24,0.54,0.34,0.4,0.5,0.2,0.18,1.0,0.99,0.03,
ccp,8896,10491,7553,8459,35399,0.55,0.49,0.46,0.54,0.1,0.51,0.42,0.36,0.5,0.09,0.07,1.0,1.0,0.01,
avg_coupling_code_size_cut,10564,8800,9244,6791,35399,0.55,0.49,0.56,0.53,0.09,0.61,0.51,0.4,0.5,0.1,0.07,1.0,0.99,0.01,
merged_issues_per_developer,30,18018,26,17325,35399,0.51,0.49,0.0,0.54,0.09,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.02,0.0,
commit_day_density,8217,10544,7500,9138,35399,0.53,0.49,0.44,0.52,0.07,0.47,0.42,0.33,0.5,0.06,0.04,1.0,0.99,0.0,
commits_per_developer,7731,10838,7206,9624,35399,0.52,0.49,0.42,0.52,0.06,0.45,0.4,0.31,0.5,0.05,0.03,1.0,0.98,0.0,
merged_issues_per_involved_developer,29,18017,27,17326,35399,0.51,0.49,0.0,0.52,0.06,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.02,0.0,
involved_developers_commits,8625,9912,8132,8730,35399,0.52,0.49,0.47,0.51,0.05,0.5,0.45,0.34,0.5,0.05,0.03,1.0,1.0,0.0,
commits,8656,9783,8261,8699,35399,0.52,0.49,0.48,0.51,0.04,0.5,0.46,0.34,0.5,0.04,0.02,1.0,1.0,0.0,
capped_commits_per_involved_developer,8007,10216,7828,9348,35399,0.51,0.49,0.45,0.51,0.03,0.46,0.43,0.32,0.5,0.03,0.01,1.0,0.99,0.0,
involved_developers_capped_commits,8272,9827,8217,9083,35399,0.51,0.49,0.47,0.5,0.02,0.48,0.46,0.32,0.5,0.02,0.0,1.0,1.0,0.0,
negative_sentiment_rate,8349,9669,8375,9006,35399,0.51,0.49,0.47,0.5,0.02,0.48,0.46,0.32,0.5,0.02,-0.0,1.0,1.0,0.0,
onboarding_prob,4837,13224,4820,12518,35399,0.51,0.49,0.27,0.5,0.02,0.28,0.27,0.22,0.5,0.01,0.0,1.0,0.85,0.0,
