metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,age_group_code
ccp,3141,9335,5086,7645,25207,0.49,0.43,0.33,0.38,-0.11,0.29,0.35,0.2,0.53,-0.06,-0.13,0.98,0.91,0.0,,0.0
ccp,19563,79020,31339,77094,207016,0.48,0.47,0.25,0.38,-0.18,0.2,0.28,0.15,0.52,-0.08,-0.11,1.0,0.8,0.01,,1.0
ccp,40330,188536,67421,177174,473461,0.48,0.46,0.23,0.37,-0.19,0.19,0.26,0.14,0.52,-0.07,-0.11,1.0,0.77,0.01,,2.0
ccp,7679,26403,12017,25170,71269,0.48,0.46,0.28,0.39,-0.15,0.23,0.31,0.17,0.52,-0.08,-0.11,1.0,0.85,0.01,,3.0
commit_days,8331,10962,3459,2455,25207,0.77,0.43,0.47,0.71,0.65,0.77,0.24,0.58,0.5,0.52,0.34,0.98,1.0,0.21,,0.0
commit_days,76004,82133,28226,20653,207016,0.76,0.47,0.5,0.73,0.56,0.79,0.26,0.61,0.5,0.53,0.43,1.0,1.0,0.21,,1.0
commit_days,165414,187770,68187,52090,473461,0.75,0.46,0.49,0.71,0.54,0.76,0.27,0.58,0.5,0.49,0.38,1.0,1.0,0.18,,2.0
commit_days,25925,28619,9801,6924,71269,0.77,0.46,0.5,0.73,0.57,0.79,0.26,0.61,0.5,0.53,0.42,1.0,1.0,0.22,,3.0
commit_period,7609,8160,6261,3177,25207,0.63,0.43,0.55,0.55,0.28,0.71,0.43,0.45,0.49,0.27,0.09,0.98,0.99,0.05,,0.0
commit_period,67447,59505,50854,29210,207016,0.61,0.47,0.57,0.57,0.22,0.7,0.46,0.46,0.5,0.24,0.15,1.0,0.99,0.04,,1.0
commit_period,151188,142864,113093,66316,473461,0.62,0.46,0.56,0.57,0.25,0.7,0.44,0.46,0.5,0.25,0.15,1.0,0.99,0.05,,2.0
commit_period,23779,20968,17452,9070,71269,0.63,0.46,0.58,0.58,0.25,0.72,0.45,0.47,0.49,0.27,0.16,1.0,0.98,0.05,,3.0
commits,8323,10956,3465,2463,25207,0.76,0.43,0.47,0.71,0.65,0.77,0.24,0.58,0.5,0.52,0.34,0.98,1.0,0.21,,0.0
commits,75857,82196,28163,20800,207016,0.76,0.47,0.5,0.73,0.56,0.78,0.26,0.61,0.5,0.53,0.43,1.0,1.0,0.21,,1.0
commits,164998,187797,68160,52506,473461,0.75,0.46,0.49,0.71,0.54,0.76,0.27,0.58,0.5,0.49,0.38,1.0,1.0,0.18,,2.0
commits,25880,28591,9829,6969,71269,0.76,0.46,0.5,0.72,0.57,0.79,0.26,0.61,0.5,0.53,0.42,1.0,1.0,0.21,,3.0
files_edited,6682,9480,4941,4104,25207,0.64,0.43,0.46,0.57,0.34,0.62,0.34,0.42,0.51,0.27,0.12,0.98,1.0,0.06,,0.0
files_edited,57608,73126,37233,39049,207016,0.63,0.47,0.46,0.61,0.3,0.6,0.34,0.43,0.5,0.26,0.18,1.0,0.99,0.05,,1.0
files_edited,125271,168544,87413,92233,473461,0.62,0.46,0.45,0.59,0.28,0.58,0.34,0.41,0.5,0.23,0.15,1.0,0.99,0.04,,2.0
files_edited,19417,24920,13500,13432,71269,0.62,0.46,0.46,0.59,0.28,0.59,0.35,0.42,0.5,0.24,0.15,1.0,1.0,0.04,,3.0
message_length_avg,5993,6720,7701,4793,25207,0.5,0.43,0.54,0.44,0.02,0.56,0.53,0.32,0.49,0.02,-0.12,0.98,0.99,0.0,,0.0
message_length_avg,57122,50342,60017,39535,207016,0.52,0.47,0.57,0.49,0.04,0.59,0.54,0.36,0.5,0.05,-0.03,1.0,0.99,0.0,,1.0
message_length_avg,127894,113702,142255,89610,473461,0.51,0.46,0.57,0.47,0.03,0.59,0.56,0.36,0.49,0.03,-0.06,1.0,0.99,0.0,,2.0
message_length_avg,19849,17760,20660,13000,71269,0.53,0.46,0.57,0.49,0.06,0.6,0.54,0.37,0.49,0.07,-0.02,1.0,0.99,0.0,,3.0
refactor_mle,3294,10658,3763,7492,25207,0.55,0.43,0.28,0.47,0.09,0.31,0.26,0.23,0.53,0.04,-0.03,0.98,0.86,0.0,,0.0
refactor_mle,17492,90945,19414,79165,207016,0.52,0.47,0.18,0.47,0.02,0.18,0.18,0.15,0.52,0.0,-0.02,1.0,0.68,0.0,,1.0
refactor_mle,38669,214258,41699,178835,473461,0.53,0.46,0.17,0.48,0.05,0.18,0.16,0.15,0.53,0.01,-0.01,1.0,0.66,0.0,,2.0
refactor_mle,7437,29618,8802,25412,71269,0.52,0.46,0.23,0.46,-0.01,0.23,0.23,0.18,0.52,-0.0,-0.04,1.0,0.77,0.0,,3.0
same_date_duration_avg,4020,5952,8469,6766,25207,0.4,0.43,0.5,0.32,-0.25,0.37,0.59,0.21,0.5,-0.21,-0.31,0.98,1.0,0.03,,0.0
same_date_duration_avg,32986,46373,63986,63671,207016,0.38,0.47,0.47,0.34,-0.27,0.34,0.58,0.21,0.5,-0.24,-0.28,1.0,1.0,0.04,,1.0
same_date_duration_avg,76551,107121,148836,140953,473461,0.39,0.46,0.48,0.34,-0.26,0.35,0.58,0.21,0.5,-0.23,-0.28,1.0,1.0,0.04,,2.0
same_date_duration_avg,12592,15922,22498,20257,71269,0.4,0.46,0.49,0.36,-0.22,0.38,0.59,0.23,0.5,-0.2,-0.26,1.0,1.0,0.03,,3.0
