Preference,Accuracy,Independent Prob.,Lift,preference,control,control_val
dev_group,1.0,0.39709655919751863,1.5182791863542513,dev_group,age_group,Medium
dev_group,1.0,0.38944926923061873,1.5677285310499163,dev_group,age_group,Old
dev_group,1.0,0.5222864273791967,0.9146582173654072,dev_group,age_group,New
dev_group,1.0,0.580187057558173,0.7235820533617023,dev_group,age_group,Pre GitHub
dev_group,1.0,0.3529888978472549,1.8329502885179103,dev_group,language_code,0
dev_group,1.0,0.41468312403010676,1.4114798554652497,dev_group,language_code,6
dev_group,1.0,0.3964818022284188,1.5221838540369776,dev_group,language_code,4
dev_group,1.0,0.4252080854079552,1.3517897103028398,dev_group,language_code,2
dev_group,1.0,0.5548661948175627,0.8022363037070497,dev_group,language_code,3
dev_group,1.0,0.406257163310787,1.4614950585745103,dev_group,language_code,5
dev_group,1.0,0.5765304979494699,0.7345136181982956,dev_group,language_code,1
dev_group,1.0,0.6530612292761637,0.5312499887772764,dev_group,Is_Company,True
dev_group,,0.0,,dev_group,Is_Company,
dev_group,1.0,0.43686877659804413,1.2890168708945837,dev_group,Is_Company,False
dev_group,1.0,0.4499875216016184,1.222283845651429,dev_group,popularity_group,Low
dev_group,1.0,0.49645421840956616,1.0142844252660117,dev_group,popularity_group,Medium
dev_group,1.0,0.4944356397233015,1.0225079255201441,dev_group,popularity_group,High
dev_group,1.0,0.7930084280781041,0.26102064567403205,dev_group,popularity_group,Extraordinary
dev_group,1.0,0.6998083959952615,0.42896256421417833,dev_group,is_employee,False
dev_group,,0.0,,dev_group,is_employee,
dev_group,1.0,0.7118442678057486,0.40480164725142487,dev_group,is_employee,True
dev_group,1.0,0.368296979497493,1.715200112051983,dev_group,license_group,Closed
dev_group,1.0,0.48053807561054157,1.0810005507460834,dev_group,license_group,Other
dev_group,1.0,0.39751137147184595,1.5156513040050874,dev_group,license_group,Highly Open
dev_group,1.0,0.4571448286959885,1.1874905658508985,dev_group,license_group,Open
popularity_group,1.0,0.33669005416252273,1.9700907040078253,popularity_group,age_group,Medium
popularity_group,1.0,0.3187128404682049,2.1376206824015958,popularity_group,age_group,Old
popularity_group,1.0,0.3934093765180273,1.5418814590815342,popularity_group,age_group,New
popularity_group,1.0,0.3401115919196102,1.940211459291758,popularity_group,age_group,Pre GitHub
popularity_group,1.0,0.3162643417036831,2.1619119455993805,popularity_group,language_code,0
popularity_group,1.0,0.369899244972127,1.7034388785393517,popularity_group,language_code,6
popularity_group,1.0,0.32883281097250283,2.0410590629401044,popularity_group,language_code,4
popularity_group,1.0,0.41041948241043563,1.4365315070495623,popularity_group,language_code,2
popularity_group,1.0,0.3504712470152326,1.8533011153309729,popularity_group,language_code,3
popularity_group,1.0,0.30284090552156845,2.3020638287874213,popularity_group,language_code,5
popularity_group,1.0,0.3142598802790849,2.18207974594762,popularity_group,language_code,1
popularity_group,1.0,0.3795443641137105,1.6347381085084498,popularity_group,Is_Company,True
popularity_group,,0.0,,popularity_group,Is_Company,
popularity_group,1.0,0.3476996775980694,1.8760452322189685,popularity_group,Is_Company,False
