metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,language_group
ccp,49587,144830,73161,240400,507978,0.38,0.57,0.24,0.4,-0.29,0.17,0.34,0.14,0.46,-0.17,-0.33,0.99,0.8,0.03,,-1.0
ccp,8246,17337,11055,25679,62317,0.41,0.54,0.31,0.43,-0.22,0.24,0.39,0.18,0.48,-0.15,-0.25,0.99,0.89,0.02,,0.0
ccp,16681,34785,19824,51985,123275,0.42,0.56,0.3,0.46,-0.18,0.24,0.36,0.19,0.48,-0.12,-0.25,0.99,0.88,0.01,,1.0
ccp,7032,16387,9558,27125,60102,0.39,0.57,0.28,0.42,-0.25,0.21,0.37,0.16,0.47,-0.17,-0.31,0.99,0.85,0.02,,2.0
ccp,4885,4654,6496,8209,24244,0.39,0.54,0.47,0.43,-0.21,0.37,0.58,0.25,0.5,-0.21,-0.27,1.0,1.0,0.03,,3.0
ccp,9784,27562,13831,23949,75126,0.5,0.45,0.31,0.41,-0.08,0.29,0.33,0.21,0.52,-0.04,-0.1,0.99,0.9,0.0,,4.0
commit_days,150093,112778,105213,139894,507978,0.52,0.57,0.5,0.59,0.03,0.52,0.48,0.38,0.5,0.03,-0.09,0.99,1.0,0.0,,-1.0
commit_days,17024,15763,12629,16901,62317,0.53,0.54,0.48,0.57,0.05,0.5,0.44,0.37,0.5,0.06,-0.03,0.99,1.0,0.0,,0.0
commit_days,33411,27727,26882,35255,123275,0.5,0.56,0.49,0.55,-0.01,0.49,0.49,0.35,0.5,-0.01,-0.11,0.99,1.0,0.0,,1.0
commit_days,18553,13770,12175,15604,60102,0.54,0.57,0.51,0.6,0.06,0.54,0.47,0.4,0.5,0.07,-0.05,0.99,1.0,0.0,,2.0
commit_days,6207,5933,5217,6887,24244,0.5,0.54,0.47,0.54,0.01,0.47,0.47,0.34,0.5,0.01,-0.07,1.0,1.0,0.0,,3.0
commit_days,14442,21681,19712,19291,75126,0.48,0.45,0.45,0.42,-0.06,0.43,0.48,0.27,0.5,-0.05,-0.13,0.99,0.99,0.0,,4.0
commit_hours,143459,124616,93375,146528,507978,0.53,0.57,0.47,0.61,0.06,0.49,0.43,0.37,0.5,0.07,-0.08,0.99,1.0,0.0,,-1.0
commit_hours,16396,16788,11604,17529,62317,0.53,0.54,0.45,0.59,0.08,0.48,0.41,0.36,0.5,0.07,-0.02,0.99,0.99,0.0,,0.0
commit_hours,31151,30379,24230,37515,123275,0.5,0.56,0.45,0.56,0.01,0.45,0.44,0.34,0.49,0.01,-0.1,0.99,0.99,0.0,,1.0
commit_hours,16825,15222,10723,17332,60102,0.53,0.57,0.46,0.61,0.07,0.49,0.41,0.37,0.49,0.08,-0.06,0.99,0.99,0.0,,2.0
commit_hours,5384,6432,4718,7710,24244,0.49,0.54,0.42,0.53,-0.01,0.41,0.42,0.3,0.49,-0.01,-0.1,1.0,0.98,0.0,,3.0
commit_hours,12282,24276,17117,21451,75126,0.49,0.45,0.39,0.42,-0.07,0.36,0.41,0.24,0.51,-0.05,-0.12,0.99,0.97,0.0,,4.0
commit_period,174749,103749,114242,115238,507978,0.55,0.57,0.57,0.6,0.06,0.6,0.52,0.43,0.51,0.08,-0.04,0.99,0.99,0.0,,-1.0
commit_period,20365,14037,14355,13560,62317,0.55,0.54,0.56,0.59,0.08,0.6,0.51,0.42,0.51,0.09,0.01,0.99,0.99,0.01,,0.0
commit_period,38109,28569,26040,30557,123275,0.54,0.56,0.52,0.59,0.07,0.55,0.48,0.4,0.5,0.08,-0.03,0.99,1.0,0.0,,1.0
commit_period,21578,12096,13849,12579,60102,0.56,0.57,0.59,0.61,0.07,0.63,0.53,0.45,0.51,0.09,-0.01,0.99,0.98,0.01,,2.0
commit_period,6924,5560,5590,6170,24244,0.51,0.54,0.52,0.55,0.02,0.53,0.5,0.37,0.5,0.03,-0.05,1.0,1.0,0.0,,3.0
commit_period,17067,20630,20763,16666,75126,0.5,0.45,0.5,0.45,0.0,0.51,0.5,0.31,0.5,0.0,-0.09,0.99,1.0,0.0,,4.0
commits,149646,112802,105189,140341,507978,0.52,0.57,0.5,0.59,0.03,0.52,0.48,0.38,0.5,0.03,-0.09,0.99,1.0,0.0,,-1.0
commits,16993,15720,12672,16932,62317,0.52,0.54,0.48,0.57,0.05,0.5,0.45,0.36,0.5,0.05,-0.04,0.99,1.0,0.0,,0.0
commits,33395,27691,26918,35271,123275,0.5,0.56,0.49,0.55,-0.01,0.49,0.49,0.35,0.5,-0.01,-0.11,0.99,1.0,0.0,,1.0
commits,18473,13749,12196,15684,60102,0.54,0.57,0.51,0.6,0.06,0.54,0.47,0.4,0.5,0.07,-0.06,0.99,1.0,0.0,,2.0
commits,6207,5957,5193,6887,24244,0.5,0.54,0.47,0.54,0.01,0.47,0.47,0.34,0.5,0.01,-0.07,1.0,1.0,0.0,,3.0
commits,14453,21685,19708,19280,75126,0.48,0.45,0.45,0.42,-0.06,0.43,0.48,0.27,0.5,-0.05,-0.13,0.99,0.99,0.0,,4.0
files_edited,134704,120230,97761,155283,507978,0.5,0.57,0.46,0.58,0.02,0.46,0.45,0.35,0.49,0.02,-0.12,0.99,0.99,0.0,,-1.0
files_edited,17201,16569,11823,16724,62317,0.54,0.54,0.47,0.59,0.09,0.51,0.42,0.38,0.5,0.09,-0.0,0.99,1.0,0.01,,0.0
