metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,age_group_code
ccp,3536,6822,4691,10158,25207,0.41,0.54,0.33,0.43,-0.21,0.26,0.41,0.19,0.48,-0.15,-0.24,0.99,0.91,0.02,,0.0
ccp,21879,60854,29023,95260,207016,0.4,0.57,0.25,0.43,-0.24,0.19,0.32,0.15,0.47,-0.14,-0.29,0.99,0.8,0.02,,1.0
ccp,45453,141014,62298,224696,473461,0.39,0.57,0.23,0.42,-0.26,0.17,0.31,0.14,0.46,-0.15,-0.31,0.99,0.77,0.02,,2.0
ccp,8421,19485,11275,32088,71269,0.39,0.57,0.28,0.43,-0.25,0.21,0.37,0.16,0.47,-0.17,-0.31,0.99,0.85,0.02,,3.0
commit_days,6439,6162,5351,7255,25207,0.5,0.54,0.47,0.55,0.01,0.47,0.46,0.34,0.5,0.01,-0.08,0.99,1.0,0.0,,0.0
commit_days,59912,45559,44318,57227,207016,0.51,0.57,0.5,0.57,0.02,0.51,0.49,0.37,0.5,0.02,-0.1,0.99,1.0,0.0,,1.0
commit_days,135047,104758,98554,135102,473461,0.51,0.57,0.49,0.58,0.01,0.5,0.48,0.37,0.5,0.01,-0.11,0.99,1.0,0.0,,2.0
commit_days,20686,15720,15040,19823,71269,0.51,0.57,0.5,0.58,0.02,0.51,0.49,0.37,0.5,0.02,-0.1,0.99,1.0,0.0,,3.0
commit_hours,5993,6720,4793,7701,25207,0.5,0.54,0.43,0.56,0.02,0.44,0.42,0.32,0.49,0.02,-0.07,0.99,0.98,0.0,,0.0
commit_hours,57122,50342,39535,60017,207016,0.52,0.57,0.47,0.59,0.04,0.49,0.44,0.36,0.5,0.05,-0.08,0.99,1.0,0.0,,1.0
commit_hours,127894,113702,89610,142255,473461,0.51,0.57,0.46,0.59,0.03,0.47,0.44,0.36,0.49,0.03,-0.11,0.99,1.0,0.0,,2.0
commit_hours,19849,17760,13000,20660,71269,0.53,0.57,0.46,0.6,0.06,0.49,0.42,0.37,0.49,0.07,-0.07,0.99,1.0,0.0,,3.0
commit_period,7797,5440,6073,5897,25207,0.53,0.54,0.55,0.56,0.03,0.57,0.53,0.39,0.5,0.04,-0.03,0.99,0.99,0.0,,0.0
commit_period,71697,43273,46604,45442,207016,0.56,0.57,0.57,0.61,0.07,0.61,0.52,0.44,0.51,0.09,-0.02,0.99,0.99,0.01,,1.0
commit_period,158479,97510,105802,111670,473461,0.54,0.57,0.56,0.6,0.05,0.59,0.52,0.42,0.51,0.06,-0.05,0.99,0.99,0.0,,2.0
commit_period,24853,14382,16378,15656,71269,0.55,0.57,0.58,0.6,0.06,0.61,0.53,0.44,0.51,0.08,-0.03,0.99,0.98,0.0,,3.0
commits,6438,6163,5350,7256,25207,0.5,0.54,0.47,0.55,0.01,0.47,0.46,0.34,0.5,0.01,-0.08,0.99,1.0,0.0,,0.0
commits,59723,45580,44297,57416,207016,0.51,0.57,0.5,0.57,0.01,0.51,0.49,0.37,0.5,0.02,-0.1,0.99,1.0,0.0,,1.0
commits,134627,104781,98531,135522,473461,0.51,0.57,0.49,0.58,0.01,0.5,0.48,0.37,0.5,0.01,-0.11,0.99,1.0,0.0,,2.0
commits,20653,15704,15056,19856,71269,0.51,0.57,0.5,0.58,0.02,0.51,0.49,0.37,0.5,0.02,-0.1,0.99,1.0,0.0,,3.0
files_edited,6486,6376,5137,7208,25207,0.51,0.54,0.46,0.56,0.03,0.47,0.45,0.34,0.5,0.03,-0.06,0.99,1.0,0.0,,0.0
files_edited,56057,51093,38784,61082,207016,0.52,0.57,0.46,0.59,0.04,0.48,0.43,0.36,0.49,0.05,-0.09,0.99,0.99,0.0,,1.0
files_edited,123001,113629,89683,147148,473461,0.5,0.57,0.45,0.58,0.01,0.46,0.44,0.34,0.49,0.01,-0.12,0.99,0.99,0.0,,2.0
files_edited,19131,16974,13786,21378,71269,0.51,0.57,0.46,0.58,0.02,0.47,0.45,0.35,0.49,0.02,-0.11,0.99,1.0,0.0,,3.0
refactor_mle,4292,8748,2765,9402,25207,0.52,0.54,0.28,0.61,0.12,0.31,0.24,0.26,0.48,0.08,-0.05,0.99,0.86,0.0,,0.0
refactor_mle,23682,76653,13224,93457,207016,0.48,0.57,0.18,0.64,0.13,0.2,0.15,0.18,0.46,0.06,-0.14,0.99,0.68,0.0,,1.0
refactor_mle,52080,175024,28288,218069,473461,0.48,0.57,0.17,0.65,0.14,0.19,0.14,0.17,0.45,0.06,-0.16,0.99,0.66,0.0,,2.0
refactor_mle,10075,24596,6164,30434,71269,0.49,0.57,0.23,0.62,0.09,0.25,0.2,0.22,0.46,0.05,-0.14,0.99,0.77,0.0,,3.0
same_date_duration_avg,6496,5520,5993,7198,25207,0.48,0.54,0.5,0.52,-0.04,0.47,0.52,0.33,0.5,-0.05,-0.12,0.99,1.0,0.0,,0.0
same_date_duration_avg,54005,46910,42967,63134,207016,0.49,0.57,0.47,0.56,-0.02,0.46,0.48,0.34,0.5,-0.02,-0.14,0.99,1.0,0.0,,1.0
same_date_duration_avg,130431,108356,94956,139718,473461,0.5,0.57,0.48,0.58,0.01,0.48,0.47,0.36,0.5,0.02,-0.12,0.99,1.0,0.0,,2.0
same_date_duration_avg,19663,15333,15427,20846,71269,0.49,0.57,0.49,0.56,-0.01,0.49,0.5,0.35,0.5,-0.02,-0.14,0.99,1.0,0.0,,3.0
