feature,avg,std
sum_code_file_size,-1261.1110970376694,56619.372343426156
capped_sum_code_file_size,-889.7108064872608,32372.23253083071
cursing_rate,0.11071191750833778,2.2029979038899423
refactor_mle,0.2449379437681951,117.51301919657843
negative_sentiment_rate,0.9594033280309612,4.725268305909995
positive_sentiment_rate,1.0356620678226658,4.816198934219399
corrective_multiline_message_ratio,1.0471062910579356,1.0014866622717422
commit_period,1.116001801751468,6.425051859859806
commit_days,1.172150276626598,2.4010132013342167
commits,1.1740415916606477,2.3856275597490626
multiline_message_ratio,1.3033125691195775,4.740297747881306
commits_per_day,1.4331864803393504,1.6798798381689852
ccp,2.2248402816051223,56.488550091726715
non_corrective_message_length_avg,2.253074843002923,4.005545259809033
message_length_avg,2.5214322704174927,5.146401470244166
avg_coupling_code_size_cut,3.0025462583797777,21.413982391728478
same_date_duration_avg,4.949721849975733,71.32052210102988
commit_day_density,5.584449728176454,23.17290738198661
files_created,8.006964804867195,171.64806932579614
files_edited,9.877750676074811,147.30678018020137
tests_presence,10.165417349442096,209.9970968689398
prev_touch_ago,66.90568790925202,4264.49613122294
merged_prs,,
closed_issues,,
pull_requests,,
