cases,developers,a_Is_Company,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
1,1,false,1,1,0,0,0,0,0,1,1,0,0
1,1,false,1,1,0,1,0,1,1,1,1,0,1
1,1,true,1,1,0,1,0,1,1,1,1,1,0
1,1,false,1,1,0,0,0,0,1,0,1,0,0
15,1,false,1,1,0,1,0,1,0,1,0,0,1
1,1,true,1,1,0,1,0,1,0,1,0,0,1
2,1,false,1,1,0,0,0,0,0,0,1,0,0
1,1,false,1,1,0,0,0,0,0,1,0,1,0
1,1,true,1,1,0,1,0,1,1,1,1,0,0
1,1,true,1,1,0,1,0,1,0,1,1,0,1
1,1,false,0,0,0,0,0,0,0,1,0,1,0
2,2,true,1,1,0,1,0,1,0,1,1,0,0
4,2,false,1,1,0,1,0,1,0,1,1,1,0
2,2,true,1,1,0,1,0,1,1,1,1,0,1
4,2,true,1,1,0,1,0,1,0,1,0,1,1
2,2,true,1,1,0,1,0,1,1,1,0,1,0
10,2,false,1,1,0,1,0,1,0,1,0,1,0
4,3,false,1,1,0,1,0,1,1,1,1,1,1
4,4,false,1,0,0,0,0,1,0,0,0,1,1
21,4,false,1,1,0,1,0,1,1,1,0,1,0
4,4,false,1,1,0,1,0,1,1,1,1,0,0
4,4,false,1,1,0,1,0,1,0,1,1,0,0
10,4,false,1,1,0,1,0,1,0,1,0,1,1
7,5,true,1,1,0,1,0,1,1,1,0,1,1
7,5,false,1,1,0,1,0,1,1,1,1,1,0
28,6,false,1,1,0,1,0,1,1,1,0,0,1
30,6,false,1,1,0,1,0,1,1,1,0,1,1
7,7,false,1,0,0,0,0,1,0,1,0,0,1
7,7,false,1,0,0,0,0,1,0,1,0,1,1
8,8,true,1,0,0,0,0,1,0,0,0,1,1
8,8,false,1,0,0,0,0,1,0,0,0,0,1
306,264,true,0,1,0,0,0,1,0,1,1,0,0
9,9,false,1,0,0,0,0,1,0,0,1,0,1
9,9,false,0,1,0,0,0,1,0,0,0,0,1
9,9,true,1,0,0,0,0,1,0,1,0,0,1
25,9,false,1,1,0,1,0,1,0,1,0,0,0
10,9,false,1,0,0,0,0,1,1,0,0,0,1
14,9,false,0,1,0,0,0,1,0,1,0,1,1
12,10,true,1,1,0,1,0,1,0,1,0,0,0
11,10,false,0,1,0,0,0,1,0,0,0,1,1
14,10,false,1,0,0,0,0,1,1,1,0,1,0
11,10,false,0,0,0,0,0,1,0,1,0,1,1
11,11,false,1,0,0,0,0,1,1,1,0,1,1
11,11,true,1,0,0,0,0,1,1,1,0,0,1
11,11,true,1,0,0,0,0,1,0,1,0,1,1
