cases,developers,a_Is_Company,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
83,39,false,1,1,0,0,0,1,0,0,1,1,1
349,40,true,1,1,0,0,0,1,0,0,0,0,1
2304,296,true,1,0,0,0,0,1,0,1,0,0,0
582,41,true,0,1,0,0,0,1,1,0,0,0,1
117,43,false,0,0,0,0,0,1,1,0,1,1,0
468,43,true,1,0,0,0,0,1,0,1,1,1,1
893,43,false,0,1,0,0,0,1,0,1,0,1,1
316,43,true,0,1,0,0,0,1,0,0,0,0,1
143,43,false,1,0,0,0,0,1,1,0,1,1,1
81,44,false,1,0,0,0,0,1,1,1,1,1,1
110,44,false,1,0,0,0,0,1,1,1,0,1,0
171,44,false,0,0,0,0,0,1,1,1,1,1,1
122,44,false,1,0,0,0,0,1,1,0,1,1,0
683,45,true,1,0,0,0,0,1,1,1,0,1,1
2041,301,true,1,0,0,0,0,1,0,0,0,0,0
253,46,true,0,0,0,0,0,1,1,0,0,1,1
113,46,false,1,0,0,0,0,1,1,0,0,1,0
289,46,true,0,1,0,0,0,1,0,0,1,1,1
269,46,true,1,1,0,0,0,1,0,0,1,0,1
128,47,false,1,0,0,0,0,1,1,1,1,1,0
221,47,true,0,0,0,0,0,1,1,0,0,1,0
453,48,false,1,1,0,0,0,1,0,1,0,1,1
489,48,true,0,0,0,0,0,1,0,1,0,0,1
274,48,true,0,0,0,0,0,1,1,0,1,0,1
403,49,false,0,1,0,0,0,1,0,1,0,0,1
139,49,false,0,1,0,0,0,1,1,0,1,1,1
356,49,true,1,1,0,0,0,1,0,1,0,1,1
781,49,true,0,0,0,0,0,1,1,1,0,0,1
234,49,false,1,1,0,0,0,1,0,1,0,0,1
551,49,true,0,1,0,0,0,1,0,1,0,0,1
144,50,false,0,0,0,0,0,1,1,1,1,0,1
453,50,false,0,1,0,0,0,1,0,1,1,0,1
165,51,false,1,1,0,0,0,1,1,0,0,0,1
834,51,true,0,0,0,0,0,1,1,1,0,1,1
558,51,true,1,0,0,0,0,1,1,1,1,0,1
4189,307,true,0,1,0,0,0,1,0,0,1,0,0
190,52,false,0,0,0,0,0,1,1,1,0,1,0
341,52,true,0,0,0,0,0,1,1,0,1,1,1
371,52,true,1,0,0,0,0,1,0,0,1,1,1
520,52,false,0,1,0,0,0,1,0,1,1,1,1
256,52,false,1,1,0,0,0,1,0,1,1,0,1
485,53,true,1,1,0,0,0,1,0,0,1,1,1
126,53,false,0,1,0,0,0,1,1,0,1,0,1
698,53,true,1,0,0,0,0,1,1,0,0,1,1
378,53,false,1,1,0,0,0,1,1,0,0,1,1
1461,53,true,1,0,0,0,0,1,1,1,1,1,1
209,54,true,0,0,0,0,0,1,0,0,1,1,1
251,54,false,0,1,0,0,0,1,1,0,0,1,0
666,54,false,1,1,0,0,0,1,0,1,1,1,1
115,55,false,0,0,0,0,0,1,0,1,1,1,1
206,56,false,1,0,0,0,0,1,1,1,0,0,0
1249,57,true,1,1,0,0,0,1,1,1,0,0,1
632,58,true,0,1,0,0,0,1,0,1,0,1,1
190,59,false,0,1,0,0,0,1,1,0,1,1,0
541,59,true,1,0,0,0,0,1,1,1,1,1,0
200,59,false,0,0,0,0,0,1,0,1,1,0,1
165,59,false,0,0,0,0,0,1,1,0,0,0,0
601,59,true,0,1,0,0,0,1,1,0,1,0,1
788,60,true,0,0,0,0,0,1,0,1,0,1,1
488,60,true,1,1,0,0,0,1,0,1,1,1,1
362,61,true,0,1,0,0,0,1,1,0,0,1,1
604,61,true,1,0,0,0,0,1,1,1,0,1,0
522,63,true,1,1,0,0,0,1,0,0,0,1,1
153,63,false,1,0,0,0,0,1,1,0,0,0,0
412,63,true,1,1,0,0,0,1,0,1,1,0,1
171,63,false,1,1,0,0,0,1,1,0,1,0,1
720,64,false,1,1,0,0,0,1,1,1,0,1,1
560,64,false,0,1,0,0,0,1,1,1,0,0,1
2271,320,true,0,0,0,0,0,1,0,0,0,0,0
482,66,false,1,1,0,0,0,1,1,1,0,0,1
801,66,true,1,1,0,0,0,1,1,0,0,0,1
217,67,false,1,0,0,0,0,1,1,0,1,0,0
490,67,true,0,1,0,0,0,1,1,0,1,1,1
338,67,false,0,1,0,0,0,1,0,0,0,1,0
193,67,false,1,0,0,0,0,1,1,1,1,0,0
928,67,false,0,1,0,0,0,1,1,1,0,1,1
867,68,true,0,1,0,0,0,1,1,1,0,0,1
242,68,false,1,1,0,0,0,1,1,0,1,1,1
651,68,true,0,1,0,0,0,1,1,1,0,1,1
1483,324,true,1,0,0,0,0,1,0,0,1,0,0
501,69,true,1,0,0,0,0,1,1,0,1,1,1
404,70,false,1,1,0,0,0,1,1,1,1,0,1
3721,326,true,1,1,0,0,0,1,0,1,0,0,0
408,71,false,0,1,0,0,0,1,1,0,1,0,0
431,72,false,0,1,0,0,0,1,1,0,0,0,0
254,73,false,0,0,0,0,0,1,1,0,1,0,0
728,73,false,0,1,0,0,0,1,1,1,1,1,1
498,73,false,0,1,0,0,0,1,1,1,1,0,1
1044,73,true,0,0,0,0,0,1,1,1,0,1,0
941,74,true,1,1,0,0,0,1,1,1,1,0,1
762,75,true,1,1,0,0,0,1,1,0,1,0,1
802,76,true,0,1,0,0,0,1,1,0,0,1,0
599,77,true,0,1,0,0,0,1,0,1,1,0,1
760,77,true,0,0,0,0,0,1,0,1,1,0,1
234,77,false,0,0,0,0,0,1,1,1,1,1,0
657,77,true,0,1,0,0,0,1,0,1,1,1,1
320,78,false,0,0,0,0,0,1,1,1,0,0,0
442,81,true,1,0,0,0,0,1,1,0,1,1,0
1541,81,true,0,0,0,0,0,1,0,1,1,1,1
552,81,true,0,0,0,0,0,1,1,0,0,0,0
276,83,true,0,0,0,0,0,1,1,0,1,1,0
4008,339,false,0,1,0,0,0,1,0,1,1,0,0
519,84,true,1,0,0,0,0,1,1,0,0,1,0
348,85,false,1,1,0,0,0,1,1,0,1,1,0
644,86,false,1,1,0,0,0,1,1,1,1,1,1
1015,86,true,0,1,0,0,0,1,1,1,1,0,1
