metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,employee_code
ccp,146236,801100,254366,783469,1985171,0.48,0.47,0.2,0.37,-0.22,0.16,0.24,0.12,0.52,-0.08,-0.1,1.0,0.73,0.01,,-1
commit_days,717802,777831,277635,211903,1985171,0.75,0.47,0.5,0.72,0.54,0.77,0.26,0.59,0.5,0.51,0.42,1.0,1.0,0.2,,-1
commit_period,655968,575001,480465,273737,1985171,0.62,0.47,0.57,0.58,0.23,0.71,0.46,0.47,0.5,0.25,0.17,1.0,0.98,0.05,,-1
commits,716202,778086,277380,213503,1985171,0.75,0.47,0.5,0.72,0.54,0.77,0.26,0.59,0.5,0.51,0.42,1.0,1.0,0.19,,-1
files_edited,529368,695729,359737,400337,1985171,0.62,0.47,0.45,0.6,0.27,0.57,0.34,0.41,0.5,0.23,0.16,1.0,0.99,0.04,,-1
message_length_avg,559201,472762,582704,370504,1985171,0.52,0.47,0.58,0.49,0.05,0.6,0.55,0.37,0.5,0.05,-0.02,1.0,0.98,0.0,,-1
refactor_mle,130259,921204,134262,799446,1985171,0.53,0.47,0.13,0.49,0.05,0.14,0.13,0.12,0.52,0.01,-0.0,1.0,0.57,0.0,,-1
same_date_duration_avg,318050,434612,620854,611655,1985171,0.38,0.47,0.47,0.34,-0.28,0.34,0.59,0.21,0.5,-0.24,-0.29,1.0,1.0,0.04,,-1
