cases,developers,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
8164,2236,0,0,0,0,0,1,0,0,1,0,0
302,33,1,1,0,1,0,1,1,1,1,0,0
37156,292,0,1,0,0,0,1,1,1,0,0,1
17637,438,1,1,0,0,0,1,1,0,1,1,1
1810,261,1,0,0,0,0,1,1,1,0,1,0
1642,128,0,1,0,0,0,1,0,0,0,0,1
35,14,1,0,0,0,0,0,0,1,0,0,0
116806,710,0,1,0,0,0,1,1,1,0,0,0
79373,392,1,1,0,0,0,1,1,1,1,1,1
407,119,0,0,0,0,0,1,1,0,0,0,1
45,14,1,1,0,1,0,1,0,1,1,1,1
12064,909,1,1,0,0,0,1,0,0,0,1,0
4053,194,0,0,0,0,0,1,0,1,0,1,1
1699,168,1,0,0,0,0,1,0,1,1,0,1
384,111,0,0,0,0,0,1,0,0,0,0,1
49,28,1,1,0,0,0,0,0,0,0,0,0
666,111,1,0,0,0,0,1,1,1,0,0,1
269,101,1,0,0,0,0,1,0,0,0,0,1
98439,718,0,1,0,0,0,1,0,1,0,1,0
100331,544,0,1,0,0,0,1,1,1,1,1,0
3465,175,0,1,0,0,0,1,1,0,0,1,1
1245,113,1,0,0,0,0,1,0,1,0,1,1
47543,286,0,1,0,0,0,1,1,1,0,1,1
69715,331,1,1,0,0,0,1,1,1,1,0,1
736,96,1,0,0,0,0,1,0,1,0,0,1
406,33,1,1,0,1,0,1,1,1,0,0,1
5789,270,0,1,0,0,0,1,1,0,0,1,0
1065,53,1,1,0,1,0,1,1,1,0,0,0
5226,254,0,1,0,0,0,1,1,0,1,1,1
6585,262,1,1,0,0,0,1,1,0,0,0,1
353,135,1,0,0,0,0,1,1,0,0,0,1
265056,2687,0,1,0,0,0,1,0,1,1,0,0
5987,1747,1,0,0,0,0,1,0,0,1,0,0
128113,887,0,1,0,0,0,1,0,1,1,1,0
1956,203,0,0,0,0,0,1,1,1,0,0,1
27171,187,1,1,0,0,0,1,0,1,0,0,1
2220,192,0,1,0,0,0,1,0,0,1,0,1
48,28,1,0,0,0,0,0,0,1,1,0,0
67528,412,0,1,0,0,0,1,1,1,0,1,0
5476,45,1,1,0,1,0,1,0,1,0,0,0
46417,337,0,1,0,0,0,1,0,1,1,0,1
10896,1431,1,0,0,0,0,1,0,1,0,0,0
3498,380,0,0,0,0,0,1,1,1,1,0,1
7646,375,0,0,0,0,0,1,0,1,1,1,1
4022,183,1,1,0,0,0,1,0,0,0,1,1
9942,334,1,1,0,0,0,1,1,0,0,1,1
34,23,1,0,0,0,0,0,0,0,0,0,0
27072,804,1,1,0,0,0,1,1,0,0,0,0
431,174,0,0,0,0,0,1,0,0,1,0,1
3106,176,0,1,0,0,0,1,1,0,0,0,1
622,206,0,0,0,0,0,1,1,0,1,0,1
26,13,1,1,0,0,0,0,1,0,0,0,0
46,22,0,1,0,0,0,0,0,1,1,0,0
50315,264,1,1,0,0,0,1,0,1,1,0,1
1,1,0,1,0,0,0,0,1,1,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,0,1,1,0,1,0
1,1,1,0,0,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,0,0,1,0,1,1
1,1,1,0,0,0,0,0,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,0,1,1
1,1,1,0,0,1,0,1,1,0,1,0,0
1,1,1,1,0,0,0,0,1,1,0,1,1
1,1,0,0,0,0,0,0,1,0,0,1,1
1,1,1,1,0,0,0,0,0,0,0,1,1
1,1,1,0,0,1,0,1,1,0,0,1,1
1,1,0,0,0,0,0,0,1,1,0,0,1
1,1,1,1,0,0,0,0,0,1,0,0,1
1,1,1,1,0,1,0,1,1,0,1,1,1
1,1,0,1,0,0,0,0,1,0,0,0,1
1,1,1,1,0,0,0,0,1,0,1,1,1
1,1,1,1,0,1,0,1,1,0,0,1,1
1,1,0,0,0,0,0,0,0,1,1,1,1
2,2,1,0,0,0,0,0,0,0,1,0,1
2,2,0,0,0,0,0,0,1,0,0,1,0
2,2,0,0,0,0,0,0,1,0,0,0,1
2,2,0,1,0,0,0,0,1,1,0,1,1
2,2,1,0,0,0,0,0,1,1,0,1,0
2,2,1,1,0,0,0,0,1,1,1,1,1
2,2,1,1,0,0,0,0,0,0,1,1,1
2,2,0,0,0,0,0,0,1,0,1,1,0
2,1,1,0,0,0,0,0,0,1,0,0,1
2,2,1,1,0,0,0,0,0,1,0,1,1
2,2,0,1,0,0,0,0,0,1,0,0,1
2,2,1,0,0,0,0,0,1,1,0,1,1
2,2,1,0,0,0,0,0,1,1,1,1,0
2,2,1,0,0,0,0,0,1,0,0,0,1
2,2,0,1,0,0,0,0,0,0,0,0,1
2,2,0,0,0,0,0,0,0,0,1,1,1
2,2,1,1,0,0,0,0,1,1,1,1,0
2,2,1,1,0,1,0,1,0,0,0,1,0
3,3,1,0,0,0,0,0,0,1,1,1,1
3,1,1,1,0,1,0,1,0,0,1,0,0
3,3,1,1,0,0,0,0,1,0,0,0,1
3,2,0,0,0,0,0,0,1,1,0,1,1
3,2,0,0,0,0,0,0,1,1,0,1,0
3,1,0,1,0,0,0,0,1,0,1,1,1
3,2,0,1,0,0,0,0,1,1,1,0,1
3,2,0,0,0,0,0,0,1,0,1,0,1
3,2,0,1,0,0,0,0,0,1,1,0,1
3,3,0,1,0,0,0,0,0,1,0,1,0
3,2,0,0,0,0,0,0,0,0,0,1,0
3,3,0,1,0,0,0,0,1,0,0,1,0
3,3,0,0,0,0,0,0,0,0,1,0,1
3,3,1,1,0,0,0,0,0,0,0,0,1
3,2,1,1,0,0,0,0,1,1,1,0,1
3,3,0,0,0,0,0,0,1,0,1,1,1
3,2,1,0,0,0,0,0,0,1,1,0,1
4,4,0,0,0,0,0,0,1,0,0,0,0
4,3,0,1,0,0,0,0,0,0,1,1,0
4,3,1,1,0,0,0,0,0,0,1,0,1
4,3,1,0,0,0,0,0,1,0,1,0,1
4,3,1,1,0,0,0,0,0,1,1,1,1
4,4,0,0,0,0,0,0,1,0,1,0,0
4,3,1,0,0,0,0,0,1,0,1,1,1
4,4,1,0,0,0,0,0,1,1,1,1,1
4,4,0,0,0,0,0,0,0,0,1,1,0
4,4,0,0,0,0,0,0,0,1,0,0,1
4,4,0,1,0,0,0,0,1,1,1,1,1
4,4,0,0,0,0,0,0,1,1,0,0,0
4,4,1,1,0,0,0,0,1,1,0,0,0
5,3,0,0,0,0,0,0,1,1,1,1,1
5,3,0,1,0,0,0,0,1,0,0,0,0
5,4,1,1,0,0,0,0,1,1,0,1,0
5,4,1,1,0,0,0,0,1,0,0,1,1
5,4,1,1,0,0,0,0,1,0,1,0,1
5,3,0,0,0,0,0,0,0,1,1,0,1
5,5,0,0,0,0,0,0,1,1,1,1,0
6,4,0,1,0,0,0,0,1,0,1,0,1
6,4,0,0,0,0,0,0,0,1,0,1,0
6,4,0,1,0,0,0,0,1,1,1,1,0
7,6,1,1,0,0,0,0,1,0,0,1,0
7,7,1,0,0,0,0,0,1,1,1,0,0
7,5,0,1,0,0,0,0,1,1,0,0,0
7,4,1,0,0,0,0,0,1,0,1,1,0
7,5,1,1,0,0,0,0,0,1,0,1,0
7,5,0,1,0,0,0,0,1,0,1,1,0
8,5,1,0,0,0,0,0,0,1,1,1,0
