metric,Pearson_with_same_date_duration_avg
same_date_duration_avg,1.0
ccp,0.2214522963681876
commit_days,0.19428322433262712
avg_coupling_code_size_cut,0.1928051909452431
refactor_mle,0.1548923323913495
negative_sentiment_rate,0.12127673934316331
pull_requests,0.11940172815936653
merged_prs,0.09565466207615213
message_length_avg,0.0880251927592355
multiline_message_ratio,0.0857986372185256
closed_issues,0.08481175826553648
positive_sentiment_rate,0.08458497752041655
authors,0.06514632567768294
commit_day_density,0.06421872008946829
non_corrective_message_length_avg,0.0614941362002043
files_created,0.059116578335300735
files_edited,0.059116578335300735
involved_developers,0.051062574311978914
involved_developers_capped_commits,0.04687429764580932
corrective_multiline_message_ratio,0.0413835098185698
commits,0.03847316096447643
involved_developers_commits,0.03702349766376255
merged_prs_per_involved_developer,0.036660745411256294
tests_presence,0.03438082358311372
cursing_rate,0.03169612635036075
merged_issues_per_developer,0.029586591505062328
merged_issues_per_involved_developer,0.023814430956165186
merged_prs_per_developer,0.019408162291548237
retention_prob,0.015730537080281885
reverted_ratio,0.011307112473411044
minutes_to_revert,0.004763422706451303
bug_prev_touch_ago,0.0024576104854730973
commit_period,0.00237910140652571
commits_per_developer,-0.00911779125350419
prev_touch_ago,-0.02349828009968798
onboarding_prob,-0.025118256189548164
capped_commits_per_involved_developer,-0.026034989408857095
one_file_fix_rate,-0.05588913272011406
one_file_refactor_rate,-0.09019269340567825
commits_per_day,-0.16282384371518893
