metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,License Type_code
commit_days,510,900,643,470,2523,0.56,0.39,0.46,0.44,0.14,0.52,0.42,0.31,0.51,0.1,-0.09,0.96,0.99,0.01,,9.0
commit_days,2370,2780,2147,2326,9623,0.54,0.49,0.47,0.52,0.08,0.5,0.44,0.35,0.5,0.07,0.05,1.0,1.0,0.0,,10.0
commit_hours,5862,12489,9739,6525,34615,0.53,0.36,0.45,0.38,0.05,0.47,0.44,0.26,0.51,0.03,-0.17,0.94,0.99,0.0,,-1.0
commit_hours,28216,68692,59648,28517,185073,0.52,0.31,0.47,0.32,0.05,0.5,0.46,0.24,0.51,0.03,-0.24,0.89,1.0,0.0,,0.0
commit_hours,131,240,179,173,723,0.51,0.42,0.43,0.42,0.01,0.43,0.43,0.27,0.51,0.0,-0.11,0.98,0.99,0.0,,1.0
commit_hours,3260,7139,5505,3500,19404,0.54,0.35,0.45,0.37,0.07,0.48,0.44,0.27,0.51,0.04,-0.18,0.93,0.99,0.0,,2.0
commit_hours,8191,31485,20042,12595,72313,0.55,0.29,0.39,0.29,0.01,0.39,0.39,0.2,0.55,0.0,-0.23,0.87,0.97,0.0,,3.0
commit_hours,7061,13679,9743,8232,38715,0.54,0.4,0.43,0.42,0.06,0.46,0.42,0.28,0.51,0.04,-0.11,0.97,0.99,0.0,,4.0
commit_hours,951,1458,878,1078,4365,0.55,0.46,0.42,0.52,0.12,0.47,0.38,0.33,0.51,0.09,0.03,1.0,0.98,0.01,,5.0
commit_hours,749,1283,828,882,3742,0.54,0.44,0.42,0.47,0.09,0.46,0.39,0.3,0.51,0.06,-0.04,0.99,0.98,0.0,,6.0
commit_hours,234,415,243,269,1161,0.56,0.43,0.41,0.49,0.13,0.47,0.37,0.31,0.51,0.09,-0.01,0.99,0.98,0.01,,7.0
commit_hours,32095,264485,219627,32222,548429,0.54,0.12,0.46,0.13,0.09,0.5,0.45,0.11,0.53,0.02,-0.39,0.52,1.0,0.0,,8.0
commit_hours,438,997,546,542,2523,0.57,0.39,0.39,0.45,0.15,0.45,0.35,0.29,0.52,0.08,-0.07,0.96,0.96,0.01,,9.0
commit_hours,2008,2954,1973,2688,9623,0.52,0.49,0.41,0.5,0.03,0.43,0.4,0.3,0.5,0.03,0.01,1.0,0.98,0.0,,10.0
commit_period,6762,10584,11644,5625,34615,0.5,0.36,0.53,0.37,0.03,0.55,0.52,0.28,0.49,0.02,-0.22,0.94,1.0,0.0,,-1.0
commit_period,35000,54406,73934,21733,185073,0.48,0.31,0.59,0.32,0.05,0.62,0.58,0.27,0.47,0.04,-0.3,0.89,0.98,0.0,,0.0
commit_period,185,196,223,119,723,0.53,0.42,0.56,0.45,0.08,0.61,0.53,0.35,0.49,0.08,-0.09,0.98,0.99,0.0,,1.0
commit_period,3743,5680,6964,3017,19404,0.49,0.35,0.55,0.35,0.0,0.55,0.55,0.27,0.48,0.0,-0.25,0.93,0.99,0.0,,2.0
commit_period,9684,25745,25782,11102,72313,0.49,0.29,0.49,0.27,-0.05,0.47,0.5,0.21,0.5,-0.03,-0.31,0.87,1.0,0.0,,3.0
commit_period,8528,10749,12673,6765,38715,0.5,0.4,0.55,0.4,0.02,0.56,0.54,0.3,0.49,0.02,-0.18,0.97,0.99,0.0,,4.0
commit_period,1097,1196,1140,932,4365,0.53,0.46,0.51,0.49,0.05,0.54,0.49,0.35,0.5,0.05,-0.02,1.0,1.0,0.0,,5.0
commit_period,868,1000,1111,763,3742,0.5,0.44,0.53,0.44,0.01,0.53,0.53,0.32,0.5,0.01,-0.12,0.99,1.0,0.0,,6.0
commit_period,266,299,359,237,1161,0.49,0.43,0.54,0.43,-0.02,0.53,0.55,0.31,0.49,-0.02,-0.14,0.99,1.0,0.0,,7.0
commit_period,36356,213221,270891,27961,548429,0.46,0.12,0.56,0.12,0.01,0.57,0.56,0.11,0.45,0.0,-0.48,0.52,0.99,0.0,,8.0
commit_period,557,761,782,423,2523,0.52,0.39,0.53,0.42,0.07,0.57,0.51,0.32,0.49,0.06,-0.15,0.96,1.0,0.0,,9.0
commit_period,2343,2582,2345,2353,9623,0.51,0.49,0.49,0.5,0.02,0.5,0.48,0.33,0.5,0.02,-0.0,1.0,1.0,0.0,,10.0
commits,6532,11725,10503,5855,34615,0.53,0.36,0.49,0.38,0.07,0.53,0.47,0.29,0.5,0.05,-0.18,0.94,1.0,0.0,,-1.0
commits,29916,64899,63441,26817,185073,0.51,0.31,0.5,0.32,0.05,0.53,0.49,0.25,0.5,0.03,-0.26,0.89,1.0,0.0,,0.0
commits,154,222,197,150,723,0.52,0.42,0.49,0.44,0.04,0.51,0.47,0.31,0.5,0.04,-0.1,0.98,1.0,0.0,,1.0
commits,3483,6650,5994,3277,19404,0.52,0.35,0.49,0.37,0.05,0.52,0.47,0.27,0.5,0.04,-0.2,0.93,1.0,0.0,,2.0
commits,9002,28083,23444,11784,72313,0.51,0.29,0.45,0.28,-0.03,0.43,0.45,0.2,0.52,-0.02,-0.28,0.87,0.99,0.0,,3.0
commits,7775,12705,10717,7518,38715,0.53,0.4,0.48,0.42,0.06,0.51,0.46,0.3,0.5,0.05,-0.13,0.97,1.0,0.0,,4.0
commits,1087,1361,975,942,4365,0.56,0.46,0.47,0.53,0.13,0.54,0.42,0.36,0.5,0.12,0.05,1.0,1.0,0.01,,5.0
commits,831,1184,927,800,3742,0.54,0.44,0.47,0.47,0.08,0.51,0.44,0.32,0.5,0.07,-0.05,0.99,1.0,0.0,,6.0
commits,251,395,263,252,1161,0.56,0.43,0.44,0.49,0.13,0.5,0.4,0.33,0.51,0.1,-0.02,0.99,0.99,0.01,,7.0
commits,34644,245467,238645,29673,548429,0.51,0.12,0.5,0.13,0.08,0.54,0.49,0.11,0.5,0.02,-0.42,0.52,1.0,0.0,,8.0
commits,511,900,643,469,2523,0.56,0.39,0.46,0.44,0.14,0.52,0.42,0.31,0.51,0.1,-0.09,0.96,0.99,0.01,,9.0
commits,2367,2796,2131,2329,9623,0.54,0.49,0.47,0.53,0.08,0.5,0.43,0.35,0.5,0.07,0.05,1.0,1.0,0.0,,10.0
files_edited,7001,12322,9906,5386,34615,0.56,0.36,0.49,0.41,0.16,0.57,0.45,0.31,0.5,0.11,-0.13,0.94,1.0,0.01,,-1.0
files_edited,31518,70810,57530,25215,185073,0.55,0.31,0.48,0.35,0.15,0.56,0.45,0.28,0.51,0.09,-0.2,0.89,1.0,0.01,,0.0
files_edited,162,238,181,142,723,0.55,0.42,0.47,0.47,0.12,0.53,0.43,0.33,0.5,0.1,-0.05,0.98,1.0,0.01,,1.0
files_edited,3648,6632,6012,3112,19404,0.53,0.35,0.5,0.38,0.08,0.54,0.48,0.29,0.5,0.06,-0.19,0.93,1.0,0.0,,2.0
files_edited,11238,27541,23986,9548,72313,0.54,0.29,0.49,0.32,0.11,0.54,0.47,0.25,0.51,0.06,-0.25,0.87,1.0,0.0,,3.0
files_edited,8169,12840,10582,7124,38715,0.54,0.4,0.48,0.44,0.1,0.53,0.45,0.32,0.5,0.08,-0.1,0.97,1.0,0.0,,4.0
files_edited,1135,1315,1021,894,4365,0.56,0.46,0.49,0.53,0.13,0.56,0.44,0.37,0.5,0.12,0.05,1.0,1.0,0.01,,5.0
files_edited,883,1154,957,748,3742,0.54,0.44,0.49,0.48,0.1,0.54,0.45,0.34,0.5,0.09,-0.04,0.99,1.0,0.01,,6.0
files_edited,306,375,283,197,1161,0.59,0.43,0.51,0.52,0.2,0.61,0.43,0.39,0.5,0.18,0.03,0.99,1.0,0.02,,7.0
files_edited,33910,285476,198636,30407,548429,0.58,0.12,0.42,0.15,0.24,0.53,0.41,0.13,0.56,0.04,-0.34,0.52,0.98,0.0,,8.0
files_edited,561,919,624,419,2523,0.59,0.39,0.47,0.47,0.22,0.57,0.4,0.35,0.51,0.16,-0.04,0.96,1.0,0.02,,9.0
files_edited,2397,2682,2245,2299,9623,0.53,0.49,0.48,0.52,0.06,0.51,0.46,0.35,0.5,0.05,0.03,1.0,1.0,0.0,,10.0
message_length_avg,7515,11067,11161,4872,34615,0.54,0.36,0.54,0.4,0.12,0.61,0.5,0.32,0.49,0.1,-0.16,0.94,1.0,0.01,,-1.0
message_length_avg,38706,58224,70116,18027,185073,0.52,0.31,0.59,0.36,0.16,0.68,0.55,0.31,0.47,0.12,-0.24,0.89,0.98,0.01,,0.0
message_length_avg,170,197,222,134,723,0.51,0.42,0.54,0.43,0.03,0.56,0.53,0.32,0.49,0.03,-0.12,0.98,0.99,0.0,,1.0
message_length_avg,3998,5876,6768,2762,19404,0.51,0.35,0.55,0.37,0.07,0.59,0.54,0.3,0.48,0.05,-0.22,0.93,0.99,0.0,,2.0
message_length_avg,12837,31947,19580,7949,72313,0.62,0.29,0.45,0.4,0.38,0.62,0.38,0.32,0.52,0.19,-0.13,0.87,0.99,0.03,,3.0
message_length_avg,9309,12368,11054,5984,38715,0.56,0.4,0.53,0.46,0.16,0.61,0.47,0.35,0.49,0.13,-0.07,0.97,1.0,0.01,,4.0
message_length_avg,1128,1318,1018,901,4365,0.56,0.46,0.49,0.53,0.13,0.56,0.44,0.37,0.5,0.12,0.05,1.0,1.0,0.01,,5.0
message_length_avg,894,1180,931,737,3742,0.55,0.44,0.49,0.49,0.12,0.55,0.44,0.35,0.5,0.11,-0.02,0.99,1.0,0.01,,6.0
message_length_avg,305,378,280,198,1161,0.59,0.43,0.5,0.52,0.2,0.61,0.43,0.39,0.5,0.18,0.04,0.99,1.0,0.02,,7.0
message_length_avg,40865,211871,272241,23452,548429,0.46,0.12,0.57,0.13,0.11,0.64,0.56,0.12,0.45,0.03,-0.48,0.52,0.99,0.0,,8.0
message_length_avg,600,790,753,380,2523,0.55,0.39,0.54,0.44,0.14,0.61,0.49,0.35,0.49,0.12,-0.1,0.96,1.0,0.01,,9.0
message_length_avg,2805,2318,2609,1891,9623,0.53,0.49,0.56,0.52,0.06,0.6,0.53,0.38,0.5,0.07,0.04,1.0,0.99,0.0,,10.0
same_date_duration_avg,5903,11095,11133,6484,34615,0.49,0.36,0.49,0.35,-0.03,0.48,0.5,0.25,0.5,-0.02,-0.24,0.94,1.0,0.0,,-1.0
same_date_duration_avg,25506,70361,57979,31227,185073,0.52,0.31,0.45,0.31,-0.0,0.45,0.45,0.22,0.52,-0.0,-0.25,0.89,0.99,0.0,,0.0
same_date_duration_avg,166,205,214,138,723,0.51,0.42,0.53,0.44,0.04,0.55,0.51,0.32,0.5,0.03,-0.11,0.98,1.0,0.0,,1.0
same_date_duration_avg,3215,6406,6238,3545,19404,0.5,0.35,0.49,0.34,-0.02,0.48,0.49,0.25,0.5,-0.02,-0.24,0.93,1.0,0.0,,2.0
same_date_duration_avg,8995,36360,15167,11791,72313,0.63,0.29,0.33,0.37,0.3,0.43,0.29,0.25,0.57,0.1,-0.12,0.87,0.92,0.01,,3.0
same_date_duration_avg,7436,11994,11428,7857,38715,0.5,0.4,0.49,0.39,-0.0,0.49,0.49,0.28,0.5,-0.0,-0.17,0.97,1.0,0.0,,4.0
same_date_duration_avg,957,1130,1206,1072,4365,0.48,0.46,0.5,0.44,-0.05,0.47,0.52,0.3,0.5,-0.04,-0.11,1.0,1.0,0.0,,5.0
same_date_duration_avg,763,957,1154,868,3742,0.46,0.44,0.51,0.4,-0.09,0.47,0.55,0.27,0.5,-0.08,-0.19,0.99,1.0,0.0,,6.0
same_date_duration_avg,245,321,337,258,1161,0.49,0.43,0.5,0.42,-0.03,0.49,0.51,0.29,0.5,-0.02,-0.14,0.99,1.0,0.0,,7.0
same_date_duration_avg,30251,241390,242722,34066,548429,0.5,0.12,0.5,0.11,-0.06,0.47,0.5,0.1,0.5,-0.01,-0.44,0.52,1.0,0.0,,8.0
same_date_duration_avg,497,715,828,483,2523,0.48,0.39,0.53,0.38,-0.03,0.51,0.54,0.27,0.49,-0.03,-0.21,0.96,1.0,0.0,,9.0
same_date_duration_avg,2274,2586,2341,2422,9623,0.51,0.49,0.48,0.49,0.01,0.48,0.48,0.32,0.5,0.01,-0.01,1.0,1.0,0.0,,10.0
