metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,License Type_code
ccp,5601,14693,7535,6786,34615,0.59,0.36,0.38,0.43,0.19,0.45,0.34,0.28,0.53,0.1,-0.09,0.94,0.96,0.01,,-1.0
ccp,21341,89103,39237,35392,185073,0.6,0.31,0.33,0.35,0.15,0.38,0.31,0.22,0.57,0.05,-0.14,0.89,0.91,0.0,,0.0
ccp,153,231,188,151,723,0.53,0.42,0.47,0.45,0.07,0.5,0.45,0.31,0.5,0.05,-0.08,0.98,1.0,0.0,,1.0
ccp,2872,8594,4050,3888,19404,0.59,0.35,0.36,0.41,0.19,0.42,0.32,0.27,0.54,0.09,-0.09,0.93,0.94,0.01,,2.0
ccp,10479,38090,13437,10307,72313,0.67,0.29,0.33,0.44,0.52,0.5,0.26,0.31,0.57,0.17,-0.06,0.87,0.92,0.04,,3.0
ccp,7211,14711,8711,8082,38715,0.57,0.4,0.41,0.45,0.15,0.47,0.37,0.3,0.52,0.09,-0.06,0.97,0.98,0.01,,4.0
ccp,1006,1196,1140,1023,4365,0.5,0.46,0.49,0.47,0.01,0.5,0.49,0.32,0.5,0.01,-0.06,1.0,1.0,0.0,,5.0
ccp,815,1209,902,816,3742,0.54,0.44,0.46,0.47,0.09,0.5,0.43,0.32,0.51,0.07,-0.04,0.99,1.0,0.0,,6.0
ccp,241,376,282,262,1161,0.53,0.43,0.45,0.46,0.06,0.48,0.43,0.31,0.51,0.05,-0.06,0.99,0.99,0.0,,7.0
ccp,21841,397218,86894,42476,548429,0.76,0.12,0.2,0.2,0.71,0.34,0.18,0.14,0.73,0.05,-0.13,0.52,0.72,0.01,,8.0
ccp,420,934,609,560,2523,0.54,0.39,0.41,0.41,0.05,0.43,0.39,0.26,0.52,0.03,-0.12,0.96,0.98,0.0,,9.0
ccp,2273,2782,2145,2423,9623,0.53,0.49,0.46,0.51,0.05,0.48,0.44,0.33,0.5,0.05,0.03,1.0,1.0,0.0,,10.0
commit_days,6533,11699,10529,5854,34615,0.53,0.36,0.49,0.38,0.07,0.53,0.47,0.29,0.5,0.05,-0.18,0.94,1.0,0.0,,-1.0
commit_days,29969,64729,63611,26764,185073,0.51,0.31,0.51,0.32,0.04,0.53,0.5,0.25,0.5,0.03,-0.26,0.89,1.0,0.0,,0.0
commit_days,154,221,198,150,723,0.52,0.42,0.49,0.44,0.04,0.51,0.47,0.31,0.5,0.03,-0.11,0.98,1.0,0.0,,1.0
commit_days,3513,6564,6080,3247,19404,0.52,0.35,0.49,0.37,0.05,0.52,0.48,0.27,0.5,0.04,-0.2,0.93,1.0,0.0,,2.0
commit_days,9018,28199,23328,11768,72313,0.51,0.29,0.45,0.28,-0.03,0.43,0.45,0.2,0.52,-0.01,-0.28,0.87,0.99,0.0,,3.0
commit_days,7715,12677,10745,7578,38715,0.53,0.4,0.48,0.42,0.06,0.5,0.46,0.3,0.5,0.04,-0.13,0.97,1.0,0.0,,4.0
commit_days,1086,1359,977,943,4365,0.56,0.46,0.47,0.53,0.13,0.54,0.42,0.36,0.5,0.12,0.05,1.0,1.0,0.01,,5.0
commit_days,829,1174,937,802,3742,0.54,0.44,0.47,0.47,0.08,0.51,0.44,0.32,0.5,0.06,-0.05,0.99,1.0,0.0,,6.0
commit_days,252,396,262,251,1161,0.56,0.43,0.44,0.49,0.13,0.5,0.4,0.33,0.51,0.1,-0.02,0.99,0.99,0.01,,7.0
commit_days,34678,245112,239000,29639,548429,0.51,0.12,0.5,0.13,0.08,0.54,0.49,0.11,0.5,0.02,-0.42,0.52,1.0,0.0,,8.0
