metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,popularity_group_code
ccp,11593,64961,18124,13560,108238,0.71,0.23,0.27,0.39,0.68,0.46,0.22,0.27,0.62,0.14,-0.08,0.78,0.85,0.04,,0.0
ccp,27347,345584,75044,49150,497125,0.75,0.15,0.21,0.27,0.74,0.36,0.18,0.18,0.7,0.07,-0.11,0.62,0.73,0.02,,1.0
ccp,15009,98005,30681,21377,165072,0.68,0.22,0.28,0.33,0.49,0.41,0.24,0.22,0.62,0.1,-0.12,0.76,0.85,0.02,,2.0
ccp,8791,21738,13406,10954,54889,0.56,0.36,0.4,0.4,0.1,0.45,0.38,0.27,0.53,0.06,-0.13,0.94,0.97,0.0,,3.0
commit_days,11624,41992,41093,13529,108238,0.5,0.23,0.49,0.22,-0.05,0.46,0.49,0.18,0.51,-0.02,-0.35,0.78,1.0,0.0,,0.0
commit_days,40350,209903,210725,36147,497125,0.5,0.15,0.51,0.16,0.04,0.53,0.5,0.14,0.5,0.01,-0.41,0.62,1.0,0.0,,1.0
commit_days,19194,66710,61976,17192,165072,0.52,0.22,0.49,0.24,0.07,0.53,0.48,0.2,0.5,0.03,-0.33,0.76,1.0,0.0,,2.0
commit_days,10080,19224,15920,9665,54889,0.53,0.36,0.47,0.39,0.08,0.51,0.45,0.28,0.51,0.05,-0.17,0.94,1.0,0.0,,3.0
commit_hours,10695,45573,37512,14458,108238,0.52,0.23,0.45,0.22,-0.05,0.43,0.45,0.17,0.53,-0.02,-0.32,0.78,0.99,0.0,,0.0
commit_hours,37250,224658,195970,39247,497125,0.53,0.15,0.47,0.16,0.04,0.49,0.47,0.14,0.52,0.01,-0.38,0.62,1.0,0.0,,1.0
commit_hours,17660,71411,57275,18726,165072,0.54,0.22,0.45,0.24,0.07,0.49,0.45,0.19,0.53,0.03,-0.31,0.76,0.99,0.0,,2.0
commit_hours,9268,20568,14576,10477,54889,0.54,0.36,0.43,0.39,0.08,0.47,0.41,0.27,0.52,0.05,-0.15,0.94,0.99,0.0,,3.0
commit_period,12801,36724,46361,12352,108238,0.46,0.23,0.55,0.22,-0.07,0.51,0.56,0.18,0.48,-0.04,-0.4,0.78,0.99,0.0,,0.0
commit_period,43891,180034,240594,32606,497125,0.45,0.15,0.57,0.15,0.0,0.57,0.57,0.14,0.45,0.0,-0.47,0.62,0.98,0.0,,1.0
commit_period,20174,57915,70771,16212,165072,0.47,0.22,0.55,0.22,0.01,0.55,0.55,0.19,0.47,0.0,-0.39,0.76,0.99,0.0,,2.0
commit_period,10853,15933,19211,8892,54889,0.49,0.36,0.55,0.36,0.0,0.55,0.55,0.28,0.49,0.0,-0.24,0.94,0.99,0.0,,3.0
commits,11615,42057,41028,13538,108238,0.5,0.23,0.49,0.22,-0.05,0.46,0.49,0.18,0.51,-0.02,-0.35,0.78,1.0,0.0,,0.0
commits,40326,210232,210396,36171,497125,0.5,0.15,0.5,0.16,0.05,0.53,0.5,0.14,0.5,0.01,-0.4,0.62,1.0,0.0,,1.0
commits,19180,66885,61801,17206,165072,0.52,0.22,0.49,0.24,0.07,0.53,0.48,0.2,0.51,0.03,-0.33,0.76,1.0,0.0,,2.0
commits,10081,19222,15922,9664,54889,0.53,0.36,0.47,0.39,0.08,0.51,0.45,0.28,0.51,0.05,-0.17,0.94,1.0,0.0,,3.0
files_edited,12774,46557,36528,12379,108238,0.55,0.23,0.46,0.26,0.11,0.51,0.44,0.21,0.52,0.05,-0.29,0.78,0.99,0.0,,0.0
files_edited,41591,240949,179679,34906,497125,0.57,0.15,0.45,0.19,0.22,0.54,0.43,0.16,0.54,0.06,-0.33,0.62,0.99,0.01,,1.0
files_edited,20255,72135,56551,16131,165072,0.56,0.22,0.47,0.26,0.2,0.56,0.44,0.22,0.52,0.08,-0.28,0.76,1.0,0.01,,2.0
files_edited,11126,19509,15635,8619,54889,0.56,0.36,0.49,0.42,0.16,0.56,0.44,0.31,0.5,0.11,-0.13,0.94,1.0,0.01,,3.0
message_length_avg,15784,41015,42070,9369,108238,0.52,0.23,0.53,0.27,0.17,0.63,0.51,0.23,0.48,0.09,-0.32,0.78,1.0,0.01,,0.0
message_length_avg,50390,188066,232562,26107,497125,0.48,0.15,0.57,0.18,0.16,0.66,0.55,0.16,0.45,0.06,-0.43,0.62,0.99,0.0,,1.0
message_length_avg,22901,58689,69997,13485,165072,0.49,0.22,0.56,0.25,0.12,0.63,0.54,0.22,0.46,0.06,-0.37,0.76,0.99,0.0,,2.0
message_length_avg,12366,16589,18555,7379,54889,0.53,0.36,0.56,0.4,0.11,0.63,0.53,0.32,0.48,0.09,-0.18,0.94,0.99,0.01,,3.0
same_date_duration_avg,11345,49141,33944,13808,108238,0.56,0.23,0.42,0.25,0.08,0.45,0.41,0.19,0.54,0.03,-0.27,0.78,0.98,0.0,,0.0
same_date_duration_avg,36286,222390,198238,40211,497125,0.52,0.15,0.47,0.15,0.01,0.47,0.47,0.13,0.52,0.0,-0.39,0.62,1.0,0.0,,1.0
same_date_duration_avg,17581,64479,64207,18805,165072,0.5,0.22,0.5,0.21,-0.02,0.48,0.5,0.17,0.5,-0.01,-0.36,0.76,1.0,0.0,,2.0
same_date_duration_avg,9574,17099,18045,10171,54889,0.49,0.36,0.5,0.35,-0.04,0.48,0.51,0.25,0.5,-0.03,-0.24,0.94,1.0,0.0,,3.0
