affiliation,cases,developers,ccp,avg_coupling_code_size_cut,tests_presence,multiline_message_ratio,message_length_avg_ratio,same_date_duration_avg,files_edited,refactor_mle,commit_days,one_file_fix_rate,one_file_refactor_rate
other,39575,39575,0.12893164299936447,1.2286463100225595,0.13864669677912023,0.94385415607837431,134.45475427018158,101.43409549762255,3405.1158812381527,0.15931579001888951,307.04341124447262,0.39365164364874794,0.3115150408047716
Google,1677,1677,0.24633851972756063,1.3067423537819476,0.23899987250698987,0.96438782073838869,238.68705042749104,169.21759450351735,3472.8694096601066,0.22542186590030308,308.81216457960642,0.35644717199990633,0.27799763278993478
redhat.com,657,657,0.14361959073427297,1.2158974385191448,0.17980234519657959,0.98520514617793431,246.88521449332032,100.82255404166743,3006.8006088280063,0.24163177448613501,359.14003044140037,0.45059715237086989,0.37296349488628783
apache.org,366,366,0.14792194664401623,1.3973021982044587,0.24836512215268114,0.98559152518225512,172.31221673949176,127.66006172967876,3167.1147540983611,0.17769580958078315,403.16939890710387,0.37390240416173426,0.30322754304688615
microsoft.com,320,320,0.1687838765705309,1.3440465981317185,0.28208658229341543,0.96060875888216934,118.25131595637774,152.3302342334477,9167.625,0.14506407863159698,293.63124999999997,0.32434967976734963,0.24396369512964097
fb.com,200,200,0.17562048576972997,1.0553025116050305,0.29624741328376109,0.996109256758101,366.04029890931588,198.06823230454066,1673.2400000000002,0.34165218166164307,265.555,0.3407703866994391,0.28264344397586866
intel.com,122,122,0.11134493869181039,1.3828323607802959,0.11095483946852201,0.99023101926918966,464.10913566347693,92.343456099612467,4323.0819672131147,0.39177405098411827,290.0409836065574,0.546589295664371,0.44986770466060971
apple.com,90,90,0.2407204180048115,1.4729898117616704,0.36950688496124012,0.98378693675404094,201.76322852568163,198.29969263565076,2584.411111111111,0.27174443147512528,424.86666666666667,0.44358821915464275,0.38765120940916148
us.ibm.com,62,62,0.079220556632947692,1.3020048458183684,0.22246951610110577,0.93518656489267338,209.08660926416843,162.507602973698,8107.5483870967746,0.15652578416733551,284.83870967741933,0.34454375733341763,0.26814095163248991
amazon.com,52,52,0.091730698242749764,1.6150406043772796,0.17905323582615426,0.99150104507992676,109.82306462738264,171.78072293384236,5085.2692307692305,0.13276161515627077,289.11538461538464,0.33309635343443339,0.25040278599925042
inria.fr,38,38,0.13026263921795544,0.8149556458465731,0.15293494620525633,0.97657877148419736,93.945184911075032,86.351536638859031,4109.1842105263158,0.19900259580979379,475.31578947368422,0.25248050851119969,0.17811877181804042
mit.edu,32,32,0.14445969557725033,1.2189557351664178,0.16753818033627171,0.97657871631334836,102.41835369273925,121.10089983027461,1805.78125,0.15763281715649977,306.56249999999994,0.4043396803838688,0.31024473501583855
cornell.edu,29,29,0.071772099616013565,1.3388822817888246,0.084813911516053483,0.94658217465241035,79.5641063155177,94.9416386402561,2771.8275862068967,0.152609744462426,346.10344827586204,0.47856027056988271,0.434589451671143
umich.edu,28,28,0.12316281231607276,1.1600125792089324,0.15765417004338533,0.978469547058265,70.162711891769931,105.0719372937959,3157.1785714285711,0.13878319235886211,355.75,0.351362727754611,0.27193044398371063
stanford.edu,28,28,0.088667449983682048,1.3397707932639966,0.15789826817748209,0.97693346672400116,87.710084816668683,129.12949272343681,1787.8214285714287,0.11112157344124747,314.28571428571433,0.385732471415511,0.31073244652858362
