metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,License Type_code
commit_period,989,927,990,836,3742,0.51,0.49,0.53,0.5,0.02,0.54,0.52,0.35,0.5,0.03,-0.0,1.0,1.0,0.0,,6.0
commit_period,332,283,293,253,1161,0.53,0.5,0.54,0.53,0.05,0.57,0.51,0.38,0.5,0.06,0.05,1.0,1.0,0.0,,7.0
commit_period,188069,116145,119178,125037,548429,0.55,0.57,0.56,0.61,0.07,0.6,0.51,0.44,0.51,0.09,-0.03,0.99,0.99,0.01,,8.0
commit_period,751,582,588,602,2523,0.53,0.54,0.53,0.56,0.05,0.56,0.5,0.39,0.5,0.05,-0.01,1.0,1.0,0.0,,9.0
commit_period,2630,2151,2058,2784,9623,0.5,0.56,0.49,0.56,-0.0,0.49,0.49,0.35,0.5,-0.0,-0.12,0.99,1.0,0.0,,10.0
commits,9383,8287,7652,9293,34615,0.51,0.54,0.49,0.55,0.02,0.5,0.48,0.36,0.5,0.02,-0.05,1.0,1.0,0.0,,-1.0
commits,56583,39477,36774,52239,185073,0.52,0.59,0.5,0.61,0.03,0.52,0.48,0.39,0.5,0.04,-0.12,0.98,1.0,0.0,,0.0
commits,205,185,146,187,723,0.54,0.54,0.49,0.58,0.08,0.52,0.44,0.38,0.5,0.08,-0.01,0.99,1.0,0.0,,1.0
commits,5446,4607,4031,5320,19404,0.52,0.55,0.49,0.57,0.04,0.51,0.47,0.37,0.5,0.04,-0.07,0.99,1.0,0.0,,2.0
commits,13190,20640,19256,19227,72313,0.47,0.45,0.45,0.41,-0.09,0.41,0.48,0.26,0.51,-0.07,-0.15,0.99,0.99,0.0,,3.0
commits,9503,9363,8989,10860,38715,0.49,0.53,0.48,0.51,-0.02,0.47,0.49,0.32,0.5,-0.02,-0.07,1.0,1.0,0.0,,4.0
commits,1011,1168,1051,1135,4365,0.5,0.49,0.47,0.49,-0.0,0.47,0.47,0.32,0.5,-0.0,-0.02,1.0,1.0,0.0,,5.0
commits,845,1004,913,980,3742,0.49,0.49,0.47,0.48,-0.01,0.46,0.48,0.31,0.5,-0.01,-0.04,1.0,1.0,0.0,,6.0
commits,277,339,237,308,1161,0.53,0.5,0.44,0.54,0.07,0.47,0.41,0.34,0.5,0.06,0.05,1.0,0.99,0.0,,7.0
commits,160880,122914,112409,152226,548429,0.52,0.57,0.5,0.59,0.03,0.51,0.48,0.38,0.5,0.04,-0.09,0.99,1.0,0.0,,8.0
commits,603,619,551,750,2523,0.48,0.54,0.46,0.52,-0.03,0.45,0.47,0.32,0.5,-0.03,-0.1,1.0,0.99,0.0,,9.0
commits,2368,2079,2130,3046,9623,0.46,0.56,0.47,0.53,-0.06,0.44,0.51,0.31,0.5,-0.07,-0.18,0.99,1.0,0.0,,10.0
files_edited,9593,8625,7314,9083,34615,0.53,0.54,0.49,0.57,0.05,0.51,0.46,0.37,0.5,0.05,-0.02,1.0,1.0,0.0,,-1.0
files_edited,55272,42475,33776,53550,185073,0.53,0.59,0.48,0.62,0.06,0.51,0.44,0.39,0.5,0.06,-0.1,0.98,1.0,0.0,,0.0
