Metric,Low,Medium,High,monotone
multiline_message_ratio,1.0031835731940189,1.0033564541311675,1.0,False
cursing_rate,0.6775889244359903,0.7561550840319574,1.0,False
reverted_ratio,0.8822840140034361,0.9115256759608439,1.0,False
commit_period,0.9943620420673591,1.1248109898553047,1.0,False
message_length_avg,1.2491977567829518,1.346400264046671,1.0,False
same_date_duration_avg,0.9873687863782443,1.0295198141448074,1.0,False
negative_sentiment_rate,1.1318751479190923,1.1871335931215992,1.0,False
one_file_refactor_rate,1.0794115562802824,1.0505773741600177,1.0,True
files_edited,0.8781766899414816,1.266566109390525,1.0,False
commits,1.0438530951619434,1.6461861497248227,1.0,False
commit_day_density,1.5128007334770388,1.5419312748796572,1.0,False
prev_touch_ago,0.6657153572511042,0.8325381905086806,1.0,False
files_created,0.8781766899414816,1.266566109390525,1.0,False
one_file_fix_rate,1.0752646924546219,1.0638413081559193,1.0,True
commits_per_day,1.0349455513846095,1.051959453825307,1.0,False
corrective_multiline_message_ratio,1.0099581600528729,1.0053912537732763,1.0,False
refactor_mle,0.9494098229942723,0.9936595092436111,1.0,True
positive_sentiment_rate,1.3417493341953324,1.249698944408686,1.0,False
tests_presence,1.4937314311581724,1.3134299037114192,1.0,False
commit_days,1.2174382358561335,1.5435207117275944,1.0,False
avg_coupling_code_size_cut,0.9411056623379276,0.9872234125233477,1.0,False
ccp,1.2639677468631239,1.245580793738668,1.0,True
authors,7.6664070103794915,4.608225908411282,1.0,False
involved_developers_capped_commits,0.9279590863146453,1.4878074245589998,1.0,False
involved_developers,1.3816030888670114,2.03601281819933,1.0,False
onboarding_prob,0.2465966551500339,0.4856790938888471,1.0,True
retention_prob,0.12180745461262628,0.3966488564211438,1.0,True
