cases,developers,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
202,193,0,1,0,0,0,1,1,0,0,1,0
714,666,1,1,0,0,0,1,1,0,1,0,0
516,493,1,1,0,0,0,1,1,0,1,1,1
981,929,1,0,0,0,0,1,0,0,1,1,0
678,646,1,0,0,0,0,1,0,1,1,1,0
1034,826,0,1,0,0,0,1,1,1,0,0,0
37,24,1,1,0,1,0,1,1,1,1,0,0
39,19,1,1,0,1,0,1,1,1,0,1,0
434,392,0,1,0,0,0,1,1,1,0,1,1
167,164,1,0,0,0,0,1,1,1,0,1,1
188,177,0,0,0,0,0,1,0,0,0,1,1
349,324,0,1,0,0,0,1,0,1,1,1,1
515,507,1,0,0,0,0,1,1,1,1,0,0
721,689,0,0,0,0,0,1,0,0,0,1,0
599,571,0,1,0,0,0,1,0,0,1,1,0
323,310,0,1,0,0,0,1,1,0,1,1,1
972,922,1,1,0,0,0,1,0,0,0,1,0
469,455,1,0,0,0,0,1,1,0,0,0,0
2687,2528,1,1,0,0,0,1,0,0,0,0,0
387,369,1,0,0,0,0,1,1,1,0,0,0
325,315,1,0,0,0,0,1,1,0,1,1,1
1660,1588,1,0,0,0,0,1,0,1,0,0,0
181,176,1,0,0,0,0,1,0,1,1,0,1
2750,2414,0,1,0,0,0,1,0,1,0,0,0
368,325,0,1,0,0,0,1,1,1,0,1,0
620,590,0,0,0,0,0,1,1,1,1,1,1
910,787,1,1,0,0,0,1,1,1,1,0,0
2725,2555,0,0,0,0,0,1,0,0,1,0,0
827,713,1,1,0,0,0,1,1,1,0,0,0
419,398,1,1,0,0,0,1,1,0,1,1,0
299,291,1,0,0,0,0,1,1,0,0,1,0
185,183,1,0,0,0,0,1,1,0,0,0,1
468,445,0,0,0,0,0,1,1,0,0,0,0
481,464,1,1,0,0,0,1,1,1,1,0,1
693,657,0,1,0,0,0,1,0,1,0,1,0
230,219,0,1,0,0,0,1,1,0,0,0,1
2318,2137,1,1,0,0,0,1,0,1,0,0,0
2503,2340,1,0,0,0,0,1,0,0,1,0,0
234,224,1,1,0,0,0,1,0,1,1,0,1
241,235,1,0,0,0,0,1,1,0,1,0,1
953,890,0,1,0,0,0,1,0,1,1,1,0
219,211,1,0,0,0,0,1,1,0,0,1,1
622,594,0,0,0,0,0,1,1,1,1,0,1
222,214,1,0,0,0,0,1,0,0,1,1,1
273,249,0,0,0,0,0,1,0,0,1,0,1
108,103,1,0,0,0,0,1,0,1,0,1,1
481,453,1,1,0,0,0,1,1,0,0,1,0
300,274,1,0,0,0,0,1,1,0,1,1,0
405,377,1,1,0,0,0,1,1,0,0,1,1
527,496,1,1,0,0,0,1,1,1,1,1,1
262,254,1,0,0,0,0,1,1,1,1,1,0
57,23,1,1,0,1,0,1,1,1,0,1,1
40,16,1,1,0,1,0,1,1,1,0,0,1
493,449,0,1,0,0,0,1,1,1,1,1,0
176,170,1,1,0,0,0,1,0,1,0,0,1
672,636,0,1,0,0,0,1,1,1,1,0,1
144,141,0,1,0,0,0,1,0,0,0,1,1
4483,4046,0,0,0,0,0,1,0,1,1,0,0
499,474,0,1,0,0,0,1,1,0,0,0,0
1225,948,0,1,0,0,0,1,1,1,1,0,0
206,192,1,0,0,0,0,1,0,0,1,0,1
206,202,1,1,0,0,0,1,0,0,0,1,1
558,542,0,0,0,0,0,1,1,0,1,0,0
460,440,0,1,0,0,0,1,0,1,1,0,1
353,326,1,1,0,0,0,1,1,1,0,1,1
2575,2386,1,1,0,0,0,1,0,0,1,0,0
34,32,1,1,0,1,0,1,0,1,1,0,0
2221,2089,0,0,0,0,0,1,0,0,0,0,0
511,485,0,1,0,0,0,1,0,0,0,1,0
308,289,1,1,0,0,0,1,1,1,0,0,1
302,294,0,0,0,0,0,1,1,0,1,0,1
371,361,1,1,0,0,0,1,1,0,1,0,1
2395,2269,1,0,0,0,0,1,0,0,0,0,0
391,380,0,0,0,0,0,1,0,1,1,1,1
160,154,1,0,0,0,0,1,1,1,0,0,1
212,204,0,1,0,0,0,1,0,0,1,0,1
645,605,0,1,0,0,0,1,1,1,1,1,1
308,300,0,0,0,0,0,1,1,1,0,1,1
1,1,0,0,0,0,0,0,1,1,1,0,1
1,1,1,1,0,0,0,0,0,1,1,1,1
1,1,1,0,0,0,0,0,1,1,1,1,0
1,1,0,0,0,0,0,0,1,0,1,0,1
1,1,1,1,0,0,0,0,0,0,1,0,1
1,1,1,1,0,0,0,0,1,1,0,1,0
1,1,1,0,0,0,0,0,1,0,1,1,0
1,1,0,0,0,0,0,0,1,1,0,1,0
1,1,0,1,0,0,0,0,1,1,1,1,1
1,1,0,1,0,0,0,0,1,1,0,1,1
1,1,1,0,0,0,0,0,1,1,0,1,1
1,1,0,1,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,1,0,0,0,1
1,1,1,0,0,0,0,0,1,1,0,0,1
1,1,1,0,0,0,0,0,1,0,0,0,0
1,1,1,1,0,0,0,0,1,1,1,0,1
1,1,1,0,0,0,0,0,1,0,0,1,0
1,1,1,1,0,0,0,0,1,1,1,1,0
1,1,1,0,0,0,0,0,1,0,1,1,1
1,1,0,0,0,0,0,0,0,0,1,1,1
1,1,0,1,0,0,0,0,0,0,1,0,1
1,1,1,1,0,0,0,0,1,0,0,0,1
1,1,0,1,0,0,0,0,1,0,1,1,1
1,1,1,1,0,0,0,0,1,0,1,1,1
1,1,1,1,0,0,0,0,0,0,1,1,1
1,1,1,0,0,0,0,0,0,0,1,1,1
1,1,1,1,0,0,0,0,1,0,0,1,1
1,1,1,1,0,0,0,0,1,1,0,1,1
1,1,1,1,0,0,0,0,0,1,0,0,1
1,1,1,0,0,0,0,0,0,1,1,1,1
1,1,0,1,0,0,0,0,1,0,0,1,0
1,1,0,1,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,1,0,1,1,1
1,1,0,0,0,0,0,0,1,1,0,1,1
1,1,0,1,0,0,0,0,1,0,1,0,1
2,2,1,0,0,0,0,0,1,1,1,0,1
2,2,0,1,0,0,0,0,1,1,0,0,1
2,2,1,0,0,0,0,0,1,1,0,1,0
2,2,1,0,0,0,0,0,1,1,1,1,1
2,2,0,0,0,0,0,0,0,0,0,0,1
2,2,1,1,0,0,0,0,1,1,1,1,1
2,2,1,1,0,0,0,0,0,0,0,1,0
2,2,0,1,0,0,0,0,1,1,1,1,0
2,2,1,0,0,0,0,0,1,0,1,0,1
2,2,0,1,0,0,0,0,0,1,1,1,1
2,2,0,1,0,0,0,0,1,1,0,1,0
2,2,0,1,0,0,0,0,1,0,0,0,0
2,2,0,1,0,0,0,0,0,1,0,1,0
2,2,1,0,0,0,0,0,0,1,1,0,1
2,2,0,0,0,0,0,0,0,1,1,0,1
2,2,1,1,0,0,0,0,1,0,0,1,0
2,2,1,1,0,1,0,1,0,1,1,1,1
3,3,0,1,0,0,0,0,0,0,0,1,0
3,3,1,0,0,0,0,0,0,0,1,1,0
3,3,1,1,0,0,0,0,1,1,0,0,1
3,3,1,0,0,0,0,0,1,1,1,0,0
3,3,0,1,0,0,0,0,1,1,0,0,0
3,3,0,1,0,0,0,0,0,0,1,1,0
3,3,1,0,0,0,0,0,0,1,1,1,0
3,3,0,1,0,0,0,0,1,1,1,0,1
3,3,0,0,0,0,0,0,1,1,1,1,1
3,3,1,1,0,0,0,0,1,0,1,0,1
3,3,0,1,0,0,0,0,0,1,1,0,1
3,3,0,0,0,0,0,0,1,0,1,1,0
3,3,0,0,0,0,0,0,1,0,0,0,0
3,3,1,1,0,0,0,0,1,1,1,0,0
3,3,1,1,0,0,0,0,0,1,1,0,1
4,4,0,0,0,0,0,0,1,1,1,1,0
4,4,1,1,0,0,0,0,0,1,1,1,0
4,4,0,0,0,0,0,0,0,0,0,1,0
5,4,1,1,0,0,0,0,0,0,1,0,0
5,4,0,0,0,0,0,0,1,1,0,0,0
4,4,0,0,0,0,0,0,1,0,1,0,0
4,4,1,1,0,0,0,0,0,1,0,1,0
4,4,1,1,0,0,0,0,1,1,0,0,0
4,4,1,0,0,0,0,0,1,0,1,0,0
4,4,1,0,0,0,0,0,0,0,0,1,0
5,5,0,0,0,0,0,0,0,1,0,1,0
5,5,0,0,0,0,0,0,0,0,1,1,0
5,5,1,1,0,0,0,0,1,0,1,0,0
5,5,0,0,0,0,0,0,0,1,1,1,0
5,5,1,1,0,1,0,1,0,1,1,0,1
6,6,1,1,0,0,0,0,0,0,1,1,0
6,6,0,1,0,0,0,0,1,0,1,0,0
6,6,1,1,0,0,0,0,1,0,0,0,0
6,6,0,1,0,0,0,0,0,1,1,1,0
7,7,0,0,0,0,0,0,0,1,1,1,1
7,7,0,1,0,0,0,0,0,0,0,0,0
18,7,1,1,0,1,0,1,0,1,0,1,1
7,7,1,0,0,0,0,0,0,1,0,1,0
8,8,0,0,0,0,0,0,1,1,1,0,0
24,8,1,1,0,1,0,1,0,1,0,0,1
10,9,1,1,0,1,0,1,1,1,1,0,1
11,10,1,1,0,1,0,1,1,1,1,1,1
10,10,0,1,0,0,0,0,1,1,1,0,0
11,10,1,0,0,0,0,0,0,0,1,0,0
15,11,1,1,0,1,0,1,0,1,1,1,0
11,11,0,1,0,0,0,0,0,1,0,0,0
11,11,0,0,0,0,0,0,0,1,0,0,0
11,11,0,1,0,0,0,0,0,0,1,0,0
12,12,1,0,0,0,0,0,0,0,0,0,0
12,12,1,0,0,0,0,0,0,1,0,0,0
13,13,1,1,0,0,0,0,0,1,1,0,0
13,13,0,0,0,0,0,0,0,0,0,0,0
15,15,0,0,0,0,0,0,0,0,1,0,0
15,15,1,1,0,0,0,0,0,1,0,0,0
25,15,1,1,0,1,0,1,0,1,0,1,0
17,17,1,1,0,0,0,0,0,0,0,0,0
18,17,1,0,0,0,0,0,0,1,1,0,0
19,17,1,1,0,1,0,1,1,1,1,1,0
131,130,0,0,0,0,0,1,0,0,0,0,1
145,138,0,1,0,0,0,1,0,0,0,0,1
182,178,1,0,0,0,0,1,0,1,1,1,1
205,184,1,1,0,0,0,1,0,1,0,1,1
189,184,0,1,0,0,0,1,0,0,1,1,1
213,206,0,0,0,0,0,1,1,0,0,0,1
230,209,0,1,0,0,0,1,0,1,0,0,1
228,209,0,0,0,0,0,1,0,1,0,0,1
237,209,1,1,0,0,0,1,0,1,1,1,1
232,230,1,1,0,0,0,1,0,0,1,1,1
240,230,1,1,0,0,0,1,0,0,1,0,1
213,207,1,0,1,0,0,1,0,1,0,1,0
599,528,0,1,1,0,0,1,0,1,0,0,0
127,119,1,1,1,0,1,1,1,1,0,1,0
43,29,1,1,1,1,0,1,1,1,0,0,0
315,302,0,0,1,0,0,1,0,0,0,1,0
263,256,1,0,1,0,0,1,0,0,1,0,0
61,36,1,1,1,1,0,1,1,1,0,0,1
365,356,0,1,1,0,0,1,0,0,0,0,0
380,375,1,0,1,0,1,1,0,0,0,0,0
74,74,1,0,1,0,1,1,1,1,0,1,0
143,140,0,1,1,0,1,1,0,0,1,1,1
129,120,1,1,1,0,1,1,0,1,0,1,1
590,554,1,1,1,0,0,1,0,1,0,0,1
290,279,1,1,1,0,1,1,1,0,0,0,1
502,481,1,0,1,0,0,1,0,0,0,0,0
2197,2035,0,0,1,0,0,1,1,0,0,1,1
1661,1561,0,1,1,0,0,1,1,1,1,0,1
228,220,1,0,1,0,1,1,1,0,0,1,1
155,149,0,0,1,0,1,1,0,0,1,1,0
378,330,1,1,1,0,0,1,1,1,0,0,0
71,68,1,0,1,0,1,1,1,0,1,1,0
154,135,1,1,1,0,1,1,1,1,1,0,0
278,264,1,1,1,0,1,1,1,1,0,0,1
405,385,0,0,1,0,0,1,0,0,1,0,1
754,703,0,1,1,0,0,1,0,1,0,0,1
203,195,0,0,1,0,1,1,0,0,0,1,0
367,324,1,1,1,0,0,1,1,0,0,1,0
1809,1694,0,1,1,0,0,1,1,0,1,1,1
103,92,1,0,1,0,1,1,0,1,1,1,1
402,388,0,0,1,0,0,1,0,1,1,0,0
1078,1025,1,1,1,0,0,1,0,0,0,1,1
457,442,1,0,1,0,0,1,0,0,1,1,1
450,435,1,0,1,0,0,1,0,1,0,1,1
458,443,0,0,1,0,1,1,1,1,1,1,1
1251,1191,1,0,1,0,0,1,1,1,1,1,1
91,91,1,0,1,0,1,1,0,1,0,1,1
273,263,0,0,1,0,1,1,1,0,1,1,1
731,697,1,1,1,0,0,1,0,0,0,0,1
628,591,0,1,1,0,0,1,0,1,1,0,1
417,393,0,0,1,0,1,1,0,1,1,0,0
344,337,1,1,1,0,1,1,1,0,1,1,1
939,876,0,0,1,0,0,1,0,1,0,1,1
165,162,0,0,1,0,1,1,0,1,0,0,1
206,203,1,0,1,0,1,1,1,1,1,1,1
43,20,1,1,1,1,0,1,0,1,0,1,1
249,239,1,1,1,0,1,1,0,1,1,0,0
106,103,1,1,1,0,1,1,1,1,1,1,0
82,81,1,0,1,0,0,1,1,1,1,1,0
369,360,1,0,1,0,0,1,0,1,1,1,1
267,259,0,0,1,0,0,1,0,1,1,1,0
262,253,1,0,1,0,1,1,0,0,1,0,0
264,244,0,0,1,0,0,1,0,0,1,0,0
4275,3784,0,1,1,0,0,1,1,1,0,1,1
153,144,1,1,1,0,0,1,1,1,1,1,0
85,81,0,0,1,0,0,1,1,0,1,1,0
823,729,1,1,1,0,0,1,0,1,0,1,1
996,887,0,1,1,0,0,1,0,1,0,1,1
126,124,0,0,1,0,1,1,0,0,0,1,1
287,266,1,1,1,0,0,1,0,1,1,0,0
339,308,0,1,1,0,1,1,0,1,1,0,0
183,174,0,1,1,0,1,1,0,1,1,1,0
583,505,1,1,1,0,0,1,0,1,1,1,1
114,113,1,0,1,0,0,1,0,1,1,1,0
232,231,1,0,1,0,1,1,0,1,0,0,0
181,173,1,0,1,0,1,1,0,0,1,1,0
153,149,1,0,1,0,1,1,1,1,1,0,1
182,176,0,0,1,0,1,1,0,1,0,1,1
282,279,0,1,1,0,1,1,1,0,1,1,1
476,459,1,1,1,0,0,1,0,0,0,1,0
400,382,1,1,1,0,1,1,1,0,0,1,1
1104,1037,1,1,1,0,0,1,1,1,1,0,1
780,742,0,0,1,0,0,1,1,0,1,0,1
1150,1093,1,1,1,0,0,1,1,0,1,0,1
386,371,1,1,1,0,0,1,0,1,1,0,1
271,260,1,1,1,0,1,1,0,0,1,0,0
150,146,1,0,1,0,1,1,1,0,0,0,0
16,14,1,1,1,1,1,1,1,1,0,0,0
508,491,0,1,1,0,0,1,0,0,0,0,1
138,86,1,1,1,1,0,1,1,1,0,1,1
643,618,0,0,1,0,0,1,0,1,1,0,1
115,114,0,1,1,0,1,1,0,0,0,0,1
150,146,1,1,1,0,1,1,0,0,0,0,1
262,256,0,0,1,0,1,1,0,0,1,0,0
59,59,1,0,1,0,1,1,1,1,1,1,0
546,517,1,1,1,0,0,1,0,0,1,1,1
120,117,1,0,1,0,1,1,0,0,0,0,1
187,185,1,0,1,0,0,1,0,1,1,0,0
273,267,1,1,1,0,1,1,0,0,0,1,0
188,186,1,0,1,0,1,1,0,1,1,0,0
184,173,1,1,1,0,0,1,1,0,1,0,0
223,214,0,0,1,0,1,1,0,1,1,1,1
265,253,0,0,1,0,1,1,1,1,0,0,1
391,370,1,1,1,0,0,1,1,0,0,0,0
460,433,0,0,1,0,1,1,0,1,0,0,0
48,48,0,1,1,0,1,1,1,0,1,1,0
1678,1616,1,0,1,0,0,1,1,1,0,1,1
230,223,0,0,1,0,1,1,1,0,0,1,1
199,189,0,0,1,0,0,1,1,1,1,0,0
239,232,1,0,1,0,0,1,1,0,0,0,0
356,348,1,0,1,0,0,1,0,1,0,0,0
216,208,0,1,1,0,0,1,0,0,1,0,0
245,232,1,1,1,0,0,1,1,1,0,1,0
126,122,0,1,1,0,1,1,0,0,1,0,1
425,415,1,1,1,0,1,1,0,0,0,0,0
174,165,1,1,1,0,1,1,0,0,1,1,0
339,320,1,1,1,0,0,1,0,1,0,1,0
1074,1040,1,0,1,0,0,1,1,0,0,0,1
256,248,0,1,1,0,1,1,1,0,0,1,1
688,659,0,0,1,0,0,1,0,1,0,0,1
291,285,1,1,1,0,1,1,1,1,1,0,1
317,307,1,0,1,0,0,1,0,1,0,0,1
179,170,0,1,1,0,1,1,0,1,0,0,1
105,101,1,0,1,0,1,1,0,0,1,0,1
21,21,1,1,1,1,0,1,1,1,1,0,1
261,225,0,1,1,0,0,1,1,1,1,0,0
1407,1349,1,0,1,0,0,1,1,0,1,1,1
350,335,0,1,1,0,1,1,1,1,0,0,1
2662,2488,0,1,1,0,0,1,1,0,0,1,1
70,69,1,0,1,0,1,1,0,1,0,0,1
170,154,1,0,1,0,1,1,1,0,0,0,1
668,642,0,1,1,0,0,1,0,0,0,1,1
46,28,1,1,1,1,1,1,1,1,0,1,1
239,196,0,1,1,0,1,1,1,1,1,0,0
798,732,0,1,1,0,0,1,0,1,1,1,1
452,430,0,1,1,0,1,1,1,1,1,0,1
3051,2829,0,0,1,0,0,1,1,1,0,1,1
2485,2300,1,1,1,0,0,1,1,0,1,1,1
390,375,0,1,1,0,1,1,1,1,0,1,1
197,187,0,0,1,0,1,1,0,1,1,1,0
172,157,0,0,1,0,1,1,1,1,1,0,0
366,333,0,1,1,0,0,1,0,1,1,0,0
158,151,0,1,1,0,0,1,1,1,1,1,0
747,705,1,0,1,0,0,1,0,0,0,1,1
570,548,1,0,1,0,0,1,1,1,1,0,1
1628,1532,0,0,1,0,0,1,1,0,1,1,1
643,620,1,0,1,0,0,1,1,0,1,0,1
112,109,0,1,1,0,0,1,1,0,1,0,0
199,190,0,1,1,0,1,1,0,1,0,1,0
233,218,0,0,1,0,1,1,0,1,0,1,0
141,133,0,1,1,0,1,1,1,1,1,1,0
82,80,1,0,1,0,1,1,1,1,1,0,0
1572,1500,0,0,1,0,0,1,1,1,0,0,1
2040,1885,1,1,1,0,0,1,1,0,0,0,1
538,505,0,0,1,0,0,1,0,0,1,1,1
198,191,1,1,1,0,1,1,0,0,0,1,1
585,559,0,0,1,0,0,1,0,1,0,0,0
146,142,1,1,1,0,1,1,0,0,1,0,1
135,133,1,0,1,0,1,1,1,0,0,1,0
87,84,0,0,1,0,1,1,1,0,1,0,0
242,220,0,0,1,0,0,1,1,0,0,0,0
434,406,1,1,1,0,0,1,0,0,1,0,1
2497,2272,1,1,1,0,0,1,1,1,1,1,1
507,492,1,0,1,0,0,1,0,0,0,0,1
229,217,1,0,1,0,0,1,0,1,1,0,1
421,348,0,1,1,0,0,1,1,1,0,0,0
93,90,1,0,1,0,0,1,1,1,1,0,0
4376,3954,1,1,1,0,0,1,1,0,0,1,1
1427,1376,0,0,1,0,0,1,1,1,1,0,1
294,275,0,1,1,0,0,1,0,1,0,1,0
158,153,1,1,1,0,1,1,1,0,0,1,0
429,394,0,1,1,0,1,1,0,1,0,0,0
220,215,0,1,1,0,1,1,0,1,1,1,1
86,85,1,0,1,0,1,1,0,1,1,0,1
2685,2505,0,0,1,0,0,1,1,1,1,1,1
154,152,0,0,1,0,1,1,1,0,0,0,1
333,316,0,1,1,0,0,1,0,0,1,0,1
446,430,0,0,1,0,0,1,0,0,0,0,0
230,221,0,1,1,0,0,1,1,0,0,0,0
117,111,0,0,1,0,0,1,1,1,1,1,0
118,116,0,0,1,0,1,1,1,1,0,1,0
3209,2929,0,1,1,0,0,1,1,1,1,1,1
147,131,0,0,1,0,1,1,0,0,1,0,1
116,114,1,0,1,0,1,1,1,1,0,0,1
236,218,1,1,1,0,1,1,1,1,0,0,0
176,164,0,1,1,0,1,1,0,1,0,1,1
2438,2278,1,0,1,0,0,1,1,0,0,1,1
1404,1317,0,1,1,0,0,1,1,0,0,0,1
136,128,0,1,1,0,1,1,1,1,0,1,0
89,87,0,1,1,0,1,1,1,0,1,0,0
48,14,1,1,1,1,0,1,0,1,0,0,0
1924,1754,1,1,1,0,0,1,1,1,0,0,1
419,411,1,0,1,0,0,1,0,0,0,1,0
252,243,1,1,1,0,1,1,1,0,1,0,1
522,508,0,0,1,0,0,1,0,0,0,0,1
276,265,0,0,1,0,0,1,1,1,0,0,0
242,231,1,1,1,0,1,1,1,0,0,0,0
204,192,0,0,1,0,0,1,0,0,1,1,0
130,126,0,1,1,0,1,1,0,0,1,1,0
341,315,0,0,1,0,1,1,1,1,0,1,1
103,102,1,0,1,0,1,1,0,1,1,1,0
202,188,0,1,1,0,0,1,1,0,0,1,0
253,226,0,1,1,0,0,1,1,1,0,1,0
185,182,1,0,1,0,0,1,0,0,1,1,0
148,148,1,0,1,0,0,1,1,1,0,1,0
80,78,1,0,1,0,1,1,1,0,1,0,0
739,690,0,0,1,0,0,1,0,0,0,1,1
407,390,1,1,1,0,1,1,1,1,1,1,1
164,150,1,1,1,0,1,1,0,1,1,1,1
223,217,1,1,1,0,0,1,0,0,1,1,0
149,140,1,1,1,0,0,1,1,0,1,1,0
3847,3387,1,1,1,0,0,1,1,1,0,1,1
444,429,0,1,1,0,0,1,0,0,1,1,1
59,47,1,1,1,1,0,1,1,1,1,1,1
64,63,0,0,1,0,1,1,1,0,1,1,0
156,145,0,1,1,0,1,1,1,0,0,0,0
154,153,1,0,1,0,1,1,1,0,1,0,1
150,145,1,1,1,0,1,1,0,1,0,0,1
348,344,0,0,1,0,1,1,0,0,0,0,0
93,93,0,0,1,0,1,1,1,0,0,1,0
176,171,1,1,1,0,1,1,0,1,0,1,0
1072,1019,0,0,1,0,0,1,1,0,0,0,1
794,752,0,0,1,0,0,1,0,1,1,1,1
832,786,1,0,1,0,0,1,1,1,0,0,1
203,198,0,0,1,0,1,1,1,0,1,0,1
628,605,1,1,1,0,0,1,0,0,0,0,0
2333,2155,0,1,1,0,0,1,1,1,0,0,1
497,476,0,1,1,0,1,1,1,1,1,1,1
134,128,1,1,1,0,1,1,0,0,1,1,1
259,225,0,1,1,0,1,1,1,1,0,0,0
486,444,1,1,1,0,0,1,0,1,0,0,0
332,322,0,0,1,0,0,1,0,1,0,1,0
93,90,0,1,1,0,0,1,1,0,1,1,0
360,353,0,0,1,0,1,1,1,1,1,0,1
206,200,0,1,1,0,1,1,0,0,1,0,0
267,259,1,0,1,0,1,1,0,0,0,1,0
82,82,0,0,1,0,1,1,1,1,1,1,0
354,335,1,1,1,0,1,1,1,1,0,1,1
887,847,0,1,1,0,0,1,1,0,1,0,1
230,222,1,0,1,0,1,1,1,0,1,1,1
191,185,0,1,1,0,1,1,1,0,0,0,1
394,378,1,1,1,0,1,1,0,1,0,0,0
207,195,0,1,1,0,0,1,0,1,1,1,0
1,1,1,0,1,0,0,0,0,0,0,1,0
1,1,1,0,1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,0,1,0,0,0,0,0,1,0,1
1,1,1,1,1,0,0,0,1,1,1,1,0
1,1,0,1,1,0,0,0,1,0,1,1,0
1,1,0,0,1,0,0,0,1,1,1,1,0
1,1,1,0,1,0,1,0,0,0,0,0,1
1,1,1,1,1,0,1,0,0,0,0,1,1
1,1,1,0,1,0,1,0,1,1,0,0,0
1,1,1,0,1,0,0,0,1,1,0,0,0
1,1,0,1,1,0,0,0,0,0,1,0,0
1,1,1,0,1,0,1,0,0,1,1,0,1
1,1,1,1,1,0,0,0,0,0,1,1,0
1,1,1,0,1,0,0,0,0,0,1,1,0
1,1,1,0,1,0,0,0,0,1,1,0,1
1,1,1,1,1,0,1,0,0,1,0,0,0
1,1,0,1,1,0,1,0,0,0,1,0,1
1,1,1,1,1,0,1,0,0,0,1,1,0
1,1,1,0,1,0,1,0,0,1,1,1,1
1,1,0,1,1,0,0,0,0,1,0,1,0
1,1,0,0,1,0,1,0,0,0,0,0,0
1,1,0,1,1,0,1,0,1,1,0,0,0
1,1,0,1,1,0,1,0,0,1,0,1,0
1,1,0,0,1,0,1,0,0,1,0,1,1
1,1,0,0,1,0,0,0,0,0,1,0,1
1,1,0,1,1,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,1,0,1,0,0,1,1,0,0
1,1,0,0,1,0,0,0,1,0,1,0,1
1,1,1,1,1,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,1,1,1,0,0
1,1,0,1,1,0,1,0,0,0,1,1,0
1,1,0,0,1,0,0,0,0,1,1,1,0
1,1,0,0,1,0,0,0,0,1,0,1,0
1,1,1,1,1,0,0,0,0,1,0,1,0
1,1,1,0,1,0,1,0,0,1,1,0,0
1,1,0,0,1,0,1,0,0,0,1,0,0
1,1,1,1,1,0,0,0,0,0,0,1,0
1,1,1,1,1,0,0,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,1,1
1,1,1,0,1,0,0,0,1,1,0,0,1
1,1,0,0,1,0,1,0,0,0,1,1,0
1,1,0,0,1,0,1,0,1,0,0,1,1
1,1,1,1,1,0,1,0,0,0,0,1,0
