cases,developers,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
424,397,0,1,0,0,0,1,1,1,0,0,1
254,236,0,1,0,0,0,1,1,0,0,1,1
250,238,0,0,0,0,0,1,1,0,0,1,0
562,520,0,1,0,0,0,1,1,0,1,0,0
776,720,1,1,0,0,0,1,0,1,1,1,0
324,314,0,1,0,0,0,1,1,0,1,0,1
437,422,0,0,0,0,0,1,1,1,1,1,0
2500,2280,1,1,0,0,0,1,0,1,1,0,0
1998,1899,1,0,0,0,0,1,0,1,1,0,0
340,319,1,1,0,0,0,1,1,1,0,1,0
124,122,1,0,0,0,0,1,0,0,0,1,1
86,85,1,0,0,0,0,1,0,1,0,0,1
666,628,0,0,0,0,0,1,1,1,0,0,0
90,53,1,1,0,1,0,1,0,1,0,0,0
78,47,1,1,0,1,0,1,1,1,0,0,0
253,244,0,0,0,0,0,1,0,0,1,1,1
988,935,0,0,0,0,0,1,1,1,1,0,0
300,283,0,0,0,0,0,1,1,0,1,1,0
527,504,0,0,0,0,0,1,0,1,1,0,1
365,344,0,0,0,0,0,1,1,0,1,1,1
3463,3041,0,1,0,0,0,1,0,1,1,0,0
951,904,0,0,0,0,0,1,0,0,1,1,0
1201,1128,0,0,0,0,0,1,0,1,1,1,0
497,483,1,0,0,0,0,1,0,1,0,1,0
810,769,0,0,0,0,0,1,0,1,0,1,0
908,866,1,0,0,0,0,1,0,0,0,1,0
203,194,1,0,0,0,0,1,1,1,0,1,0
276,262,1,0,0,0,0,1,1,1,1,1,1
788,736,1,1,0,0,0,1,1,0,0,0,0
404,389,1,1,0,0,0,1,1,1,1,1,0
36,36,0,0,0,0,0,0,0,1,1,0,0
3044,2817,0,0,0,0,0,1,0,1,0,0,0
294,267,0,1,0,0,0,1,1,0,1,1,0
191,186,0,0,0,0,0,1,0,1,0,1,1
201,190,0,1,0,0,0,1,0,1,0,1,1
212,210,0,0,0,0,0,1,1,0,0,1,1
1564,1482,0,1,0,0,0,1,0,0,0,0,0
503,483,1,0,0,0,0,1,1,0,1,0,0
660,629,1,1,0,0,0,1,0,1,0,1,0
20,19,0,1,0,0,0,0,0,1,1,0,0
248,241,1,0,0,0,0,1,1,1,1,0,1
169,166,1,1,0,0,0,1,0,0,0,0,1
283,275,0,0,0,0,0,1,1,1,0,1,0
138,135,1,0,0,0,0,1,0,0,0,0,1
1844,1727,0,1,0,0,0,1,0,0,1,0,0
916,871,1,1,0,0,0,1,0,0,1,1,0
286,280,1,1,0,0,0,1,1,0,0,0,1
291,283,0,0,0,0,0,1,1,1,0,0,1
