feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
test_involved_rate,854,27100,4073,3283,35310,0.79,0.12,0.14,0.17,0.48,0.21,0.13,0.1,0.78,0.02,-0.1,0.52,0.58,0.0,
cursing_rate,640,27710,3463,3497,35310,0.8,0.12,0.12,0.16,0.33,0.15,0.11,0.08,0.79,0.01,-0.09,0.52,0.52,0.0,
capped_sum_code_file_size,2279,17809,13364,1858,35310,0.57,0.12,0.44,0.15,0.24,0.55,0.43,0.13,0.54,0.05,-0.36,0.52,0.99,0.0,
sum_code_file_size,2269,17835,13338,1868,35310,0.57,0.12,0.44,0.15,0.24,0.55,0.43,0.13,0.54,0.05,-0.36,0.52,0.99,0.0,
prev_touch_ago,1562,21844,9329,2575,35310,0.66,0.12,0.31,0.14,0.22,0.38,0.3,0.12,0.65,0.03,-0.25,0.52,0.89,0.0,
one_file_fix_rate,2384,16397,14776,1753,35310,0.53,0.12,0.49,0.14,0.19,0.58,0.47,0.13,0.51,0.04,-0.4,0.52,1.0,0.0,
one_file_refactor_rate,2402,16324,14849,1735,35310,0.53,0.12,0.49,0.14,0.19,0.58,0.48,0.13,0.51,0.04,-0.4,0.52,1.0,0.0,
no_test_refactor_rate,1746,19666,11507,2391,35310,0.61,0.12,0.38,0.13,0.12,0.42,0.37,0.11,0.6,0.02,-0.31,0.52,0.95,0.0,
textual_abstraction_commits_rate,2087,17128,14045,2050,35310,0.54,0.12,0.46,0.13,0.1,0.5,0.45,0.11,0.53,0.02,-0.38,0.52,0.99,0.0,
avg_coupling_code_size_cut,2491,14092,17081,1646,35310,0.47,0.12,0.55,0.13,0.09,0.6,0.55,0.12,0.46,0.02,-0.47,0.52,0.99,0.0,
commit_day_density,1899,17421,13752,2238,35310,0.55,0.12,0.44,0.12,0.04,0.46,0.44,0.11,0.54,0.01,-0.38,0.52,0.99,0.0,
commits_per_day,1853,17693,13480,2284,35310,0.55,0.12,0.43,0.12,0.03,0.45,0.43,0.11,0.55,0.01,-0.37,0.52,0.99,0.0,
positive_sentiment_rate,1882,17448,13725,2255,35310,0.55,0.12,0.44,0.12,0.03,0.45,0.44,0.11,0.54,0.01,-0.38,0.52,0.99,0.0,
involved_developers_commits,1983,16538,14635,2154,35310,0.52,0.12,0.47,0.12,0.02,0.48,0.47,0.11,0.52,0.0,-0.41,0.52,1.0,0.0,
textual_abstraction_commits,1878,17269,13904,2259,35310,0.54,0.12,0.45,0.12,0.02,0.45,0.45,0.1,0.54,0.0,-0.39,0.52,0.99,0.0,
commits,1990,16399,14774,2147,35310,0.52,0.12,0.47,0.12,0.01,0.48,0.47,0.11,0.52,0.0,-0.41,0.52,1.0,0.0,
involved_developers_capped_commits,1938,16758,14415,2199,35310,0.53,0.12,0.46,0.12,0.01,0.47,0.46,0.1,0.53,0.0,-0.4,0.52,1.0,0.0,
negative_sentiment_rate,1976,16486,14687,2161,35310,0.52,0.12,0.47,0.12,0.01,0.48,0.47,0.1,0.52,0.0,-0.41,0.52,1.0,0.0,
authors,2078,15555,15618,2059,35310,0.5,0.12,0.5,0.12,0.0,0.5,0.5,0.11,0.5,0.0,-0.43,0.52,1.0,0.0,
capped_commits_per_involved_developer,1836,17261,13912,2301,35310,0.54,0.12,0.45,0.12,-0.0,0.44,0.45,0.1,0.54,-0.0,-0.39,0.52,0.99,0.0,
commit_days,2075,15481,15692,2062,35310,0.5,0.12,0.5,0.12,-0.0,0.5,0.5,0.1,0.5,-0.0,-0.44,0.52,1.0,0.0,
commits_per_developer,1748,18070,13103,2389,35310,0.56,0.12,0.42,0.12,0.0,0.42,0.42,0.1,0.56,0.0,-0.36,0.52,0.98,0.0,
involved_developers,1570,19319,11854,2567,35310,0.59,0.12,0.38,0.12,-0.0,0.38,0.38,0.1,0.59,-0.0,-0.33,0.52,0.96,0.0,
refactor_mle,1978,16242,14931,2159,35310,0.52,0.12,0.48,0.12,-0.0,0.48,0.48,0.1,0.52,-0.0,-0.42,0.52,1.0,0.0,
same_date_duration_avg,2029,15885,15288,2108,35310,0.51,0.12,0.49,0.12,0.0,0.49,0.49,0.1,0.51,0.0,-0.43,0.52,1.0,0.0,
retention_prob,1015,23437,7736,3122,35310,0.69,0.12,0.25,0.12,-0.01,0.25,0.25,0.09,0.69,-0.0,-0.22,0.52,0.81,0.0,
message_length_avg,2339,13196,17977,1798,35310,0.44,0.12,0.58,0.12,-0.02,0.57,0.58,0.11,0.44,-0.01,-0.5,0.52,0.98,0.0,
onboarding_prob,1077,22915,8258,3060,35310,0.68,0.12,0.26,0.12,-0.02,0.26,0.26,0.09,0.68,-0.0,-0.23,0.52,0.83,0.0,
test_usage_in_refactor_rate,1129,22501,8672,3008,35310,0.67,0.12,0.28,0.12,-0.02,0.27,0.28,0.09,0.67,-0.0,-0.24,0.52,0.85,0.0,
test_usage_rate,1590,18946,12227,2547,35310,0.58,0.12,0.39,0.12,-0.02,0.38,0.39,0.1,0.58,-0.0,-0.34,0.52,0.97,0.0,
tests_presence,1670,18304,12869,2467,35310,0.57,0.12,0.41,0.11,-0.02,0.4,0.41,0.1,0.57,-0.0,-0.36,0.52,0.98,0.0,
non_corrective_message_length_avg,2292,13387,17786,1845,35310,0.44,0.12,0.57,0.11,-0.03,0.55,0.57,0.1,0.45,-0.01,-0.5,0.52,0.99,0.0,
pull_requests,361,28344,2829,3776,35310,0.81,0.12,0.09,0.11,-0.03,0.09,0.09,0.05,0.81,-0.0,-0.08,0.52,0.44,0.0,
merged_prs_per_involved_developer,289,28845,2328,3848,35310,0.83,0.12,0.07,0.11,-0.06,0.07,0.07,0.04,0.83,-0.0,-0.07,0.52,0.38,0.0,
ccp,1784,16562,14611,2353,35310,0.52,0.12,0.46,0.11,-0.07,0.43,0.47,0.1,0.53,-0.01,-0.41,0.52,1.0,0.0,
commit_period,1977,14942,16231,2160,35310,0.48,0.12,0.52,0.11,-0.07,0.48,0.52,0.1,0.49,-0.02,-0.46,0.52,1.0,0.0,
closed_issues,139,30002,1171,3998,35310,0.85,0.12,0.04,0.11,-0.09,0.03,0.04,0.03,0.85,-0.0,-0.03,0.52,0.23,0.0,
merged_prs,278,28842,2331,3859,35310,0.82,0.12,0.07,0.11,-0.09,0.07,0.07,0.04,0.83,-0.0,-0.07,0.52,0.38,0.0,
merged_prs_per_developer,260,29002,2171,3877,35310,0.83,0.12,0.07,0.11,-0.09,0.06,0.07,0.04,0.83,-0.0,-0.06,0.52,0.36,0.0,
files_created,1433,17930,13243,2704,35310,0.55,0.12,0.42,0.1,-0.17,0.35,0.42,0.08,0.56,-0.03,-0.38,0.52,0.98,0.0,
files_edited,1794,14557,16616,2343,35310,0.46,0.12,0.52,0.1,-0.17,0.43,0.53,0.09,0.48,-0.04,-0.48,0.52,1.0,0.0,
