feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
textual_abstraction_commits,13535,16931,2247,2597,35310,0.86,0.46,0.45,0.86,0.88,0.84,0.12,0.74,0.5,0.71,0.59,0.99,0.99,0.42,
merged_issues_per_developer,32,19154,24,16100,35310,0.54,0.46,0.0,0.57,0.25,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.02,0.0,
merged_issues_per_involved_developer,31,19153,25,16101,35310,0.54,0.46,0.0,0.55,0.21,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.02,0.0,
refactor_mle,8785,11054,8124,7347,35310,0.56,0.46,0.48,0.52,0.14,0.54,0.42,0.36,0.5,0.12,0.03,0.99,1.0,0.01,
closed_issues,663,18531,647,15469,35310,0.54,0.46,0.04,0.51,0.11,0.04,0.03,0.04,0.54,0.01,0.0,0.99,0.23,0.0,
implementation_involved_rate,2087,17128,2050,14045,35310,0.54,0.46,0.12,0.5,0.1,0.13,0.11,0.11,0.53,0.02,0.0,0.99,0.52,0.0,
message_length_avg,10234,9096,10082,5898,35310,0.55,0.46,0.58,0.5,0.1,0.63,0.53,0.39,0.49,0.11,0.01,0.99,0.98,0.01,
test_involved_rate,2466,16717,2461,13666,35310,0.54,0.46,0.14,0.5,0.1,0.15,0.13,0.13,0.53,0.02,0.0,0.99,0.58,0.0,
test_usage_in_refactor_rate,4920,14297,4881,11212,35310,0.54,0.46,0.28,0.5,0.1,0.3,0.25,0.23,0.52,0.05,0.0,0.99,0.85,0.0,
non_corrective_message_length_avg,10034,9134,10044,6098,35310,0.54,0.46,0.57,0.5,0.09,0.62,0.52,0.38,0.49,0.1,-0.0,0.99,0.99,0.01,
merged_prs,1273,17842,1336,14859,35310,0.54,0.46,0.07,0.49,0.07,0.08,0.07,0.07,0.54,0.01,-0.0,0.99,0.38,0.0,
positive_sentiment_rate,7603,11174,8004,8529,35310,0.53,0.46,0.44,0.49,0.07,0.47,0.42,0.32,0.51,0.05,-0.02,0.99,0.99,0.0,
test_usage_rate,6726,12087,7091,9406,35310,0.53,0.46,0.39,0.49,0.07,0.42,0.37,0.29,0.51,0.05,-0.02,0.99,0.97,0.0,
commit_day_density,7566,11093,8085,8566,35310,0.53,0.46,0.44,0.48,0.06,0.47,0.42,0.31,0.5,0.05,-0.03,0.99,0.99,0.0,
commit_days,8597,10008,9170,7535,35310,0.53,0.46,0.5,0.48,0.06,0.53,0.48,0.34,0.5,0.05,-0.03,0.99,1.0,0.0,
commits,8126,10540,8638,8006,35310,0.53,0.46,0.47,0.48,0.06,0.5,0.45,0.33,0.5,0.05,-0.03,0.99,1.0,0.0,
involved_developers_capped_commits,7894,10719,8459,8238,35310,0.53,0.46,0.46,0.48,0.06,0.49,0.44,0.32,0.5,0.05,-0.03,0.99,1.0,0.0,
involved_developers_commits,8058,10618,8560,8074,35310,0.53,0.46,0.47,0.48,0.06,0.5,0.45,0.33,0.5,0.05,-0.03,0.99,1.0,0.0,
merged_prs_per_involved_developer,1267,17828,1350,14865,35310,0.54,0.46,0.07,0.48,0.06,0.08,0.07,0.07,0.54,0.01,-0.0,0.99,0.38,0.0,
prev_touch_ago,5287,13574,5604,10845,35310,0.53,0.46,0.31,0.49,0.06,0.33,0.29,0.24,0.52,0.03,-0.02,0.99,0.89,0.0,
involved_developers,6432,12186,6992,9700,35310,0.53,0.46,0.38,0.48,0.05,0.4,0.36,0.28,0.51,0.03,-0.03,0.99,0.96,0.0,
merged_prs_per_developer,1171,17918,1260,14961,35310,0.54,0.46,0.07,0.48,0.05,0.07,0.07,0.07,0.54,0.01,-0.0,0.99,0.36,0.0,
pull_requests,1534,17522,1656,14598,35310,0.54,0.46,0.09,0.48,0.05,0.1,0.09,0.09,0.54,0.01,-0.01,0.99,0.44,0.0,
authors,8392,9874,9304,7740,35310,0.52,0.46,0.5,0.47,0.04,0.52,0.49,0.33,0.5,0.03,-0.05,0.99,1.0,0.0,
commits_per_day,7262,11107,8071,8870,35310,0.52,0.46,0.43,0.47,0.04,0.45,0.42,0.3,0.51,0.03,-0.04,0.99,0.99,0.0,
commits_per_developer,7090,11417,7761,9042,35310,0.52,0.46,0.42,0.48,0.04,0.44,0.4,0.3,0.51,0.03,-0.03,0.99,0.98,0.0,
corrective_multiline_message_ratio,4751,13911,5267,11381,35310,0.53,0.46,0.28,0.47,0.04,0.29,0.27,0.22,0.52,0.02,-0.03,0.99,0.86,0.0,
multiline_message_ratio,6637,11844,7334,9495,35310,0.52,0.46,0.4,0.48,0.04,0.41,0.38,0.28,0.51,0.03,-0.04,0.99,0.97,0.0,
tests_presence,6939,11578,7600,9193,35310,0.52,0.46,0.41,0.48,0.04,0.43,0.4,0.29,0.51,0.03,-0.03,0.99,0.98,0.0,
capped_commits_per_involved_developer,7428,10858,8320,8704,35310,0.52,0.46,0.45,0.47,0.03,0.46,0.43,0.3,0.5,0.03,-0.05,0.99,0.99,0.0,
commit_period,8479,9449,9729,7653,35310,0.51,0.46,0.52,0.47,0.02,0.53,0.51,0.33,0.5,0.02,-0.07,0.99,1.0,0.0,
cursing_rate,1921,16996,2182,14211,35310,0.54,0.46,0.12,0.47,0.02,0.12,0.11,0.1,0.53,0.0,-0.01,0.99,0.52,0.0,
onboarding_prob,4370,14213,4965,11762,35310,0.53,0.46,0.26,0.47,0.02,0.27,0.26,0.21,0.52,0.01,-0.03,0.99,0.83,0.0,
retention_prob,4087,14514,4664,12045,35310,0.53,0.46,0.25,0.47,0.02,0.25,0.24,0.2,0.52,0.01,-0.03,0.99,0.81,0.0,
files_created,6741,11243,7935,9391,35310,0.51,0.46,0.42,0.46,0.01,0.42,0.41,0.28,0.51,0.0,-0.06,0.99,0.98,0.0,
one_file_refactor_rate,7969,9896,9282,8163,35310,0.51,0.46,0.49,0.46,0.01,0.49,0.48,0.31,0.5,0.01,-0.07,0.99,1.0,0.0,
one_file_fix_rate,7818,9836,9342,8314,35310,0.5,0.46,0.49,0.46,-0.0,0.48,0.49,0.31,0.5,-0.0,-0.08,0.99,1.0,0.0,
sum_code_file_size,7024,10595,8583,9108,35310,0.5,0.46,0.44,0.45,-0.01,0.44,0.45,0.28,0.51,-0.01,-0.08,0.99,0.99,0.0,
capped_sum_code_file_size,7033,10568,8610,9099,35310,0.5,0.46,0.44,0.45,-0.02,0.44,0.45,0.28,0.5,-0.01,-0.08,0.99,0.99,0.0,
files_edited,8161,8929,10249,7971,35310,0.48,0.46,0.52,0.44,-0.03,0.51,0.53,0.31,0.5,-0.03,-0.11,0.99,1.0,0.0,
no_test_refactor_rate,5884,11809,7369,10248,35310,0.5,0.46,0.38,0.44,-0.03,0.36,0.38,0.25,0.51,-0.02,-0.08,0.99,0.95,0.0,
avg_coupling_code_size_cut,8628,8234,10944,7504,35310,0.48,0.46,0.55,0.44,-0.04,0.53,0.57,0.32,0.5,-0.04,-0.12,0.99,0.99,0.0,
ccp,7223,10006,9172,8909,35310,0.49,0.46,0.46,0.44,-0.04,0.45,0.48,0.29,0.5,-0.03,-0.1,0.99,1.0,0.0,
negative_sentiment_rate,7286,9801,9377,8846,35310,0.48,0.46,0.47,0.44,-0.04,0.45,0.49,0.29,0.5,-0.04,-0.11,0.99,1.0,0.0,
same_date_duration_avg,7634,9495,9683,8498,35310,0.49,0.46,0.49,0.44,-0.04,0.47,0.5,0.3,0.5,-0.03,-0.11,0.99,1.0,0.0,
