,feature,hit_rate,precision,precision_lift
0,onboarding_prob,0.26,0.5531228895714877,1.2124915582859508
2,merged_prs,0.07,0.35926690132297606,0.43706760529190425
4,merged_prs_per_involved_developer,0.07,0.35724400210381513,0.4289760084152605
1,merged_prs_per_developer,0.07,0.35562568272848644,0.42250273091394575
3,pull_requests,0.09,0.34079108845463985,0.3631643538185594
5,closed_issues,0.04,0.30090625885018407,0.2036250354007363
6,involved_developers,0.38,0.29781335241246704,0.19125340964986814
8,corrective_multiline_message_ratio,0.28,0.2772383379860015,0.10895335194400602
9,test_usage_in_refactor_rate,0.28,0.2689444511874418,0.07577780474976725
7,cursing_rate,0.12,0.26880959123949777,0.07523836495799108
10,test_involved_rate,0.14,0.2658089573977424,0.06323582959096963
11,test_usage_rate,0.39,0.2641802641802642,0.05672105672105676
13,commits_per_developer,0.42,0.2566384809375464,0.026553923750185504
14,positive_sentiment_rate,0.44,0.2564944259931516,0.025977703972606347
18,tests_presence,0.41,0.2550925254367242,0.020370101746896907
12,no_test_refactor_rate,0.38,0.2539909672226446,0.015963868890578325
23,involved_developers_capped_commits,0.46,0.2522379422013717,0.00895176880548676
17,refactor_mle,0.48,0.2519352402529973,0.007740961011989178
20,textual_abstraction_commits_rate,0.46,0.25162227722162706,0.006489108886508221
15,one_file_refactor_rate,0.49,0.25147527150197374,0.005901086007894962
21,ccp,0.46,0.2514375777277037,0.005750310910814793
28,same_date_duration_avg,0.49,0.2513018801403314,0.005207520561325563
16,prev_touch_ago,0.31,0.25059153488457075,0.0023661395382830186
27,negative_sentiment_rate,0.47,0.2503058021053646,0.0012232084214585104
19,textual_abstraction_commits,0.45,0.2499134648667359,-0.0003461405330563716
29,commits_per_day,0.43,0.24922118380062305,-0.0031152647975077885
31,non_corrective_message_length_avg,0.57,0.2481777936770559,-0.007288825291776435
33,avg_coupling_code_size_cut,0.55,0.24762493241677608,-0.009500270332895688
26,multiline_message_ratio,0.4,0.24723874256584538,-0.011045029736618472
34,commit_day_density,0.44,0.24690404469503877,-0.012383821219844937
30,message_length_avg,0.58,0.2467797537085323,-0.012880985165870773
22,files_created,0.42,0.24665884478968592,-0.013364620841256336
32,one_file_fix_rate,0.49,0.24644692201434523,-0.014212311942619071
35,commit_days,0.5,0.2463324837156613,-0.014670065137354804
38,capped_sum_code_file_size,0.44,0.24510182539069542,-0.019592698437218337
42,sum_code_file_size,0.44,0.24503746041554028,-0.019850158337838875
39,commits,0.47,0.24500322372662797,-0.01998710509348811
40,files_edited,0.52,0.24464631941267453,-0.021414722349301862
37,authors,0.5,0.24389691305579156,-0.024412347776833765
41,involved_developers_commits,0.47,0.24289424368963045,-0.028423025241478217
36,implementation_involved_rate,0.12,0.23954498253563675,-0.04182006985745301
43,commit_period,0.52,0.2340260985120798,-0.06389560595168076
44,capped_commits_per_involved_developer,0.45,0.2318512225054281,-0.07259510997828755
24,merged_issues_per_developer,0.0,,
25,merged_issues_per_involved_developer,0.0,,
